family,calibration_rows,calibration_noise_sd,policy,mean_test_nmse,ci95_low,ci95_high,n_seeds
all,64,0.0,development_best_fixed,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,64,0.0,estimated_cut,0.3612072684032456,0.33435027960435243,0.3869327444908312,20
all,64,0.0,fixed_balanced,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,64,0.0,fixed_comb,0.5736190971295508,0.5429024196167951,0.6019563894909775,20
all,64,0.0,fixed_mixed,0.5220976999167946,0.48366751212658426,0.5618893637197858,20
all,64,0.0,observed_rank_only,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,64,0.0,oracle_best_trained_menu,0.3367965626651749,0.3112263726954369,0.36114504306288436,20
all,64,0.0,oracle_full_target_cut,0.3583561659752538,0.3293456516215917,0.3856321080595431,20
all,64,0.0,two_sweep_pilot,0.48150101680768753,0.44180741441060745,0.5217417948434329,20
all,64,0.0,uniform_random_expectation,0.5220303518992162,0.5001065931716445,0.5432486733589066,20
all,64,0.5,development_best_fixed,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,64,0.5,estimated_cut,0.3641472225889477,0.33659314154809,0.3897421547274521,20
all,64,0.5,fixed_balanced,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,64,0.5,fixed_comb,0.5736190971295508,0.5429024196167951,0.6019563894909775,20
all,64,0.5,fixed_mixed,0.5220976999167946,0.48366751212658426,0.5618893637197858,20
all,64,0.5,observed_rank_only,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,64,0.5,oracle_best_trained_menu,0.3367965626651749,0.3112263726954369,0.36114504306288436,20
all,64,0.5,oracle_full_target_cut,0.3583561659752538,0.3293456516215917,0.3856321080595431,20
all,64,0.5,two_sweep_pilot,0.49203941833260656,0.45856876671951224,0.5247868121409492,20
all,64,0.5,uniform_random_expectation,0.5220303518992162,0.5001065931716445,0.5432486733589066,20
all,256,0.0,development_best_fixed,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,256,0.0,estimated_cut,0.36002196610637915,0.3308975972390837,0.3870505118010352,20
all,256,0.0,fixed_balanced,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,256,0.0,fixed_comb,0.5736190971295508,0.5429024196167951,0.6019563894909775,20
all,256,0.0,fixed_mixed,0.5220976999167946,0.48366751212658426,0.5618893637197858,20
all,256,0.0,observed_rank_only,0.49289138080028705,0.45439937570192745,0.5305692903453659,20
all,256,0.0,oracle_best_trained_menu,0.3367965626651749,0.3112263726954369,0.36114504306288436,20
all,256,0.0,oracle_full_target_cut,0.3583561659752538,0.3293456516215917,0.3856321080595431,20
