family,calibration_rows,calibration_noise_sd,policy,seed_count,mean_test_nmse,mean_regret,regret_ci_low,regret_ci_high
all,64,0.0,development_best_fixed,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,64,0.0,estimated_cut,20,0.3612072684032456,0.024410705738070665,0.011412384235450752,0.03897361518091243
all,64,0.0,fixed_balanced,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,64,0.0,fixed_comb,20,0.5736190971295508,0.23682253446437604,0.20155454947675633,0.2706563158772303
all,64,0.0,fixed_mixed,20,0.5220976999167946,0.1853011372516199,0.1468508208344363,0.22339671924549176
all,64,0.0,observed_rank_only,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,64,0.0,oracle_best_trained_menu,20,0.3367965626651749,0.0,0.0,0.0
all,64,0.0,oracle_full_target_cut,20,0.3583561659752538,0.021559603310078966,0.009864476670015667,0.03521020329788674
all,64,0.0,two_sweep_pilot,20,0.48150101680768753,0.14470445414251265,0.10760972828525449,0.18540759088536402
all,64,0.0,uniform_random_expectation,20,0.5220303518992162,0.18523378923404138,0.16481877221376198,0.20613533563091124
all,64,0.5,development_best_fixed,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,64,0.5,estimated_cut,20,0.3641472225889477,0.027350659923772856,0.016125832459702106,0.039654329963447775
all,64,0.5,fixed_balanced,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,64,0.5,fixed_comb,20,0.5736190971295508,0.23682253446437604,0.20155454947675633,0.2706563158772303
all,64,0.5,fixed_mixed,20,0.5220976999167946,0.1853011372516199,0.1468508208344363,0.22339671924549176
all,64,0.5,observed_rank_only,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,64,0.5,oracle_best_trained_menu,20,0.3367965626651749,0.0,0.0,0.0
all,64,0.5,oracle_full_target_cut,20,0.3583561659752538,0.021559603310078966,0.009864476670015667,0.03521020329788674
all,64,0.5,two_sweep_pilot,20,0.49203941833260656,0.15524285566743157,0.12114328822932324,0.18967783001045807
all,64,0.5,uniform_random_expectation,20,0.5220303518992162,0.18523378923404138,0.16481877221376198,0.20613533563091124
all,256,0.0,development_best_fixed,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,256,0.0,estimated_cut,20,0.36002196610637915,0.023225403441204245,0.0114340460895349,0.03680868957479688
all,256,0.0,fixed_balanced,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,256,0.0,fixed_comb,20,0.5736190971295508,0.23682253446437604,0.20155454947675633,0.2706563158772303
all,256,0.0,fixed_mixed,20,0.5220976999167946,0.1853011372516199,0.1468508208344363,0.22339671924549176
all,256,0.0,observed_rank_only,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,256,0.0,oracle_best_trained_menu,20,0.3367965626651749,0.0,0.0,0.0
all,256,0.0,oracle_full_target_cut,20,0.3583561659752538,0.021559603310078966,0.009864476670015667,0.03521020329788674
all,256,0.0,two_sweep_pilot,20,0.41841884742314617,0.08162228475797131,0.05454428970284099,0.10957832369973063
all,256,0.0,uniform_random_expectation,20,0.5220303518992162,0.18523378923404138,0.16481877221376198,0.20613533563091124
all,256,0.5,development_best_fixed,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,256,0.5,estimated_adaptive_dp,20,0.07086462947142035,-0.2659319331937545,-0.294022542390868,-0.2354929121007364
all,256,0.5,estimated_cut,20,0.36415226087571445,0.027355698210539514,0.012777070998956086,0.045535230373212936
all,256,0.5,fixed_balanced,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,256,0.5,fixed_comb,20,0.5736190971295508,0.23682253446437604,0.20155454947675633,0.2706563158772303
all,256,0.5,fixed_mixed,20,0.5220976999167946,0.1853011372516199,0.1468508208344363,0.22339671924549176
all,256,0.5,observed_rank_only,20,0.49289138080028705,0.15609481813511222,0.11961013311544161,0.19262467094676722
all,256,0.5,oracle_adaptive_dp,20,0.06171923365269971,-0.27507732901247517,-0.29848657491764674,-0.2521257888146694
all,256,0.5,oracle_best_trained_menu,20,0.3367965626651749,0.0,0.0,0.0
all,256,0.5,oracle_full_target_cut,20,0.3583561659752538,0.021559603310078966,0.009864476670015667,0.03521020329788674
all,256,0.5,two_sweep_pilot,20,0.4240224872443192,0.08722592457914427,0.06585750862284409,0.11001851823455523
all,256,0.5,uniform_random_expectation,20,0.5220303518992162,0.18523378923404138,0.16481877221376198,0.20613533563091124
