seed,task_group,task_group_name,compatible,phase,step,optimizer,learning_rate,student_group,student_group_name,credit_rule,rule_id,state,gradient_cosine,exact_gradient_norm,delivered_gradient_norm,gradient_relative_error,path_capture
15400,0,01_23,True,fresh,0,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0000000000000002,1.2659035245946753,1.2659035245946753,0.0,1.0
15400,0,01_23,True,fresh,0,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.9993137517284753,1.2659035245946753,1.3003017035127429,0.0463481795216361,0.9874055410268912
15400,0,01_23,True,fresh,0,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9993722538361244,1.2659035245946753,1.2903133561092472,0.0406388685498372,0.989250221984318
15400,0,01_23,True,fresh,0,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9992782971460616,1.2659035245946753,1.2901602872264215,0.0428746007697055,0.9888881296964804
15400,0,01_23,False,fresh,0,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0,1.462060550095721,1.462060550095721,0.0,1.0
15400,0,01_23,False,fresh,0,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.9998006384709024,1.462060550095721,1.4780352616587076,0.0228573971463151,0.9874055410268912
15400,0,01_23,False,fresh,0,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.999816099923118,1.462060550095721,1.4725644276666616,0.020544017771304,0.989250221984318
15400,0,01_23,False,fresh,0,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.9997877556743934,1.462060550095721,1.472537281778615,0.0218832838973209,0.9888881296964804
15400,0,01_23,False,fresh,0,sgd,0.3,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.9990885165017294,0.9990885165017294,0.0,1.0
15400,0,01_23,False,fresh,0,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.997336754800658,0.9990885165017294,1.0486479648709248,0.0897292130112746,0.9874055410268912
15400,0,01_23,False,fresh,0,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.9975850943770443,0.9990885165017294,1.0320763963318045,0.0779709466275874,0.989250221984318
15400,0,01_23,False,fresh,0,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.9973486141324508,0.9990885165017294,1.0333952720811197,0.081633084964527,0.9888881296964804
15400,0,01_23,True,fresh,0,adam,0.01,0,01_23,exact_path,0,common_exact_state,1.0000000000000002,1.2659035245946753,1.2659035245946753,0.0,1.0
15400,0,01_23,True,fresh,0,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.9993137517284753,1.2659035245946753,1.3003017035127429,0.0463481795216361,0.9874055410268912
15400,0,01_23,True,fresh,0,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9993722538361244,1.2659035245946753,1.2903133561092472,0.0406388685498372,0.989250221984318
15400,0,01_23,True,fresh,0,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.9992782971460616,1.2659035245946753,1.2901602872264215,0.0428746007697055,0.9888881296964804
15400,0,01_23,False,fresh,0,adam,0.01,1,02_13,exact_path,0,common_exact_state,1.0,1.462060550095721,1.462060550095721,0.0,1.0
15400,0,01_23,False,fresh,0,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.9998006384709024,1.462060550095721,1.4780352616587076,0.0228573971463151,0.9874055410268912
15400,0,01_23,False,fresh,0,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.999816099923118,1.462060550095721,1.4725644276666616,0.020544017771304,0.989250221984318
15400,0,01_23,False,fresh,0,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.9997877556743934,1.462060550095721,1.472537281778615,0.0218832838973209,0.9888881296964804
15400,0,01_23,False,fresh,0,adam,0.01,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.9990885165017294,0.9990885165017294,0.0,1.0
15400,0,01_23,False,fresh,0,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.997336754800658,0.9990885165017294,1.0486479648709248,0.0897292130112746,0.9874055410268912
15400,0,01_23,False,fresh,0,adam,0.01,2,03_12,subtree_projection,2,common_exact_state,0.9975850943770443,0.9990885165017294,1.0320763963318045,0.0779709466275874,0.989250221984318
15400,0,01_23,False,fresh,0,adam,0.01,2,03_12,broadcast_projection,3,common_exact_state,0.9973486141324508,0.9990885165017294,1.0333952720811197,0.081633084964527,0.9888881296964804
15400,0,01_23,True,fresh,10,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0000000000000002,0.1401021990876555,0.1401021990876555,0.0,1.0
15400,0,01_23,True,fresh,10,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.9656783846718384,0.1401021990876555,0.1358400901407057,0.2597700306802774,0.8569619914108769
15400,0,01_23,True,fresh,10,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9919006284775348,0.1401021990876555,0.1412677109044015,0.1280730515354661,0.9878420686731398
15400,0,01_23,True,fresh,10,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.9670303243157292,0.1401021990876555,0.1321284738180697,0.2557844111543529,0.8764579766181596
15400,0,01_23,False,fresh,10,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0,0.1056044123653002,0.1056044123653002,0.0,1.0
15400,0,01_23,False,fresh,10,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.9692345445636787,0.1056044123653002,0.1262900244359837,0.3345919701899074,0.9049719998110682
15400,0,01_23,False,fresh,10,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.9879161129934788,0.1056044123653002,0.1080966191525069,0.1590441911117324,0.9881336529195412
15400,0,01_23,False,fresh,10,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.971938586153792,0.1056044123653002,0.1151901088169003,0.2635455435436912,0.9169416584594984
15400,0,01_23,False,fresh,10,sgd,0.3,2,03_12,exact_path,0,common_exact_state,1.0000000000000002,0.1893630327429513,0.1893630327429513,0.0,1.0
15400,0,01_23,False,fresh,10,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.9485957412244288,0.1893630327429513,0.1945207277397206,0.3261143649125742,0.9319449100344408
15400,0,01_23,False,fresh,10,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.983977453397865,0.1893630327429513,0.188208690839432,0.1785690598055296,0.986988787113712
15400,0,01_23,False,fresh,10,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.9548542770835756,0.1893630327429513,0.1829419521094319,0.2972870281229385,0.9404603852069032
15400,0,01_23,True,fresh,10,adam,0.01,0,01_23,exact_path,0,common_exact_state,1.0,0.817447587655052,0.817447587655052,0.0,1.0
15400,0,01_23,True,fresh,10,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.9982090706710036,0.817447587655052,0.828509014821108,0.0617530010335996,0.9875173645740162
15400,0,01_23,True,fresh,10,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9991808096867512,0.817447587655052,0.8242249523333753,0.0414813577687098,0.989574788002854
15400,0,01_23,True,fresh,10,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.9982236948090136,0.817447587655052,0.8219500388999491,0.0600209574369311,0.988899713014559
15400,0,01_23,False,fresh,10,adam,0.01,1,02_13,exact_path,0,common_exact_state,0.9999999999999998,1.007072035729227,1.007072035729227,0.0,1.0
15400,0,01_23,False,fresh,10,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.9961088588292628,1.007072035729227,1.0078308841721704,0.0882536924714789,0.9823777382445849
15400,0,01_23,False,fresh,10,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9997284100027242,1.007072035729227,0.993283442693088,0.0268925140909823,0.9894785549826136
15400,0,01_23,False,fresh,10,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.9961481293556468,1.007072035729227,0.9804954313105808,0.0905365697676887,0.98434725494672
15400,0,01_23,False,fresh,10,adam,0.01,2,03_12,exact_path,0,common_exact_state,1.0,0.4745700124824319,0.4745700124824319,0.0,1.0
15400,0,01_23,False,fresh,10,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.9887767633219572,0.4745700124824319,0.5029821975518894,0.1654529064962455,0.9875219500152016
15400,0,01_23,False,fresh,10,adam,0.01,2,03_12,subtree_projection,2,common_exact_state,0.9901772135857562,0.4745700124824319,0.4948909030051791,0.1493998154632667,0.9895921376877884
15400,0,01_23,False,fresh,10,adam,0.01,2,03_12,broadcast_projection,3,common_exact_state,0.9893508380093604,0.4745700124824319,0.4958200084717169,0.1557466517562825,0.9892170076211368
15400,0,01_23,True,fresh,100,sgd,0.3,0,01_23,exact_path,0,common_exact_state,1.0,0.0332741290634741,0.0332741290634741,0.0,1.0
15400,0,01_23,True,fresh,100,sgd,0.3,0,01_23,calibrated_broadcast,1,common_exact_state,0.8661503504775925,0.0332741290634741,0.0335835106403564,0.5198796100634895,0.665515183615276
15400,0,01_23,True,fresh,100,sgd,0.3,0,01_23,subtree_projection,2,common_exact_state,0.9855312759038511,0.0332741290634741,0.0290594063266879,0.2032645582931984,0.9857459173799789
15400,0,01_23,True,fresh,100,sgd,0.3,0,01_23,broadcast_projection,3,common_exact_state,0.8690507418006516,0.0332741290634741,0.0284507606269714,0.4949212740786805,0.7114584036215984
15400,0,01_23,False,fresh,100,sgd,0.3,1,02_13,exact_path,0,common_exact_state,1.0,0.0196983977173269,0.0196983977173269,0.0,1.0
15400,0,01_23,False,fresh,100,sgd,0.3,1,02_13,calibrated_broadcast,1,common_exact_state,0.927436321285075,0.0196983977173269,0.0170924593108612,0.3787206490917685,0.8663858926260158
15400,0,01_23,False,fresh,100,sgd,0.3,1,02_13,subtree_projection,2,common_exact_state,0.9708669156369402,0.0196983977173269,0.0179272603973681,0.2472076074399243,0.9676502016437948
15400,0,01_23,False,fresh,100,sgd,0.3,1,02_13,broadcast_projection,3,common_exact_state,0.928967443085034,0.0196983977173269,0.0165855246703739,0.3802465948817057,0.881918038488684
15400,0,01_23,False,fresh,100,sgd,0.3,2,03_12,exact_path,0,common_exact_state,1.0,0.0331185738878638,0.0331185738878638,0.0,1.0
15400,0,01_23,False,fresh,100,sgd,0.3,2,03_12,calibrated_broadcast,1,common_exact_state,0.9235256286860264,0.0331185738878638,0.0341720044944816,0.3985291111788431,0.7055283023719645
15400,0,01_23,False,fresh,100,sgd,0.3,2,03_12,subtree_projection,2,common_exact_state,0.9546723466280236,0.0331185738878638,0.0310579970803435,0.2981375519418099,0.9672090234291464
15400,0,01_23,False,fresh,100,sgd,0.3,2,03_12,broadcast_projection,3,common_exact_state,0.9219023934009472,0.0331185738878638,0.028762761357484,0.3910883727308216,0.7456191498550149
15400,0,01_23,True,fresh,100,adam,0.01,0,01_23,exact_path,0,common_exact_state,1.0,0.0313110872203012,0.0313110872203012,0.0,1.0
15400,0,01_23,True,fresh,100,adam,0.01,0,01_23,calibrated_broadcast,1,common_exact_state,0.8289042082209814,0.0313110872203012,0.0312003946505258,0.5839472135679804,0.6779226490903212
15400,0,01_23,True,fresh,100,adam,0.01,0,01_23,subtree_projection,2,common_exact_state,0.9687132066526511,0.0313110872203012,0.026599950053375,0.2753134882069527,0.9846667564520764
15400,0,01_23,True,fresh,100,adam,0.01,0,01_23,broadcast_projection,3,common_exact_state,0.8327256461553668,0.0313110872203012,0.0266713865185326,0.554014948859473,0.7237989626547574
15400,0,01_23,False,fresh,100,adam,0.01,1,02_13,exact_path,0,common_exact_state,1.0,0.0589657531623644,0.0589657531623644,0.0,1.0
15400,0,01_23,False,fresh,100,adam,0.01,1,02_13,calibrated_broadcast,1,common_exact_state,0.9418801951186428,0.0589657531623644,0.0635222720258563,0.3622059869962719,0.8830816778308842
15400,0,01_23,False,fresh,100,adam,0.01,1,02_13,subtree_projection,2,common_exact_state,0.9839080030158056,0.0589657531623644,0.0557161640861036,0.1828863805432751,0.9804605833841988
15400,0,01_23,False,fresh,100,adam,0.01,1,02_13,broadcast_projection,3,common_exact_state,0.944144129312413,0.0589657531623644,0.0578036136293275,0.3315093959002029,0.8994296979257261
15400,0,01_23,False,fresh,100,adam,0.01,2,03_12,exact_path,0,common_exact_state,0.9999999999999998,0.0254245733033761,0.0254245733033761,0.0,1.0
15400,0,01_23,False,fresh,100,adam,0.01,2,03_12,calibrated_broadcast,1,common_exact_state,0.9324638602957857,0.0254245733033761,0.0227332487996044,0.3632898337100682,0.71612097212927
