family,structure,optimizer,rule,rate,test_nmse
matching,assignment_shuffled,adam,broadcast,0.003,0.8200251115205258
matching,assignment_shuffled,adam,broadcast,0.01,0.8325767734054927
matching,assignment_shuffled,adam,broadcast,0.03,0.955426566432295
matching,assignment_shuffled,adam,exact,0.003,0.5928865825313103
matching,assignment_shuffled,adam,exact,0.01,0.5831608323483797
matching,assignment_shuffled,adam,exact,0.03,0.590614895507404
matching,assignment_shuffled,adam,global_projection,0.003,0.7190929430919484
matching,assignment_shuffled,adam,global_projection,0.01,0.6619321826920995
matching,assignment_shuffled,adam,global_projection,0.03,0.631324121938061
matching,assignment_shuffled,adam,shuffled_projection,0.003,0.7429807056323512
matching,assignment_shuffled,adam,shuffled_projection,0.01,0.6559466356348083
matching,assignment_shuffled,adam,shuffled_projection,0.03,0.6342347261008098
matching,assignment_shuffled,adam,subtree_projection,0.003,0.676107961162189
matching,assignment_shuffled,adam,subtree_projection,0.01,0.6798872771348463
matching,assignment_shuffled,adam,subtree_projection,0.03,0.6513343415357434
matching,assignment_shuffled,sgd,broadcast,0.003,0.9403508936895308
matching,assignment_shuffled,sgd,broadcast,0.01,0.8364954228967025
matching,assignment_shuffled,sgd,broadcast,0.03,0.825412524202895
matching,assignment_shuffled,sgd,exact,0.003,0.9661532065193679
matching,assignment_shuffled,sgd,exact,0.01,0.8376390471446307
matching,assignment_shuffled,sgd,exact,0.03,0.6658063128741692
matching,assignment_shuffled,sgd,global_projection,0.003,1.0142696730661735
matching,assignment_shuffled,sgd,global_projection,0.01,0.9867048829737076
matching,assignment_shuffled,sgd,global_projection,0.03,0.9511128456780387
matching,assignment_shuffled,sgd,shuffled_projection,0.003,0.9996112390656432
matching,assignment_shuffled,sgd,shuffled_projection,0.01,0.9652065829503707
matching,assignment_shuffled,sgd,shuffled_projection,0.03,0.8874427127329323
matching,assignment_shuffled,sgd,subtree_projection,0.003,1.0082578751070257
matching,assignment_shuffled,sgd,subtree_projection,0.01,0.9665053256271952
matching,assignment_shuffled,sgd,subtree_projection,0.03,0.8832616101853652
matching,compatible,adam,broadcast,0.003,0.04222798287595026
matching,compatible,adam,broadcast,0.01,0.023446132908876625
