family,optimizer,structure,contrast,mean,ci95_low,ci95_high,n_seeds,positive_seeds
matching,sgd,compatible,broadcast minus exact,-0.03351312284840078,-0.08668615238143816,-0.00420805643390174,20,5
matching,sgd,compatible,global_projection minus exact,0.3659004492465784,0.16899647038740218,0.5629927402000767,20,16
matching,sgd,compatible,subtree_projection minus exact,0.4596838050058193,0.3115283824521421,0.6065739126761431,20,17
matching,sgd,compatible,shuffled_projection minus exact,0.23365289982817622,0.07747646041812085,0.39187489823213806,20,13
matching,sgd,assignment_shuffled,broadcast minus exact,0.15960621132872577,0.08660151470624335,0.2374970324209757,20,17
matching,sgd,assignment_shuffled,global_projection minus exact,0.2853065328038694,0.2186006109582982,0.3501794891829242,20,20
matching,sgd,assignment_shuffled,subtree_projection minus exact,0.21745529731119612,0.15098436392623726,0.282317982780722,20,17
matching,sgd,assignment_shuffled,shuffled_projection minus exact,0.22163639985876316,0.16473459491142817,0.27798036154388395,20,19
matching,sgd,paired,shuffled minus compatible: exact,0.6093658451760525,0.5330736095244115,0.6827761735340971,20,20
matching,sgd,paired,shuffled minus compatible: broadcast,0.802485179353179,0.7436643679036407,0.8613017507940827,20,20
matching,sgd,paired,shuffled minus compatible: global_projection,0.5287719287333438,0.3421698469486126,0.7084257496746174,20,17
matching,sgd,paired,shuffled minus compatible: subtree_projection,0.3671373374814293,0.21440245101606287,0.5175263700372249,20,17
matching,sgd,paired,shuffled minus compatible: shuffled_projection,0.5973493452066395,0.4417799426575764,0.7425480927427932,20,19
matching,adam,compatible,broadcast minus exact,0.017520217718670104,-0.0006595982554947695,0.050629884069401956,20,10
matching,adam,compatible,global_projection minus exact,0.002581827335472835,-0.0018467400725791464,0.010302314195213646,20,8
matching,adam,compatible,subtree_projection minus exact,0.06932891133678942,0.005364727846494456,0.14057365490107582,20,18
matching,adam,compatible,shuffled_projection minus exact,0.023185412527821945,-0.001969581190193441,0.07226545959225003,20,8
matching,adam,assignment_shuffled,broadcast minus exact,0.2368642791721463,0.1740300735850743,0.29849713002832395,20,18
matching,adam,assignment_shuffled,global_projection minus exact,0.0787713503437198,0.015908275269755665,0.14998671476393088,20,18
matching,adam,assignment_shuffled,subtree_projection minus exact,0.06817350918736374,0.01613791260998807,0.12178012621021433,20,18
matching,adam,assignment_shuffled,shuffled_projection minus exact,0.07278580328642863,0.007885119724441236,0.13657359159423976,20,17
matching,adam,paired,shuffled minus compatible: exact,0.5584530671910996,0.5198246736673223,0.6073127651016316,20,20
matching,adam,paired,shuffled minus compatible: broadcast,0.7777971286445756,0.7103841553293908,0.8450799850994549,20,20
matching,adam,paired,shuffled minus compatible: global_projection,0.6346425901993464,0.5647165982704367,0.711010281650531,20,20
matching,adam,paired,shuffled minus compatible: subtree_projection,0.5572976650416739,0.45534707482629966,0.6491725593775091,20,20
matching,adam,paired,shuffled minus compatible: shuffled_projection,0.6080534579497063,0.5236200064125587,0.682739480066975,20,20
quartet,sgd,compatible,broadcast minus exact,0.6043460081448955,0.4373807736933424,0.7609124851148952,20,18
quartet,sgd,compatible,global_projection minus exact,0.5385430890378062,0.3494805490198435,0.7536215917486764,20,19
quartet,sgd,compatible,subtree_projection minus exact,0.2727699805198279,0.15487815947696543,0.38317421560929593,20,17
quartet,sgd,compatible,shuffled_projection minus exact,0.2522371599723661,0.11897088232287861,0.3854037172044173,20,16
quartet,sgd,assignment_shuffled,broadcast minus exact,0.15639607958693472,0.057544163445035906,0.25658128103980576,20,17
quartet,sgd,assignment_shuffled,global_projection minus exact,0.0870617892845712,0.016994555293663546,0.171719771418811,20,9
quartet,sgd,assignment_shuffled,subtree_projection minus exact,0.05911716822367008,-0.010937327329514954,0.14395141016666801,20,9
quartet,sgd,assignment_shuffled,shuffled_projection minus exact,0.09078485581237301,0.018507840024910495,0.18143988357417926,20,10
quartet,sgd,paired,shuffled minus compatible: exact,0.5101843106691665,0.34003835033318147,0.6791821723063917,20,19
quartet,sgd,paired,shuffled minus compatible: broadcast,0.0622343821112055,0.020447630340886893,0.1217378690161234,20,17
quartet,sgd,paired,shuffled minus compatible: global_projection,0.05870301091593142,-0.15470961869392233,0.2374585382116458,20,14
quartet,sgd,paired,shuffled minus compatible: subtree_projection,0.2965314983730086,0.18593081795899635,0.4204869772091771,20,17
quartet,sgd,paired,shuffled minus compatible: shuffled_projection,0.3487320065091733,0.2032088866943828,0.49864844727952456,20,17
quartet,adam,compatible,broadcast minus exact,0.9416780935434625,0.892687421155137,0.9817674097700535,20,20
quartet,adam,compatible,global_projection minus exact,0.31720066848414163,0.15752998591101547,0.48678176400707013,20,20
quartet,adam,compatible,subtree_projection minus exact,0.15296759604148652,0.06920645176904706,0.24387851011199907,20,20
quartet,adam,compatible,shuffled_projection minus exact,0.16453691956399102,0.02892531170297488,0.3232873469469568,20,19
quartet,adam,assignment_shuffled,broadcast minus exact,0.4907411883234335,0.4808757928037889,0.5001566536177983,20,20
quartet,adam,assignment_shuffled,global_projection minus exact,0.3071603975617566,0.21296710615219833,0.39784525206375715,20,19
quartet,adam,assignment_shuffled,subtree_projection minus exact,0.09157735447593159,0.04081385361484617,0.15828936574027197,20,19
quartet,adam,assignment_shuffled,shuffled_projection minus exact,0.09657880084119692,0.03529341760568971,0.16889990473417665,20,17
quartet,adam,paired,shuffled minus compatible: exact,0.5119796480153267,0.5065461280476597,0.5171040195705782,20,20
quartet,adam,paired,shuffled minus compatible: broadcast,0.06104274279529772,0.025141370108309656,0.1059054102327041,20,18
quartet,adam,paired,shuffled minus compatible: global_projection,0.5019393770929417,0.3131920143686118,0.6837854496048553,20,17
quartet,adam,paired,shuffled minus compatible: subtree_projection,0.45058940644977186,0.36410278016276065,0.529491256172952,20,20
quartet,adam,paired,shuffled minus compatible: shuffled_projection,0.4440215292925327,0.2622677475249743,0.5976641139053754,20,17
nested,sgd,compatible,broadcast minus exact,0.5917110920034385,0.4749663211186397,0.6893147411614767,20,19
nested,sgd,compatible,global_projection minus exact,0.5197693077907922,0.41202016520014767,0.6230328123441832,20,20
nested,sgd,compatible,subtree_projection minus exact,0.4297472253942375,0.32314089829439735,0.5359035135610188,20,20
nested,sgd,compatible,shuffled_projection minus exact,0.4146944853518778,0.2990997802304867,0.5317025471994734,20,20
nested,sgd,assignment_shuffled,broadcast minus exact,0.43007916627831355,0.08981346129118865,1.042928145349211,20,16
nested,sgd,assignment_shuffled,global_projection minus exact,0.14390791214876417,0.07816815826726947,0.21655944846966,20,16
nested,sgd,assignment_shuffled,subtree_projection minus exact,0.12459722605082613,0.06767090442537836,0.18796879088232804,20,18
