task_id,arm,method,seconds,calibration_fitting_shared_seconds,regime,pilot_update_seconds,pilot_evaluation_seconds
s6100_r1_n000_a000,feedback_only,gaussian_plugin_fullbatch,0.06070117198396474,0.16289438295643777,,,
s6100_r1_n000_a000,feedback_only,gaussian_plugin_sgd,0.0314036519266665,0.16289438295643777,,,
s6100_r1_n000_a000,feedback_only,gaussian_oracle_fullbatch,0.0006802849238738418,0.0,,,
s6100_r1_n000_a000,feedback_only,gaussian_oracle_sgd,0.026666922960430384,0.0,,,
s6100_r1_n000_a000,feedback_only,empirical_split_fullbatch,0.010912880068644881,,,,
s6100_r1_n000_a000,feedback_only,original_scalar,0.03379612707067281,,,,
s6100_r1_n000_a000,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005095559172332287,0.002353457035496831,,,
s6100_r1_n000_a000,joint_forward_feedback,gaussian_plugin_sgd,0.026119853951968253,0.002353457035496831,,,
s6100_r1_n000_a000,joint_forward_feedback,gaussian_oracle_fullbatch,0.0005164960166439414,0.0,,,
s6100_r1_n000_a000,joint_forward_feedback,gaussian_oracle_sgd,0.025974080082960427,0.0,,,
s6100_r1_n000_a000,joint_forward_feedback,empirical_split_fullbatch,0.010461871046572924,,,,
s6100_r1_n000_a000,joint_forward_feedback,original_scalar,0.03104747598990798,,,,
s6100_r1_n000_a250,feedback_only,gaussian_plugin_fullbatch,0.001041559036821127,0.050809494918212295,,,
s6100_r1_n000_a250,feedback_only,gaussian_plugin_sgd,0.030262255924753845,0.050809494918212295,,,
s6100_r1_n000_a250,feedback_only,gaussian_oracle_fullbatch,0.0005250379908829927,0.0,,,
s6100_r1_n000_a250,feedback_only,gaussian_oracle_sgd,0.026497901999391615,0.0,,,
s6100_r1_n000_a250,feedback_only,empirical_split_fullbatch,0.010271204984746873,,,,
s6100_r1_n000_a250,feedback_only,original_scalar,0.030586336040869355,,,,
s6100_r1_n000_a250,joint_forward_feedback,gaussian_plugin_fullbatch,0.0005010999739170074,0.002421205979771912,,,
s6100_r1_n000_a250,joint_forward_feedback,gaussian_plugin_sgd,0.025926211033947766,0.002421205979771912,,,
s6100_r1_n000_a250,joint_forward_feedback,gaussian_oracle_fullbatch,0.000519530032761395,0.0,,,
s6100_r1_n000_a250,joint_forward_feedback,gaussian_oracle_sgd,0.026091177947819233,0.0,,,
s6100_r1_n000_a250,joint_forward_feedback,empirical_split_fullbatch,0.01030233793426305,,,,
s6100_r1_n000_a250,joint_forward_feedback,original_scalar,0.030724019976332784,,,,
s6100_r1_n000_a500,feedback_only,gaussian_plugin_fullbatch,0.0004918330814689398,0.002522052964195609,,,
s6100_r1_n000_a500,feedback_only,gaussian_plugin_sgd,0.026078113936819136,0.002522052964195609,,,
