arm,regime,task_id,split,seed,rank,noise_sd,angle_pi,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,checkpoint,test_loss,population_loss,observed_objective,population_objective
feedback_only,fixed_cache,s6100_r1_n000_a000,development,6100,1,0.0,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,6.227857317680625e-32,1.7429665996704484e-32,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6100_r1_n000_a250,development,6100,1,0.0,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,6.36616538606765e-32,3.851859888774472e-33,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6100_r1_n000_a500,development,6100,1,0.0,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,4.606265272849783e-22,4.722997086145033e-22,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6100_r1_n750_a000,development,6100,1,0.75,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2892103382550068,0.2962000385262452,0.3031096855135827,0.3100993857848211
feedback_only,fixed_cache,s6100_r1_n750_a250,development,6100,1,0.75,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2834632297447632,0.2892040952520968,0.29736257700333907,0.30310344251067267
feedback_only,fixed_cache,s6100_r1_n750_a500,development,6100,1,0.75,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2804383009330103,0.2854701782442868,0.30433764819158615,0.3093695255028626
feedback_only,fixed_cache,s6100_r2_n000_a000,development,6100,2,0.0,0.0,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,5.341997967594796e-32,2.4471347355870318e-32,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6100_r2_n000_a250,development,6100,2,0.0,0.25,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,5.607541703553597e-22,5.744653586208745e-22,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6100_r2_n000_a500,development,6100,2,0.0,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,2.378721287322625e-10,2.4312258316178875e-10,0.02389934749644799,0.023899347501698448
feedback_only,fixed_cache,s6100_r2_n750_a000,development,6100,2,0.75,0.0,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.3064618980207054,0.2930335672329967,0.33036124527928123,0.3169329144915725
feedback_only,fixed_cache,s6100_r2_n750_a250,development,6100,2,0.75,0.25,balanced_interleaved_k2,balanced_interleaved,balanced,2,0.3158846978750554,0.25,0.6588469787505544,64,64,16,256,0.3001748064866488,0.2878600573965199,0.3254455823166532,0.3131308332265243
feedback_only,fixed_cache,s6100_r2_n750_a500,development,6100,2,0.75,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2987991373604249,0.2862359005138654,0.32269848461900075,0.3101352477724412
feedback_only,fixed_cache,s6100_r4_n000_a000,development,6100,4,0.0,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,1.3852295860116159e-17,1.4204852788531635e-17,0.04389934725857588,0.04389934725857588
feedback_only,fixed_cache,s6100_r4_n000_a250,development,6100,4,0.0,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,2.364820547530239e-10,2.3583935922707305e-10,0.043899347495057923,0.04389934749441523
feedback_only,fixed_cache,s6100_r4_n000_a500,development,6100,4,0.0,0.5,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,256,0.0014280279253228,0.0013955665904772,0.04669880375532724,0.04666634242048164
feedback_only,fixed_cache,s6100_r4_n750_a000,development,6100,4,0.75,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.3056317506929839,0.3061816910757461,0.34953109795155973,0.35008103833432197
feedback_only,fixed_cache,s6100_r4_n750_a250,development,6100,4,0.75,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,0.2988809714229532,0.2979751218944285,0.3427803186815291,0.34187446915300435
feedback_only,fixed_cache,s6100_r4_n750_a500,development,6100,4,0.75,0.5,balanced_interleaved_k4,balanced_interleaved,balanced,4,0.5658846978750555,0.5,0.6588469787505544,64,64,32,256,0.2915149518248795,0.2926470101364324,0.33678572765488396,0.33791778596643685
feedback_only,fixed_cache,s6100_r8_n000_a000,development,6100,8,0.0,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,1.7848203354424377e-07,1.701295253853663e-07,0.0838995257406094,0.08389951738810124
feedback_only,fixed_cache,s6100_r8_n000_a250,development,6100,8,0.0,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,1.2760751816560205e-07,1.2254631144494014e-07,0.08389947486609402,0.0838994698048873
feedback_only,fixed_cache,s6100_r8_n000_a500,development,6100,8,0.0,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,1.8577439098211183e-08,1.8833127034677004e-08,0.08389936583601496,0.08389936609170288
feedback_only,fixed_cache,s6100_r8_n750_a000,development,6100,8,0.75,0.0,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3182001807185595,0.304128201456995,0.40209952797713533,0.3880275487155708
feedback_only,fixed_cache,s6100_r8_n750_a250,development,6100,8,0.75,0.25,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3182003781197213,0.3041285282118828,0.40209972537829713,0.38802787547045864
feedback_only,fixed_cache,s6100_r8_n750_a500,development,6100,8,0.75,0.5,balanced_contiguous_k8,balanced_contiguous,balanced,8,1.0487418407321982,1.0,0.487418407321983,64,64,64,256,0.3182076581200611,0.3041354183588768,0.4021070053786369,0.38803476561745265
feedback_only,fixed_cache,s6101_r1_n000_a000,development,6101,1,0.0,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,6.48963706959603e-32,2.3135233456951668e-32,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6101_r1_n000_a250,development,6101,1,0.0,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,6.015394747079523e-32,6.162975822039155e-33,0.013899347258575865,0.013899347258575865
feedback_only,fixed_cache,s6101_r1_n000_a500,development,6101,1,0.0,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,3.347412246085518e-06,3.387212185325208e-06,0.02390269467082195,0.02390273447076119
feedback_only,fixed_cache,s6101_r1_n750_a000,development,6101,1,0.75,0.0,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2936492970217255,0.2968824680766044,0.3075486442803014,0.3107818153351803
feedback_only,fixed_cache,s6101_r1_n750_a250,development,6101,1,0.75,0.25,balanced_contiguous_k1,balanced_contiguous,balanced,1,0.1737418407321983,0.125,0.487418407321983,64,64,8,256,0.2860689967619012,0.2895465203259981,0.29996834402047706,0.303445867584574
feedback_only,fixed_cache,s6101_r1_n750_a500,development,6101,1,0.75,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2787623914251608,0.282709055882635,0.30266173868373664,0.30660840314121085
feedback_only,fixed_cache,s6101_r2_n000_a000,development,6101,2,0.0,0.0,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,4.940315945068022e-32,1.4324103961380067e-32,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6101_r2_n000_a250,development,6101,2,0.0,0.25,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,3.476074903089106e-20,3.430467540709773e-20,0.023899347258575863,0.023899347258575863
feedback_only,fixed_cache,s6101_r2_n000_a500,development,6101,2,0.0,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.0010528863335297,0.0010210605586854,0.024952233592105563,0.024920407817261264
feedback_only,fixed_cache,s6101_r2_n750_a000,development,6101,2,0.75,0.0,comb_contiguous_k2,comb_contiguous,comb,2,0.35,0.25,1.0,64,64,16,256,0.3040057956954832,0.2991148151880846,0.33200579569548316,0.3271148151880846
feedback_only,fixed_cache,s6101_r2_n750_a250,development,6101,2,0.75,0.25,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.2966800792668297,0.2911199802504236,0.32057942652540555,0.31501932750899947
feedback_only,fixed_cache,s6101_r2_n750_a500,development,6101,2,0.75,0.5,balanced_contiguous_k2,balanced_contiguous,balanced,2,0.2987418407321983,0.25,0.487418407321983,64,64,16,256,0.291211636145154,0.2854395179574281,0.31511098340372984,0.30933886521600396
feedback_only,fixed_cache,s6101_r4_n000_a000,development,6101,4,0.0,0.0,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,3.951752409175312e-16,4.4186472219213597e-16,0.04389934725857626,0.04389934725857631
feedback_only,fixed_cache,s6101_r4_n000_a250,development,6101,4,0.0,0.25,balanced_contiguous_k4,balanced_contiguous,balanced,4,0.5487418407321983,0.5,0.487418407321983,64,64,32,256,6.544512885327419e-11,6.706238829856214e-11,0.043899347324020996,0.04389934732563826
feedback_only,fixed_cache,s6101_r4_n000_a500,development,6101,4,0.0,0.5,balanced_permutation_b_k4,balanced_permutation_b,balanced,4,0.5634003977894598,0.5,0.6340039778945984,64,64,32,256,0.0001110539077252,0.0001084607531426,0.045183085730881985,0.045180492576299386
