task_id,seed,observed_context_count,selected_k,generating_rank_for_audit_only
s6100_r1_n000_a000,6100,1,1,1
s6100_r1_n000_a250,6100,1,1,1
s6100_r1_n000_a500,6100,1,1,1
s6100_r1_n750_a000,6100,1,1,1
s6100_r1_n750_a250,6100,1,1,1
s6100_r1_n750_a500,6100,1,1,1
s6100_r2_n000_a000,6100,2,2,2
s6100_r2_n000_a250,6100,2,2,2
s6100_r2_n000_a500,6100,2,2,2
s6100_r2_n750_a000,6100,2,2,2
s6100_r2_n750_a250,6100,2,2,2
s6100_r2_n750_a500,6100,2,2,2
s6100_r4_n000_a000,6100,4,4,4
s6100_r4_n000_a250,6100,4,4,4
s6100_r4_n000_a500,6100,4,4,4
s6100_r4_n750_a000,6100,4,4,4
s6100_r4_n750_a250,6100,4,4,4
s6100_r4_n750_a500,6100,4,4,4
s6100_r8_n000_a000,6100,8,8,8
s6100_r8_n000_a250,6100,8,8,8
s6100_r8_n000_a500,6100,8,8,8
s6100_r8_n750_a000,6100,8,8,8
s6100_r8_n750_a250,6100,8,8,8
s6100_r8_n750_a500,6100,8,8,8
s6101_r1_n000_a000,6101,1,1,1
s6101_r1_n000_a250,6101,1,1,1
s6101_r1_n000_a500,6101,1,1,1
s6101_r1_n750_a000,6101,1,1,1
s6101_r1_n750_a250,6101,1,1,1
s6101_r1_n750_a500,6101,1,1,1
s6101_r2_n000_a000,6101,2,2,2
s6101_r2_n000_a250,6101,2,2,2
s6101_r2_n000_a500,6101,2,2,2
s6101_r2_n750_a000,6101,2,2,2
s6101_r2_n750_a250,6101,2,2,2
s6101_r2_n750_a500,6101,2,2,2
s6101_r4_n000_a000,6101,4,4,4
s6101_r4_n000_a250,6101,4,4,4
s6101_r4_n000_a500,6101,4,4,4
s6101_r4_n750_a000,6101,4,4,4
s6101_r4_n750_a250,6101,4,4,4
s6101_r4_n750_a500,6101,4,4,4
s6101_r8_n000_a000,6101,8,8,8
s6101_r8_n000_a250,6101,8,8,8
s6101_r8_n000_a500,6101,8,8,8
s6101_r8_n750_a000,6101,8,8,8
s6101_r8_n750_a250,6101,8,8,8
s6101_r8_n750_a500,6101,8,8,8
s6102_r1_n000_a000,6102,1,1,1
s6102_r1_n000_a250,6102,1,1,1
s6102_r1_n000_a500,6102,1,1,1
s6102_r1_n750_a000,6102,1,1,1
s6102_r1_n750_a250,6102,1,1,1
s6102_r1_n750_a500,6102,1,1,1
s6102_r2_n000_a000,6102,2,2,2
s6102_r2_n000_a250,6102,2,2,2
s6102_r2_n000_a500,6102,2,2,2
s6102_r2_n750_a000,6102,2,2,2
s6102_r2_n750_a250,6102,2,2,2
s6102_r2_n750_a500,6102,2,2,2
s6102_r4_n000_a000,6102,4,4,4
s6102_r4_n000_a250,6102,4,4,4
s6102_r4_n000_a500,6102,4,4,4
s6102_r4_n750_a000,6102,4,4,4
s6102_r4_n750_a250,6102,4,4,4
s6102_r4_n750_a500,6102,4,4,4
s6102_r8_n000_a000,6102,8,8,8
s6102_r8_n000_a250,6102,8,8,8
s6102_r8_n000_a500,6102,8,8,8
s6102_r8_n750_a000,6102,8,8,8
s6102_r8_n750_a250,6102,8,8,8
s6102_r8_n750_a500,6102,8,8,8
s6103_r1_n000_a000,6103,1,1,1
s6103_r1_n000_a250,6103,1,1,1
s6103_r1_n000_a500,6103,1,1,1
s6103_r1_n750_a000,6103,1,1,1
s6103_r1_n750_a250,6103,1,1,1
s6103_r1_n750_a500,6103,1,1,1
s6103_r2_n000_a000,6103,2,2,2
s6103_r2_n000_a250,6103,2,2,2
s6103_r2_n000_a500,6103,2,2,2
s6103_r2_n750_a000,6103,2,2,2
s6103_r2_n750_a250,6103,2,2,2
s6103_r2_n750_a500,6103,2,2,2
s6103_r4_n000_a000,6103,4,4,4
s6103_r4_n000_a250,6103,4,4,4
s6103_r4_n000_a500,6103,4,4,4
s6103_r4_n750_a000,6103,4,4,4
s6103_r4_n750_a250,6103,4,4,4
s6103_r4_n750_a500,6103,4,4,4
s6103_r8_n000_a000,6103,8,8,8
s6103_r8_n000_a250,6103,8,8,8
s6103_r8_n000_a500,6103,8,8,8
s6103_r8_n750_a000,6103,8,8,8
s6103_r8_n750_a250,6103,8,8,8
s6103_r8_n750_a500,6103,8,8,8
s6104_r1_n000_a000,6104,1,1,1
s6104_r1_n000_a250,6104,1,1,1
s6104_r1_n000_a500,6104,1,1,1
s6104_r1_n750_a000,6104,1,1,1
s6104_r1_n750_a250,6104,1,1,1
s6104_r1_n750_a500,6104,1,1,1
s6104_r2_n000_a000,6104,2,2,2
s6104_r2_n000_a250,6104,2,2,2
s6104_r2_n000_a500,6104,2,2,2
s6104_r2_n750_a000,6104,2,2,2
s6104_r2_n750_a250,6104,2,2,2
s6104_r2_n750_a500,6104,2,2,2
s6104_r4_n000_a000,6104,4,4,4
s6104_r4_n000_a250,6104,4,4,4
s6104_r4_n000_a500,6104,4,4,4
s6104_r4_n750_a000,6104,4,4,4
s6104_r4_n750_a250,6104,4,4,4
s6104_r4_n750_a500,6104,4,4,4
s6104_r8_n000_a000,6104,8,8,8
s6104_r8_n000_a250,6104,8,8,8
s6104_r8_n000_a500,6104,8,8,8
s6104_r8_n750_a000,6104,8,8,8
s6104_r8_n750_a250,6104,8,8,8
s6104_r8_n750_a500,6104,8,8,8
