arm,regime,checkpoint,rank,noise_sd,mean_prediction_minus_population_loss,ci95_low,ci95_high,n_seed_blocks,n_candidate_outcomes
feedback_only,fixed_cache,16,1,0.0,-9.297650110851844e-05,-0.0009652158224812076,0.0006912395694740637,20,800
feedback_only,fixed_cache,16,1,0.75,-0.004879624563811226,-0.008655633305895069,-0.0015301018456829836,20,800
feedback_only,fixed_cache,16,2,0.0,-0.0009771151829254098,-0.002095672769279594,0.00010778202838491259,20,800
feedback_only,fixed_cache,16,2,0.75,-0.000627280272604628,-0.0035482607737239913,0.0018884142646653469,20,800
feedback_only,fixed_cache,16,4,0.0,-0.0037083273147139376,-0.0060032865393803885,-0.0015635380383192707,20,800
feedback_only,fixed_cache,16,4,0.75,-0.006002733194201699,-0.009498108539031833,-0.002779884370583163,20,800
feedback_only,fixed_cache,16,8,0.0,-0.0020665540460055487,-0.004630125248163277,0.0004948610548860234,20,800
feedback_only,fixed_cache,16,8,0.75,-0.0024007031888107653,-0.00479919888869968,5.598518145786988e-05,20,800
feedback_only,fixed_cache,64,1,0.0,-9.033813665082764e-06,-1.9983009038864527e-05,1.8619531661990962e-06,20,800
feedback_only,fixed_cache,64,1,0.75,0.0007748371680096381,-0.000825007314719137,0.0023044496941604514,20,800
feedback_only,fixed_cache,64,2,0.0,-0.00048055385095613167,-0.0011030627775727346,8.854561471593974e-05,20,800
feedback_only,fixed_cache,64,2,0.75,-0.0011614182798971536,-0.0024709178856966406,0.00012124976511770768,20,800
feedback_only,fixed_cache,64,4,0.0,-0.0005230214921451406,-0.0009481657750338573,-0.00017085499819867198,20,800
feedback_only,fixed_cache,64,4,0.75,-0.0028555753214985886,-0.004296045499163651,-0.0014611681839775416,20,800
feedback_only,fixed_cache,64,8,0.0,-0.002525093495700857,-0.0029800751282456333,-0.0020944716410358664,20,800
feedback_only,fixed_cache,64,8,0.75,-0.005672513472994726,-0.0069794359631632115,-0.004389000445733679,20,800
feedback_only,fixed_cache,256,1,0.0,-3.575715533078487e-13,-5.206824955865932e-13,-2.1339005395775832e-13,20,800
feedback_only,fixed_cache,256,1,0.75,0.0006611849183232855,-0.0013627253216389429,0.0025243471646115433,20,800
feedback_only,fixed_cache,256,2,0.0,-8.876095170164647e-05,-0.00024073192862599272,7.692232160387426e-05,20,800
feedback_only,fixed_cache,256,2,0.75,-0.0014548784099621304,-0.0027949813590649538,-0.00011720512359181978,20,800
feedback_only,fixed_cache,256,4,0.0,-0.0007665219892302913,-0.0009800505018590802,-0.0005570153271858331,20,800
feedback_only,fixed_cache,256,4,0.75,-0.0031755946551532952,-0.004108173147355523,-0.0022000566514171664,20,800
feedback_only,fixed_cache,256,8,0.0,-0.0017178253114664976,-0.0020392470944097696,-0.0014028113516697557,20,800
feedback_only,fixed_cache,256,8,0.75,-0.005526741991215995,-0.006389185709321494,-0.004674349572475885,20,800
feedback_only,fresh_iid,16,1,0.0,-2.3663340900672973e-05,-0.0010010711150884074,0.0009306391392878638,20,800
feedback_only,fresh_iid,16,1,0.75,-0.00026285587819336795,-0.002962029657006928,0.0021474246205402726,20,800
feedback_only,fresh_iid,16,2,0.0,-0.00038176590116458106,-0.0015889983590675442,0.0008224301420818161,20,800
feedback_only,fresh_iid,16,2,0.75,-0.002363959649282951,-0.005263147695633411,0.00025980394523069533,20,800
feedback_only,fresh_iid,16,4,0.0,-0.00015090236402345744,-0.00203703248135645,0.0016416978449483384,20,800
feedback_only,fresh_iid,16,4,0.75,0.0007126974595527984,-0.0014001430263826883,0.0030675885057086802,20,800
feedback_only,fresh_iid,16,8,0.0,-0.0012347173864100654,-0.0035893788223472283,0.0009904016987525499,20,800
feedback_only,fresh_iid,16,8,0.75,-0.0014744585804970184,-0.004031064564439127,0.000647699325921309,20,800
feedback_only,fresh_iid,64,1,0.0,-1.539212379136951e-06,-6.698982057972303e-06,3.7320370547493874e-06,20,800
feedback_only,fresh_iid,64,1,0.75,0.0019481450146478022,-0.0004764684949472259,0.004018263496086412,20,800
