task_id,family,policy,candidate_id_original,normalized_mse,regret_original,candidate_id_audit,shape,permutation_index,score_tie_count,nmse,regret_audit,oracle_nmse
matching_003,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_008,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_010,quadratic_matching,two_sweep_pilot,mixed_p0,0.5,0.0,balanced_p0,balanced,0,4,0.5,0.0,0.5
matching_011,quadratic_matching,two_sweep_pilot,mixed_p2,0.4999999999999999,0.0,balanced_p1,balanced,1,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_017,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_019,quadratic_matching,two_sweep_pilot,mixed_p3,0.4999999999999999,0.0,balanced_p0,balanced,0,7,0.5,1.1102230246251565e-16,0.4999999999999999
matching_033,quadratic_matching,two_sweep_pilot,mixed_p3,0.5,0.0,balanced_p0,balanced,0,3,0.5,0.0,0.5
matching_034,quadratic_matching,two_sweep_pilot,balanced_p3,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,5,0.4999999999999999,0.0,0.4999999999999999
matching_036,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_042,quadratic_matching,two_sweep_pilot,mixed_p3,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,5,0.5,1.1102230246251565e-16,0.4999999999999999
matching_048,quadratic_matching,two_sweep_pilot,mixed_p1,0.4999999999999999,0.0,balanced_p0,balanced,0,6,0.5,1.1102230246251565e-16,0.4999999999999999
matching_051,quadratic_matching,two_sweep_pilot,mixed_p1,0.4999999999999999,0.0,balanced_p2,balanced,2,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_062,quadratic_matching,two_sweep_pilot,mixed_p2,0.5,0.0,balanced_p0,balanced,0,3,0.5,0.0,0.5
matching_073,quadratic_matching,two_sweep_pilot,mixed_p3,0.5,0.0,balanced_p1,balanced,1,6,0.5,0.0,0.5
matching_074,quadratic_matching,two_sweep_pilot,mixed_p2,0.5,1.1102230246251563e-16,balanced_p2,balanced,2,2,0.4999999999999999,0.0,0.4999999999999999
matching_078,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,0.0,balanced_p0,balanced,0,6,0.5,0.0,0.5
matching_081,quadratic_matching,two_sweep_pilot,balanced_p2,0.5,1.1102230246251563e-16,balanced_p1,balanced,1,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_082,quadratic_matching,two_sweep_pilot,mixed_p3,0.4999999999999999,0.0,balanced_p1,balanced,1,3,0.5,1.1102230246251565e-16,0.4999999999999999
matching_083,quadratic_matching,two_sweep_pilot,mixed_p3,0.5,0.0,balanced_p1,balanced,1,3,0.5,0.0,0.5
matching_087,quadratic_matching,two_sweep_pilot,balanced_p2,0.5,1.1102230246251563e-16,balanced_p1,balanced,1,4,0.5,1.1102230246251565e-16,0.4999999999999999
matching_092,quadratic_matching,two_sweep_pilot,balanced_p2,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,5,0.4999999999999999,0.0,0.4999999999999999
matching_093,quadratic_matching,two_sweep_pilot,balanced_p2,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,3,0.5,1.1102230246251565e-16,0.4999999999999999
quartet_004,quartic_partition,two_sweep_pilot,mixed_p0,0.5,0.0,balanced_p0,balanced,0,12,0.5,0.0,0.5
quartet_010,quartic_partition,two_sweep_pilot,comb_p2,0.5,0.0,balanced_p1,balanced,1,10,0.5,0.0,0.5
quartet_015,quartic_partition,two_sweep_pilot,balanced_p1,0.5,0.0,balanced_p0,balanced,0,12,0.5,0.0,0.5
quartet_019,quartic_partition,two_sweep_pilot,comb_p0,0.5,0.0,balanced_p0,balanced,0,11,0.5,0.0,0.5
quartet_021,quartic_partition,two_sweep_pilot,mixed_p2,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,12,0.5,1.1102230246251565e-16,0.4999999999999999
quartet_023,quartic_partition,two_sweep_pilot,mixed_p0,0.5,0.0,balanced_p0,balanced,0,11,0.5,0.0,0.5
quartet_028,quartic_partition,two_sweep_pilot,mixed_p2,0.5,0.0,balanced_p0,balanced,0,12,0.5,0.0,0.5
quartet_030,quartic_partition,two_sweep_pilot,balanced_p2,0.5,1.1102230246251563e-16,balanced_p0,balanced,0,11,0.5,1.1102230246251565e-16,0.4999999999999999
quartet_034,quartic_partition,two_sweep_pilot,mixed_p0,0.5,0.0,balanced_p0,balanced,0,12,0.5,0.0,0.5
