task_id,family,policy,candidate_id,normalized_mse,regret
matching_000,quadratic_matching,centered_cut_bound,balanced_p0,4.294314154494808e-31,0.0
matching_000,quadratic_matching,centered_cut_sum,balanced_p0,4.294314154494808e-31,0.0
matching_000,quadratic_matching,full_cut_bound,balanced_p0,4.294314154494808e-31,0.0
matching_000,quadratic_matching,two_sweep_pilot,balanced_p0,4.294314154494808e-31,0.0
matching_000,quadratic_matching,fixed_balanced_p0,balanced_p0,4.294314154494808e-31,0.0
matching_000,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.5
matching_000,quadratic_matching,uniform_random_expectation,average,0.625,0.625
matching_001,quadratic_matching,centered_cut_bound,balanced_p0,0.25,0.0
matching_001,quadratic_matching,centered_cut_sum,balanced_p0,0.25,0.0
matching_001,quadratic_matching,full_cut_bound,balanced_p0,0.25,0.0
matching_001,quadratic_matching,two_sweep_pilot,balanced_p0,0.25,0.0
matching_001,quadratic_matching,fixed_balanced_p0,balanced_p0,0.25,0.0
matching_001,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_001,quadratic_matching,uniform_random_expectation,average,0.6458333333333334,0.39583333333333337
matching_002,quadratic_matching,centered_cut_bound,balanced_p0,0.2499999999999999,0.0
matching_002,quadratic_matching,centered_cut_sum,balanced_p0,0.2499999999999999,0.0
matching_002,quadratic_matching,full_cut_bound,balanced_p0,0.2499999999999999,0.0
matching_002,quadratic_matching,two_sweep_pilot,balanced_p0,0.2499999999999999,0.0
matching_002,quadratic_matching,fixed_balanced_p0,balanced_p0,0.2499999999999999,0.0
matching_002,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.2500000000000001
matching_002,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.41666666666666674
matching_003,quadratic_matching,centered_cut_bound,mixed_p0,0.4999999999999999,0.0
matching_003,quadratic_matching,centered_cut_sum,comb_p0,0.75,0.2500000000000001
matching_003,quadratic_matching,full_cut_bound,mixed_p0,0.4999999999999999,0.0
matching_003,quadratic_matching,two_sweep_pilot,balanced_p1,0.5,1.1102230246251565e-16
matching_003,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_003,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.2500000000000001
matching_003,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.16666666666666674
matching_004,quadratic_matching,centered_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_004,quadratic_matching,centered_cut_sum,mixed_p1,0.5,1.1102230246251565e-16
matching_004,quadratic_matching,full_cut_bound,mixed_p0,0.5,1.1102230246251565e-16
matching_004,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,1.1102230246251565e-16
matching_004,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,1.1102230246251565e-16
matching_004,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,1.1102230246251565e-16
matching_004,quadratic_matching,uniform_random_expectation,average,0.6041666666666666,0.10416666666666674
matching_005,quadratic_matching,centered_cut_bound,mixed_p0,0.5,0.0
matching_005,quadratic_matching,centered_cut_sum,mixed_p1,0.5,0.0
matching_005,quadratic_matching,full_cut_bound,mixed_p0,0.5,0.0
matching_005,quadratic_matching,two_sweep_pilot,balanced_p0,0.5,0.0
matching_005,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.0
matching_005,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.25
matching_005,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.16666666666666663
matching_006,quadratic_matching,centered_cut_bound,mixed_p0,0.25,0.0
matching_006,quadratic_matching,centered_cut_sum,mixed_p0,0.25,0.0
matching_006,quadratic_matching,full_cut_bound,mixed_p0,0.25,0.0
matching_006,quadratic_matching,two_sweep_pilot,mixed_p0,0.25,0.0
matching_006,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_006,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.75,0.5
matching_006,quadratic_matching,uniform_random_expectation,average,0.6666666666666666,0.41666666666666663
matching_007,quadratic_matching,centered_cut_bound,mixed_p3,0.25,0.0
matching_007,quadratic_matching,centered_cut_sum,mixed_p3,0.25,0.0
matching_007,quadratic_matching,full_cut_bound,mixed_p3,0.25,0.0
matching_007,quadratic_matching,two_sweep_pilot,mixed_p3,0.25,0.0
matching_007,quadratic_matching,fixed_balanced_p0,balanced_p0,0.5,0.25
matching_007,quadratic_matching,best_fixed_in_hindsight,balanced_p2,0.5,0.25
matching_007,quadratic_matching,uniform_random_expectation,average,0.625,0.375
matching_008,quadratic_matching,centered_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
matching_008,quadratic_matching,centered_cut_sum,balanced_p0,0.5,1.1102230246251565e-16
matching_008,quadratic_matching,full_cut_bound,balanced_p0,0.5,1.1102230246251565e-16
