config,depth,branch_factors,seed,transport,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc
0,1,8,10100,per_soma_shared,0.5331000090,0.5333999991,0.5088999867,0.5514322519,0.5450703502,0.5081094503
1,1,8,10101,per_soma_shared,0.5349000096,0.5361999869,0.5018000007,0.5558927059,0.5492478609,0.5076028705
2,1,8,10100,path_transport,0.5324999690,0.5331000090,0.5087000132,0.5513830185,0.5450206399,0.5080973506
3,1,8,10101,path_transport,0.5351999998,0.5364999771,0.5015000105,0.5558145642,0.5493337512,0.5075848699
4,2,2x3,10100,per_soma_shared,0.5597000122,0.5490999818,0.5066999793,0.5853335857,0.5674338341,0.5101630688
5,2,2x3,10101,per_soma_shared,0.5500000119,0.5494999886,0.5034999847,0.5739419460,0.5702728629,0.5105609894
6,2,2x3,10100,path_transport,0.5648999810,0.5476999879,0.5040999651,0.5902948976,0.5700679421,0.5093923211
7,2,2x3,10101,path_transport,0.5509999990,0.5518999696,0.5031999946,0.5774582624,0.5731003881,0.5105366111
8,3,2x1x2,10100,per_soma_shared,0.5796999931,0.5737999678,0.5109999776,0.6263186932,0.6078817844,0.5168511868
9,3,2x1x2,10101,per_soma_shared,0.5760999918,0.5715000033,0.5076000094,0.6215139031,0.6114162207,0.5123819113
10,3,2x1x2,10100,path_transport,0.5880999565,0.5762999654,0.5095999837,0.6354596615,0.6144120097,0.5150506496
11,3,2x1x2,10101,path_transport,0.5882999897,0.5830000043,0.5065999627,0.6437671185,0.6288282275,0.5101025105
