seed,depth,config_index,record_index_distal_to_soma,is_soma_stage,module_name,component,mean,std,min,q05,q50,q95,max,n
10200,1,0,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3731383747,0.3395077792,0.0001589171588,0.001686613396,0.2655334175,0.9331209362,0.9779879451,65536
10200,1,0,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,60.34529996,47.58250579,5.38463974,8.279381514,55.56665039,155.1618233,380.5116577,65536
10200,1,0,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.04068414448,0.0419965667,0.002628040267,0.006444884464,0.01799640525,0.1207819711,0.1857134402,65536
10200,1,0,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10200,1,0,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240313606,0.005119121974,0.114815712,0.1170907542,0.124065984,0.133250922,0.1360819936,65536
10200,1,0,1,True,core_network.layers.0.populations.e.branch_layers.1,branch_voltage,0.3664825515,0.08472695094,0.1850380898,0.2468858309,0.3385183066,0.4710506126,0.4863117933,8192
10200,1,0,1,True,core_network.layers.0.populations.e.branch_layers.1,total_conductance,129.0468841,0.03527904667,129.0058136,129.0064087,129.0580292,129.0961609,129.1064606,8192
10200,1,0,1,True,core_network.layers.0.populations.e.branch_layers.1,input_resistance,0.007749122196,2.118451801e-06,0.007745545823,0.007746163756,0.007748452248,0.007751552854,0.00775158871,8192
10200,1,0,1,True,core_network.layers.0.populations.e.branch_layers.1,activation_derivative,1,0,1,1,1,1,1,8192
10200,1,0,1,True,core_network.layers.0.populations.e.branch_layers.1,path_gain,1,0,1,1,1,1,1,8192
10201,1,1,0,False,core_network.layers.0.populations.e.branch_layers.0,branch_voltage,0.3827695491,0.3489031536,0.0002055866935,0.001223002968,0.2925737202,0.9364229888,0.9668400884,65536
10201,1,1,0,False,core_network.layers.0.populations.e.branch_layers.0,total_conductance,63.62653422,47.91880322,5.564823627,8.282239914,58.58795357,159.9510307,296.9467468,65536
10201,1,1,0,False,core_network.layers.0.populations.e.branch_layers.0,input_resistance,0.03820569446,0.04094189639,0.003367607249,0.006251913379,0.01706835441,0.1207402851,0.1797002107,65536
10201,1,1,0,False,core_network.layers.0.populations.e.branch_layers.0,activation_derivative,1,0,1,1,1,1,1,65536
10201,1,1,0,False,core_network.layers.0.populations.e.branch_layers.0,path_gain,0.1240316041,0.005553528009,0.112905331,0.1162045076,0.1240843795,0.1349943876,0.1385626197,65536
