cohort,run_dir,config_index,seed,regime,mechanism,method,transport,depth,branch_factors,signal_delta,train_gain_sigma,test_gain_sigma,total_parameters,trainable_parameters,active_synapses,candidate_synapse_slots,persistent_state_scalars,config_sha256,final_sha256,fallback_mentions,nonfinite_alert,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc,train_categorical_loglikelihood,valid_categorical_loglikelihood,test_categorical_loglikelihood
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,0,10200,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,bf86e75bdb73f60ef65e4334208ed48ee785162b7f533eb11ae57be7d6257b8b,f367a7cdf90b4ec8024848e0826ec2f2a0aaed516fca81e4457ae5d37b3a44f9,0,False,0.6164000034,0.6220999956,0.6151999831,0.534771204,0.5347215533,0.5411088467,-2.967075825,-2.984175682,-3.02011466
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,1,10201,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,4287d3e9526a64d45d205d26a213d43303282c3fb8b4e0626daea1d4e72a16c5,bdd36f430154905c5e890654e4be4db16b4b641298cc075427fabdf9c358d2f4,0,False,0.5853999853,0.5845000148,0.5879999995,0.3467147648,0.3555851579,0.3461409509,-3.706672668,-3.820419073,-3.81097579
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,2,10202,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,307e16999f641488ae79ca40ecbbd0edbaebf3dfd66d18809ef2137397d7c735,148b402446595e0c4b40dccbe8290c0dab1abcbd15cdcbcd000dce38051ac461,0,False,0.4505999982,0.4445999861,0.4461999834,0.3558151722,0.3471539915,0.3399054408,-6.815845966,-6.837464809,-6.755616188
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,3,10203,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,00ef168ada88317934b0422a17acc22bdb71ffb25678ca6bbe1cad95201bd9ea,5a632cfb07737baf90e07f5a78c23c6ef283621ffa83f17179270426c5814051,0,False,0.6105999947,0.6162999868,0.6069999933,0.3813355863,0.3740078807,0.384660393,-4.642982483,-4.740272522,-4.801992893
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,4,10204,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,a3e42252a66101cb95b826555e5dd5b13703f053d3ac89d8308b93f19d06376d,9b587b04f69cc5478c6224ce0fe207e85a21c794ef070320b416653dbaa11c51,0,False,0.6261000037,0.6128000021,0.6110999584,0.6758959889,0.6631790996,0.6561475992,-3.920884371,-4.089414597,-4.100607395
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,5,10205,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,9d549c56d8c571e464a4541a2825ed96a9d80c1218d7dd43370233ddefbef84b,eebeebbc99fb54109a3a6a2b97e6f6c6e987a2fff72d9a7d5a61ddab8266d276,0,False,0.5893999934,0.5910999775,0.5960999727,0.3696549535,0.3751209974,0.3641317487,-5.148463726,-5.176300049,-4.980734825
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,6,10206,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,e6c3ed26d1c4f401b4ca442337ba7c1d233289bbae8de69e2aa53b6cdb15a9ee,8963b893da31afa1cba32cbcf0adc0e39c0756026b9b0dfb3ac4b3f702b504da,0,False,0.5848999619,0.5917999744,0.5873000026,0.3594945669,0.3471102417,0.3460567296,-4.425528049,-4.347992897,-4.335071564
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,7,10207,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,d8b660f1c082ec577f8543635212a4c95065a7181d8cdf687018f578d06bf4e0,9657a67d71fcadd22d021c6a6f2d8162b282f3afa0ea66baab3004b33cfcb44d,0,False,0.5618000031,0.5555999875,0.5546000004,0.6677083373,0.6671749949,0.6574202776,-4.78775692,-4.879162312,-4.99214983
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,8,10208,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,410764731150845423b662cdb2948b91f5cfed58a6a5cfe74b74cad65bce2ffd,0754bb4e27c6b4fe8dcf2701050c5f71364f32562e7480cf6eac84f15af859fa,0,False,0.5713999867,0.5629000068,0.5658999681,0.6595144868,0.6460409164,0.6437553167,-3.794772625,-3.920198441,-3.88738966
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,9,10209,aligned,additive,bp,backpropagation,1,8,0.8,0.25,0.25,66178,66178,14336,21760,2944,9679e68751bfded2a01162bb37633fdb16654a5ada11a826317ba68ec8203475,75dac722f175bd9238d617795429b145edf1197b6c14840ad7c1035ea0af7993,0,False,0.5622000098,0.5586000085,0.5611999631,0.3667281568,0.3668923974,0.3629841506,-4.799670219,-4.884860039,-4.774147511
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,10,10200,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,09b17d098f47434d389a64fe4c790158e965d4c0c63b7901a946812da08ee19f,9aa1974ed31d5ee6e6630305313405f84a38ca348faf29baa60143164b38e0da,0,False,0.5643000007,0.5640000105,0.5651999712,0.5510638356,0.5560879707,0.5500030518,-370.6565857,-366.6696167,-377.5584412
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,11,10201,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,03e3007dc5f4e3e662379b7e44999e9f1076e95b176343eaa758ee742f6ba87a,004c21d6d05fac63114ea817fe1ed7211b1fa72a9075235021fe641b9b6d3121,0,False,0.5036999583,0.5048999786,0.5038999915,0.3689814806,0.3797905743,0.3686944842,-1110.031128,-1114.402954,-1099.813721
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,12,10202,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,55d59657af3e1243843f1210579163c220239010f3caf6651b43bf5bdb948ffc,2030f047f055a3894129b10cefd74acabb8c2dae5eaefe9079aed5c867b6b4dc,0,False,0.5819000006,0.584100008,0.584100008,0.3713157475,0.3616512716,0.3544921279,-79.98640442,-78.75214386,-77.80899048
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,13,10203,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,4e06995c35ee15969718b96252fba87ada502aed7122b71d28ce0831e7bf9323,ac0b56fd69f23d5ac15f7e76f621f56b2c28aba7599310983166324a83d94fed,0,False,0.5558999777,0.5591999888,0.5521000028,0.3793898523,0.3706658483,0.385117799,-192.8972015,-196.5426483,-196.9952698
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,14,10204,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,03ffcb233a8a4cd94f039376c527f79e11c461d2f5dfe9145af029914e0d3f5c,622d8b2ee5a8698706616e37f95c3b56594b96896d39f085216d8b70d75d1ae0,0,False,0.5522999763,0.5519999862,0.5529999733,0.6550956368,0.6431584954,0.6391701102,-220.5284424,-224.5709991,-219.8031158
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,15,10205,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,8cc293fbe8afc8419a9ca439b6aaa0b876b2df0f8f866cd6fbaeb2da21a78950,d6c068a97b416aac1f2506f9ef60d57c83473f42a452d6ec9c273dfa5768ff5a,0,False,0.5428999662,0.5446000099,0.5446999669,0.4036474526,0.407990247,0.4005149603,-180.5649872,-180.1333771,-181.8503265
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,16,10206,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,e151a419e92e9611502291329e727d2725db5224911664507fcecf8df04812d3,7c917b555777161cabe56305ca1bccf6c5c9270b9edcdb9aa085927d89c85467,0,False,0.5,0.5,0.5,0.3709029555,0.3609204888,0.359413892,-1105.088989,-1113.37854,-1107.397705
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,17,10207,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,f2d90f9e0586cdedbb0161370383f08b05c4b858bb5e1ed076301336cf4c95b0,fa9abd13be694e5a1469e0c4673a84d7fcf97af5881a2e8951aaa93005097d5f,0,False,0.511500001,0.5123999715,0.5134999752,0.6365933418,0.6368082166,0.6256480813,-1318.7948,-1308.450195,-1336.17395
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,18,10208,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,1567d13f11485a9de617c27dc302b80b3ff2f5c4d0879101376bd6962cc17dec,c31bbea733cc78edc3e26ca28aded32f564fe94acadef47629ba31acc91af64d,0,False,0.5024999976,0.5020999908,0.5011000037,0.6412622929,0.630523622,0.6261096001,-1085.182739,-1074.458252,-1086.897095
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,19,10209,aligned,additive,bp,backpropagation,2,2x3,0.8,0.25,0.25,66178,66178,14336,21760,2944,fb7a39d5daa439b6fac71d0a2497322013fe272b26bb409dfdcc5ad7b2cc6ba3,3caf54bea3afe791b458619e99600b0d73f13454cf7441655e5f06ffedbdcdf6,0,False,0.5744999647,0.5730999708,0.5654000044,0.374933511,0.3793334663,0.3702051938,-83.09049988,-82.93366241,-82.90962219
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,20,10200,aligned,additive,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,c57f2c753772abbbcc81c0c9955070a6a74cde1fd9eaf635cccac2143cc9a534,8016e79ea79a20db1a0c2ca4aee43a03494b355193e0cb61f4b9670fb919a51b,0,False,0.549300015,0.5461999774,0.5490999818,0.5378745198,0.5364847183,0.536778152,-6139.714844,-6074.561523,-6219.022949
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,21,10201,aligned,additive,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,5b9af68fa4c853406d0cdd6d7020351b1800c781850960cca53bbbf5288921a6,7be264ecf6944284c11dc781e31a9f7b09925529594a64e47dd0aefa686fc7e8,0,False,0.5,0.4998999834,0.5002999902,0.37086308,0.3800384104,0.3707055748,-25151.00391,-25298.61523,-24981.01953
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,22,10202,aligned,additive,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,2cab35b4b9e8f43ebce770d60ee7df6962274def9a1a938c955e6b56d3e21380,d6515880995e79546a0af9c704b30221dfcf67fb129bf2b791bbb4fd2d19844e,0,False,0.5374999642,0.5450999737,0.5442999601,0.3781472743,0.3688899875,0.3614211977,-1119.871216,-1092.91394,-1115.341309
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,23,10203,aligned,additive,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,0707c4e4b2e7212b36b15e18aad31f112c737f43d7ef06cc01f2523e740c0f68,1de8972c4e64e2e023aa20371dbebd04bb906dd1bde5a02213c31e5224581f97,0,False,0.5,0.5001000166,0.5001999736,0.483469069,0.4773155153,0.4768191874,-18314.23242,-18048.46289,-18194.67969
aligned_additive_bp,nonlinear_physical_depth_runs/journal_confirmatory_physical_depth_aligned_additive_bp_20260812005124,24,10204,aligned,additive,bp,backpropagation,3,2x1x2,0.8,0.25,0.25,66178,66178,14336,21760,2944,349abbd613229a08957111b241012badffa3be653a04b19f3ca159a45f7c014c,b80cbe753b630776067add0087586eae99c584e9459d9345eee2f60ac204cd02,0,False,0.5045999885,0.5033000112,0.5051999688,0.6398604512,0.6262222528,0.6204645038,-26386.83398,-26720.67383,-27214.25195
