config,depth,branch_factors,signal_delta,seed,train_accuracy,valid_accuracy,test_accuracy,train_auc,valid_auc,test_auc
0,1,8,0.24,10130,0.5435999632,0.5354999900,0.5274999738,0.5613228679,0.5489825606,0.5391075611
1,1,8,0.24,10131,0.5335999727,0.5248000026,0.5266000032,0.5530745387,0.5375096202,0.5407800078
2,1,8,0.36,10130,0.5643999577,0.5512999892,0.5467000008,0.5852152109,0.5744273067,0.5638460517
3,1,8,0.36,10131,0.5587999821,0.5428000093,0.5411999822,0.5847369432,0.5631469488,0.5652425885
4,1,8,0.48,10130,0.5784999728,0.5726000071,0.5622999668,0.6069896221,0.5985917449,0.5878610611
5,1,8,0.48,10131,0.5749999881,0.5591999888,0.5643000007,0.6068874002,0.5871491432,0.5891796947
6,1,8,0.72,10130,0.6133999825,0.6061999798,0.5959999561,0.6517929435,0.6450768113,0.6345954537
7,1,8,0.72,10131,0.6092999578,0.5943999887,0.5978999734,0.6509313583,0.6327854991,0.6338493228
8,2,2x3,0.24,10130,0.5640999675,0.5554999709,0.5482999682,0.5889239311,0.5783245564,0.5666451454
9,2,2x3,0.24,10131,0.5699999928,0.5472999811,0.5565999746,0.5976876020,0.5677903891,0.5752552152
10,2,2x3,0.36,10130,0.5873999596,0.5842999816,0.5805000067,0.6241413355,0.6196217537,0.6075844169
11,2,2x3,0.36,10131,0.5959999561,0.5787000060,0.5823999643,0.6342445612,0.6072034240,0.6142174602
12,2,2x3,0.48,10130,0.6135999560,0.6134999990,0.6046000123,0.6588184834,0.6578384638,0.6451473832
13,2,2x3,0.48,10131,0.6244999766,0.6026999950,0.6080999970,0.6693975329,0.6447957754,0.6512788534
14,2,2x3,0.72,10130,0.6653000116,0.6665999889,0.6546999812,0.7233982682,0.7256006598,0.7132045031
15,2,2x3,0.72,10131,0.6714000106,0.6541999578,0.6608999968,0.7357252836,0.7143801451,0.7198452950
16,3,2x1x2,0.24,10130,0.6614999771,0.6396999955,0.6337000132,0.7139416933,0.6887623072,0.6803692579
17,3,2x1x2,0.24,10131,0.6435999870,0.6157999635,0.6208999753,0.6981589794,0.6639028788,0.6687791944
18,3,2x1x2,0.36,10130,0.7389999628,0.7221999764,0.7195999622,0.8271048665,0.8136012554,0.8037045598
19,3,2x1x2,0.36,10131,0.7459999919,0.7294999957,0.7312999964,0.8153887987,0.7932239175,0.7972585559
20,3,2x1x2,0.48,10130,0.7974999547,0.7881000042,0.7782999873,0.8853191137,0.8793490529,0.8703408837
21,3,2x1x2,0.48,10131,0.8292999864,0.8161000013,0.8168999553,0.8866188526,0.8724092841,0.8758879304
22,3,2x1x2,0.72,10130,0.8981999755,0.8944999576,0.8873999715,0.9399646521,0.9372801781,0.9310582280
23,3,2x1x2,0.72,10131,0.9113000035,0.9039999843,0.9060999751,0.9435586929,0.9364647269,0.9388787150
