branches,conflict_probability,contrast,left_condition,right_condition,endpoint,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,ties,wilcoxon_p_two_sided
2,0,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.00082500279,-0.000350004435,0.001950016605,11,2,0.1219626931
2,0,correct - shared,correct_path,neuron_shared_k1,test_loss,20,0.00034241675,-2.077924262e-05,0.0007463549018,10,0,0.21616745
2,0,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.2513500154,0.2458243859,0.2573750079,20,0,8.844915021e-05
2,0,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-10.57727087,-11.06195606,-10.07914843,0,0,1.907348633e-06
2,0,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.25,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.0005000025,-0.0008250027901,0.00180000066,9,3,0.3939676146
2,0.25,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.008776387575,-0.009494546328,-0.008075602377,0,0,1.907348633e-06
2,0.25,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.2620000184,0.2559500246,0.2685750186,20,0,8.844915021e-05
2,0.25,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-8.005268791,-8.406105873,-7.606459981,0,0,1.907348633e-06
2,0.25,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.25,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0.25,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.25,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.5,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.002175003285,0.0006249963459,0.003725007165,13,3,0.02604671869
2,0.5,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.0323775962,-0.03404045057,-0.03074022536,0,0,1.907348633e-06
2,0.5,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.2955500156,0.2900250121,0.3017000184,20,0,8.844915021e-05
2,0.5,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-5.67385073,-6.091287053,-5.227055151,0,0,1.907348633e-06
2,0.5,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.5,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0.5,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.5,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.5714285714,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.00247500539,0.001124998925,0.003800010685,17,0,0.003349664069
2,0.5714285714,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.04393184633,-0.04588942885,-0.04199224347,0,0,1.907348633e-06
2,0.5714285714,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.3253500178,0.3159500167,0.3377256444,20,0,1.907348633e-06
2,0.5714285714,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-4.782816407,-5.329420065,-4.160459749,0,0,1.907348633e-06
2,0.5714285714,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.5714285714,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0.5714285714,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.5714285714,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.6,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.002750003335,0.00119999945,0.00440000891,14,0,0.004808367084
2,0.6,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.04937884957,-0.05141526372,-0.04734606944,0,0,1.907348633e-06
2,0.6,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.3320000186,0.3247000261,0.3401250124,20,0,8.832385863e-05
2,0.6,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-4.62246764,-5.042254534,-4.187797399,0,0,1.907348633e-06
2,0.6,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.6,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0.6,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.6,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.6666666667,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.002699995025,0.00107499358,0.004399988129,13,1,0.01851665914
2,0.6666666667,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.0646723032,-0.06721083507,-0.0621616941,0,0,1.907348633e-06
2,0.6666666667,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.4228750229,0.3985000295,0.4512500183,20,0,1.907348633e-06
2,0.6666666667,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-3.999697915,-4.3349633,-3.671458069,0,0,1.907348633e-06
2,0.6666666667,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.6666666667,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
2,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_accuracy,20,0,0,0,0,20,1
2,0.6666666667,correct - gated point,correct_path,gated_point_emulation,test_loss,20,0,0,0,0,20,1
2,0.75,correct - shared,correct_path,neuron_shared_k1,test_accuracy,20,0.00427500606,0.002050003415,0.006575006245,16,0,0.00204993572
2,0.75,correct - shared,correct_path,neuron_shared_k1,test_loss,20,-0.09077623785,-0.09395524026,-0.08760498416,0,0,1.907348633e-06
2,0.75,correct - deranged,correct_path,within_neuron_deranged,test_accuracy,20,0.566575031,0.5538994053,0.5790506562,20,0,1.907348633e-06
2,0.75,correct - deranged,correct_path,within_neuron_deranged,test_loss,20,-5.171172074,-5.306061528,-5.038294437,0,0,1.907348633e-06
2,0.75,correct - BP,correct_path,backpropagation,test_accuracy,20,0,0,0,0,20,1
2,0.75,correct - BP,correct_path,backpropagation,test_loss,20,0,0,0,0,20,1
