alignment_alpha,depth,n_seeds,mean_test_accuracy,ci95_low_test_accuracy,ci95_high_test_accuracy
0.0,1,10,0.5793699860499999,0.5755199967215,0.5834399878800001
0.0,2,10,0.5795499861200001,0.5760597295962501,0.58346998691
0.0,3,10,0.57955998184,0.5761699795899999,0.5833799839199999
0.25,1,10,0.5822699964046478,0.5787199854850769,0.5860099971294404
0.25,2,10,0.5834399938583374,0.5797699987888336,0.5871499896049499
0.25,3,10,0.5843399822711944,0.5812899827957153,0.5875799894332886
0.5,1,10,0.5860499858856201,0.5820899844169617,0.5902699768543244
0.5,2,10,0.5930599808692932,0.5900799810886384,0.5962399780750275
0.5,3,10,0.5942499876022339,0.5915097242593765,0.5970699787139893
0.75,1,10,0.5941799879074097,0.5906399844586849,0.5978299798071384
0.75,2,10,0.6122899770736694,0.6093899786472321,0.6151899695396423
0.75,3,10,0.625439989566803,0.6231999933719635,0.6275599896907806
1.0,1,10,0.6096299767599999,0.6069299757600002,0.61217997671
1.0,2,10,0.6752199828700001,0.67226998211,0.6781399905899999
1.0,3,10,0.91817997694,0.9143599748600002,0.9223199725200001
