estimand,alignment_alpha,n_pairs,mean_difference,ci95_low,ci95_high,positive_pairs,exact_sign_flip_p_two_sided
depth_effect_alpha_0.00,0.0,10,0.0001899957899999971,-0.0016600012500000093,0.0018099904202499963,6,0.84375
depth_effect_alpha_0.25,0.25,10,0.0020699858665466308,7.998943328857422e-05,0.0035899877548217773,8,0.0703125
depth_effect_alpha_0.50,0.5,10,0.00820000171661377,0.005680012553930283,0.010749995708465576,10,0.001953125
depth_effect_alpha_0.75,0.75,10,0.03126000165939331,0.0286099910736084,0.03393999338150024,10,0.001953125
depth_effect_alpha_1.00,1.0,10,0.30855000018,0.30445000513125,0.3130500018399999,10,0.001953125
adjacent_alpha_0.25_minus_0.00,,10,0.0018799900765466338,0.0008699953284953316,0.0029299974127596894,8,0.01171875
adjacent_alpha_0.50_minus_0.25,,10,0.006130015850067139,0.00430002212524414,0.00784001350402832,10,0.001953125
adjacent_alpha_0.75_minus_0.50,,10,0.02305999994277954,0.0211899995803833,0.025050008296966554,10,0.001953125
adjacent_alpha_1.00_minus_0.75,,10,0.2772899985206067,0.273479986176275,0.28110999464150144,10,0.001953125
alpha_0.75_minus_0.25,,10,0.02919001579284668,0.026490020751953124,0.03174002766609192,10,0.001953125
within_seed_linear_slope_per_unit_alpha,,10,0.25836400982913865,0.25425999860995363,0.26262413159766973,10,0.001953125
