arm,depth,n,cap_count,mean_best_epoch,mean_late_drop,mean_late_slope,test_accuracy
broadcast_autograd_bp_recipe,1,10,9,167.4,0.0001553477764129507,-3.3493163795315107e-06,0.60985997916
broadcast_autograd_bp_recipe,3,10,10,179.8,0.012609774188995365,-0.0013216841275922827,0.91180998087
broadcast_autograd_localca_recipe,1,10,9,170.6,0.0001601569938659675,-9.474319377558465e-07,0.60793999434
broadcast_autograd_localca_recipe,3,10,10,179.8,0.010187250847816454,-0.0009512142326092057,0.7771299779399999
exact_autograd_bp_recipe,1,10,8,158.7,0.00020119253158569218,-3.1503145368680567e-06,0.60962997676
exact_autograd_bp_recipe,3,10,10,179.8,0.009227166328430176,-0.0009179264917352529,0.91817997694
path_transport,1,10,10,174.0,0.0001622729110717813,-4.2483882248127004e-07,0.6082799911600001
path_transport,3,10,10,179.8,0.012591587858200064,-0.001289820874827335,0.8873299837099999
per_soma_shared,1,10,9,169.2,0.00010474335670470624,9.867600598893961e-07,0.60828998685
per_soma_shared,3,10,10,179.8,0.010263669910430906,-0.0009469469458110198,0.7777599751900001
