segment_id,parent_segment_id,edge_length_um,mean_radius_um,x_um,y_um,z_um,n_skeleton_nodes,topological_depth,path_length_um,n_children,is_leaf,is_branchpoint,E_count,E_size,I_count,I_size,root_id,g_total,g_i,log_path_gain,log_update_gain,credit_domain_fraction,qc_included
8853,-1,0.0,7.5,333.151,155.686,58.443,1,0,0.0,4,False,True,0,0.0,0,0.0,648518346349539333,87.29080324766882,0.0,0.0,-4.469245110763217,,True
1,2469,86.43612021360364,0.26264880784881417,221.914,160.495,16.359,551,3,137.1033139861471,0,True,False,0,0.0,0,0.0,648518346349539333,2.9425479617521493,0.0,-4.6906004991877985,-5.769876358868139,,True
16,5113,107.25454748361773,0.24409245554204728,224.665,188.068,23.982,610,3,138.4863126450691,0,True,False,2,405.0,1,183.0,648518346349539333,4.37004938761808,0.30398671096345514,-4.303150345037736,-5.7779246555958075,0.1832579185520362,True
355,2469,86.46736668933039,0.25430248205024597,245.77,193.129,0.819,561,3,137.13456046187383,0,True,False,1,524.0,0,0.0,648518346349539333,3.7205029229041373,0.0,-4.755548683263005,-6.0694075367392,,True
1033,3549,65.09189454210494,0.11544642103917803,265.888,158.647,46.578,425,10,388.37704487475196,0,True,False,0,0.0,0,0.0,648518346349539333,0.974002872307125,0.0,-16.44391530454775,-16.41757427818442,,True
1137,5076,50.87136458797599,0.2267659079630391,268.03,183.217,16.002,305,7,127.68194897484726,0,True,False,0,0.0,0,0.0,648518346349539333,1.4952162289903743,0.0,-9.005371068832718,-9.407641899992937,,True
2063,8773,82.62696411504166,0.2629330834199832,284.935,214.318,3.15,522,6,122.67222797106639,0,True,False,0,0.0,0,0.0,648518346349539333,2.8159172105880597,0.0,-4.501843376095616,-5.537131414310108,,True
2333,6603,40.3643152976682,0.27716752474357365,287.854,158.08,86.121,259,2,64.23623021299223,0,True,False,0,0.0,0,0.0,648518346349539333,1.4500827452985248,0.0,-3.629150674350524,-4.000771294877941,,True
2469,6211,32.91913766808736,0.3427471195617356,288.925,158.983,51.954,208,2,50.66719377254344,2,False,True,0,0.0,0,0.0,648518346349539333,2.3060319402849796,0.0,-3.023797305596032,-3.859325578294495,,True
2806,9135,90.973592054166,0.2586623815972865,291.571,228.199,76.146,573,5,120.12631424099007,0,True,False,1,98.0,2,424.0,648518346349539333,3.9171210620464105,0.7043189368770764,-6.0548516449589105,-7.420208605993288,0.044343891402714934,True
3087,5076,27.92465330308943,0.2086042824565312,293.986,183.679,8.694,172,7,104.7352376899607,0,True,False,1,76.0,0,0.0,648518346349539333,0.8812752443849436,0.0,-8.572539157067762,-8.446153877912385,,True
3265,7361,74.29905774591866,0.2571041905892735,295.078,226.939,1.281,480,7,131.31138611941827,0,True,False,2,346.0,0,0.0,648518346349539333,3.0507204586772945,0.0,-6.25023850710444,-7.365616285788931,,True
3549,7569,123.15452412193397,0.11946101241303288,297.283,195.691,22.071,783,9,323.28515033264705,2,False,True,0,0.0,0,0.0,648518346349539333,2.1960868063500985,0.0,-13.465546397842477,-14.252223450011822,,True
4053,10290,52.90330661488409,0.26272943406240673,301.189,157.996,3.339,331,5,95.84748581886352,0,True,False,0,0.0,0,0.0,648518346349539333,1.8015420333787109,0.0,-4.9169805080342766,-5.505623491401457,,True
4191,5113,16.069314085201082,0.1496129543229095,301.945,152.389,41.181,114,3,47.30107924665245,0,True,False,0,0.0,2,718.0,648518346349539333,1.5043067724843355,1.1926910299003322,-3.3838477128893327,-3.7921798886844234,0.0,True
4807,6603,21.101634369469245,0.3271134374532779,307.363,147.181,85.848,127,2,44.97354928479327,0,True,False,0,0.0,1,219.0,648518346349539333,1.2584665534797803,0.3637873754152824,-2.6491852433332106,-2.8790792020772797,0.0,True
5020,3549,54.529246330537156,0.13316585759373004,308.707,170.407,57.246,334,10,377.8143966631842,2,False,True,0,0.0,0,0.0,648518346349539333,1.747772938512754,0.0,-15.98127472723584,-16.539617098155727,,True
5076,7919,23.860379032449146,0.26946058088221403,309.106,183.217,27.72,147,6,76.81058438687127,2,False,True,2,254.0,0,0.0,648518346349539333,2.6571779247993828,0.0,-7.433137850807036,-8.410402479888935,,True
5113,6563,14.73438895525317,0.5417107828470217,309.316,151.654,44.646,112,2,31.231765161451367,2,False,True,0,0.0,1,353.0,648518346349539333,2.684148409037324,0.5863787375415282,-2.122171123819577,-3.1095346353784956,0.1832579185520362,True
5173,6563,16.10939921734667,0.3785091329724628,309.736,147.454,56.49,101,2,32.60677542354487,0,True,False,0,0.0,1,305.0,648518346349539333,1.2969746841695584,0.5066445182724253,-2.9283739735143897,-3.1884083598991886,0.0,True
5495,5020,13.38354974418641,0.10414299143844201,311.731,162.973,61.908,89,11,391.19794640737064,0,True,False,0,0.0,0,0.0,648518346349539333,0.18065676012038992,0.0,-17.355618566283137,-15.644462165287162,,True
5533,11375,40.74816235893739,0.10675656901675325,311.899,206.317,86.247,257,9,206.19288993226058,0,True,False,0,0.0,0,0.0,648518346349539333,0.5638394870635772,0.0,-11.727205429237788,-11.154219763843178,,True
5682,5020,23.69411555742734,0.1257885246559445,313.054,151.78,64.827,143,11,401.5085122206115,0,True,False,0,0.0,0,0.0,648518346349539333,0.38630860060553496,0.0,-17.549144475770376,-16.59802573027045,,True
5981,6211,13.37612935933514,0.25740794149550417,315.532,150.31,65.667,84,2,31.12418546379122,0,True,False,0,0.0,0,0.0,648518346349539333,0.4462777689322732,0.0,-2.6958763863526047,-1.88906266582749,,True
6132,10448,36.06148516703087,1.25217614807822,316.918,149.449,82.929,224,7,72.20898546301663,0,True,False,0,0.0,0,0.0,648518346349539333,5.852775790383789,0.0,-5.8559072795477904,-7.622823322337535,,True
6211,8853,17.74805610445608,1.9678618563980974,317.464,156.799,61.341,66,1,17.74805610445608,2,False,True,0,0.0,0,0.0,648518346349539333,9.177099768614655,0.0,-1.4735128372092265,-3.6902240625806275,,True
6254,11515,60.42457285227996,0.2363621947862661,317.737,220.051,85.176,367,6,105.96751279035018,0,True,False,0,0.0,0,0.0,648518346349539333,1.851162119304048,0.0,-8.111608124970228,-8.727421739439425,,True
6563,8853,16.497376206198197,2.3705023532064335,320.194,155.497,50.82,58,1,16.497376206198197,2,False,True,0,0.0,0,0.0,648518346349539333,20.789202575094457,0.0,-1.4735128372092265,-4.507946582167218,,True
6603,8853,23.871914915324027,1.5781477686025132,320.53,151.234,74.34,103,1,23.871914915324027,2,False,True,0,0.0,1,167.0,648518346349539333,8.96592290928541,0.27740863787375414,-1.4735128372092265,-3.6669438847887816,0.0,True
7233,9918,28.147039544542395,0.12285038889764649,325.906,269.779,0.84,183,9,202.12689570400082,0,True,False,0,0.0,0,0.0,648518346349539333,0.44818994647382165,0.0,-11.374820966396092,-10.57228281763635,,True
7361,7919,4.062123019077489,0.3010648237162734,326.284,186.661,34.461,24,6,57.012328373499614,2,False,True,0,0.0,0,0.0,648518346349539333,1.090657644444725,0.0,-5.440817315237978,-5.527598173067772,,True
