study,contrast,task,core,strategy,feedback,n_pairs,mean_difference,ci95_low,ci95_high,wins,ties,wilcoxon_p_two_sided,dose,depth,fdr_bh_within_study
inhibition,dose 40 - dose 0,noise_resilience,dendritic_shunting,standard,backprop,10,0.0074099957942962095,0.006239992380142155,0.008490002155303888,10,0,0.001953125,,,0.002387152777777778
inhibition,dose 40 - dose 0,noise_resilience,dendritic_shunting,local_ca,per_soma,10,0.257439985871315,0.22877823948860168,0.2873204822093248,10,0,0.001953125,,,0.002387152777777778
inhibition,dose 40 - dose 0,noise_resilience,dendritic_shunting,local_ca,per_soma_shared,10,0.003930002450943026,0.001750004291534557,0.006000006198883079,9,0,0.009765625,,,0.010230654761904762
inhibition,dose 40 - dose 0,noise_resilience,dendritic_shunting,local_ca,path_transport,10,0.006130003929138183,0.005260002613067638,0.00690000057220458,10,0,0.001953125,,,0.002387152777777778
inhibition,dose 40 - dose 0,noise_resilience,dendritic_additive,standard,backprop,10,0.017550003528595016,0.015329998731613248,0.01940000057220461,10,0,0.001953125,,,0.002387152777777778
inhibition,dose 40 - dose 0,noise_resilience,dendritic_additive,local_ca,per_soma,10,0.0363599956035614,0.02295974537730217,0.04826999306678772,9,0,0.00390625,,,0.004296875
inhibition,dose 40 - dose 0,noise_resilience,dendritic_additive,local_ca,per_soma_shared,10,0.007179999351501409,0.005910003185272172,0.008519995212554898,10,0,0.001953125,,,0.002387152777777778
inhibition,dose 40 - dose 0,noise_resilience,dendritic_additive,local_ca,path_transport,10,0.017100006341934204,0.014959996938705476,0.019240003824233954,10,0,0.001953125,,,0.002387152777777778
inhibition,core by dose interaction,noise_resilience,shunting - additive,standard,backprop,10,-0.010140007734298805,-0.012240004688501347,-0.007410019636154308,1,0,0.00390625,,,0.004296875
inhibition,core by dose interaction,noise_resilience,shunting - additive,local_ca,per_soma,10,0.2210799902677536,0.1994099999219179,0.2444007413834333,10,0,0.001953125,,,0.002387152777777778
inhibition,core by dose interaction,noise_resilience,shunting - additive,local_ca,per_soma_shared,10,-0.003249996900558383,-0.005699992179870473,-0.000849997848272214,2,0,0.048828125,,,0.048828125
inhibition,core by dose interaction,noise_resilience,shunting - additive,local_ca,path_transport,10,-0.01097000241279602,-0.013139999210834514,-0.008640003055334028,0,0,0.001953125,,,0.002387152777777778
inhibition,scalar - exact,noise_resilience,dendritic_shunting,local_ca,per_soma - path_transport,10,-0.35072997510433196,-0.3811502243578434,-0.321219486668706,0,0,0.001953125,0.0,,0.002387152777777778
inhibition,scalar - exact,noise_resilience,dendritic_shunting,local_ca,per_soma - path_transport,10,-0.1422600090503692,-0.14960000514984123,-0.13465001583099356,0,0,0.001953125,5.0,,0.002387152777777778
inhibition,scalar - exact,noise_resilience,dendritic_shunting,local_ca,per_soma - path_transport,10,-0.1314000010490418,-0.14137998819351197,-0.1218095073103906,0,0,0.001953125,10.0,,0.002387152777777778
