family,task,core,strategy,feedback,routing,topology,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,n_seeds,mean_accuracy,ci95_low,ci95_high,total_parameters,active_synapses,mean_duration_seconds,mean_peak_memory_bytes
fixed_budget,noise_resilience,dendritic_additive,local_ca,path_transport,not_applicable,random,1,16,16,20,10,0.9271699786186218,0.9261799812316894,0.9282999753952026,130570,122880,196.5,2293679104.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,path_transport,not_applicable,random,2,4x4,20,16,10,0.91979997754097,0.9187899887561798,0.9210199773311616,132106,122880,230.7,2318404608.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,path_transport,not_applicable,random,3,2x2x4,22,15,10,0.9163599848747254,0.9149299739301204,0.9178399860858916,133898,123904,253.4,2332895232.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,path_transport,not_applicable,random,4,2x2x2x2,30,11,10,0.9134599804878236,0.9123097188770772,0.9146499812602996,135946,122880,291.6,2380929024.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma,not_applicable,random,1,16,16,20,10,0.8350899815559387,0.8311099767684936,0.8393599808216095,130570,122880,191.1,2293661696.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma,not_applicable,random,2,4x4,20,16,10,0.7774199783802033,0.7717199862003327,0.7829802267253398,132106,122880,219.2,2319366144.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma,not_applicable,random,3,2x2x4,22,15,10,0.7777499914169311,0.7688599944114685,0.7859902435541153,133898,123904,247.8,2331036672.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma,not_applicable,random,4,2x2x2x2,30,11,10,0.7558799862861634,0.7451399862766266,0.7674099804461002,135946,122880,278.4,2378800128.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma_shared,correct,random,1,16,16,20,10,0.9243999779224396,0.9235099792480468,0.9251999796926976,130570,122880,193.5,2293661696.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma_shared,correct,random,2,4x4,20,16,10,0.9183999717235564,0.9175499737262726,0.9193099617958068,132106,122880,227.6,2319366144.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma_shared,correct,random,3,2x2x4,22,15,10,0.9170099675655364,0.9165199637413024,0.9176799654960632,133898,123904,254.1,2332085248.0
fixed_budget,noise_resilience,dendritic_additive,local_ca,per_soma_shared,correct,random,4,2x2x2x2,30,11,10,0.9138399720191956,0.9127799808979036,0.9149702244997024,135946,122880,278.5,2379922432.0
fixed_budget,noise_resilience,dendritic_additive,standard,backprop,correct,random,1,16,16,20,10,0.9271699786186218,0.9261699855327606,0.9282899737358092,130570,122880,171.4,2226330112.0
fixed_budget,noise_resilience,dendritic_additive,standard,backprop,correct,random,2,4x4,20,16,10,0.91979997754097,0.9187999725341796,0.9210199773311616,132106,122880,230.0,2246846976.0
fixed_budget,noise_resilience,dendritic_additive,standard,backprop,correct,random,3,2x2x4,22,15,10,0.9163599848747254,0.9148999810218812,0.917819994688034,133898,123904,243.5,2257136128.0
fixed_budget,noise_resilience,dendritic_additive,standard,backprop,correct,random,4,2x2x2x2,30,11,10,0.9134599804878236,0.9123299776017666,0.9146499752998352,135946,122880,225.0,2298161664.0
routing,mnist,dendritic_additive,local_ca,per_soma_shared,correct,standard,2,2x2,6,20,10,0.9684399724006651,0.967559708058834,0.9693399608135224,1208074,46080,209.5,724458496.0
routing,mnist,dendritic_additive,local_ca,per_soma_shared,correct,standard,4,2x2x2x2,30,20,10,0.9734999775886536,0.9727899788320064,0.9742599844932556,6034186,230400,254.4,2461874380.8
