relative_step,geometry_metric,feedback_families,n_checkpoints,n_rows,spearman_rho,checkpoint_bootstrap_ci95_low,checkpoint_bootstrap_ci95_high
1e-06,gradient_cosine,scalar_and_ancestry,160,320,0.750842659596285,0.6736472646688733,0.8222896314018506
1e-06,gradient_scaled_capture,scalar_and_ancestry,160,320,0.7237296018515805,0.6442058268790224,0.7951928689764411
1e-06,field_scaled_capture,scalar_and_ancestry,160,320,0.6835254738815808,0.6040135498117201,0.7582384607865871
1e-05,gradient_cosine,scalar_and_ancestry,160,320,0.8650510503032255,0.8231765599035105,0.898884153858936
1e-05,gradient_scaled_capture,scalar_and_ancestry,160,320,0.8410237160519146,0.8052004293119002,0.8749262720743455
1e-05,field_scaled_capture,scalar_and_ancestry,160,320,0.8200480473442124,0.7808554664681916,0.8558389325657184
0.0001,gradient_cosine,scalar_and_ancestry,160,320,0.9088228400667976,0.8792476652516623,0.9322641631912703
0.0001,gradient_scaled_capture,scalar_and_ancestry,160,320,0.8604404095743121,0.830520366549562,0.8865655627218308
0.0001,field_scaled_capture,scalar_and_ancestry,160,320,0.851308484457856,0.8155809984081596,0.8794016836761402
0.001,gradient_cosine,scalar_and_ancestry,160,320,0.3774214103653356,0.25740425972507264,0.491806021411152
0.001,gradient_scaled_capture,scalar_and_ancestry,160,320,0.34210697858377526,0.22442243252226127,0.4565480431732753
0.001,field_scaled_capture,scalar_and_ancestry,160,320,0.34794077578882604,0.23136036368838847,0.4595979742234814
