dataset,network_type,depth,seed,relative_step,difference,metric,contrast
mnist,dendritic_additive,1,42,1e-06,0.3217325273587607,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,42,1e-05,0.3217325273587607,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,42,0.0001,0.3217325273587607,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,42,0.001,0.3217325273587607,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,43,1e-06,0.320177138332088,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,43,1e-05,0.320177138332088,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,43,0.0001,0.320177138332088,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,43,0.001,0.320177138332088,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,44,1e-06,0.3446075993958516,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,44,1e-05,0.3446075993958516,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,44,0.0001,0.3446075993958516,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,44,0.001,0.3446075993958516,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,45,1e-06,0.25040778708240696,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,45,1e-05,0.25040778708240696,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,45,0.0001,0.25040778708240696,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,45,0.001,0.25040778708240696,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,46,1e-06,0.30295513512188066,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,46,1e-05,0.30295513512188066,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,46,0.0001,0.30295513512188066,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,46,0.001,0.30295513512188066,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,47,1e-06,0.269167887897629,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,47,1e-05,0.269167887897629,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,47,0.0001,0.269167887897629,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,47,0.001,0.269167887897629,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,48,1e-06,0.3043860258465246,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,48,1e-05,0.3043860258465246,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,48,0.0001,0.3043860258465246,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,48,0.001,0.3043860258465246,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,49,1e-06,0.2466947129095416,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,49,1e-05,0.2466947129095416,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,49,0.0001,0.2466947129095416,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,49,0.001,0.2466947129095416,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,50,1e-06,0.3194975698340531,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,50,1e-05,0.3194975698340531,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,50,0.0001,0.3194975698340531,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,50,0.001,0.3194975698340531,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,51,1e-06,0.3262581567969774,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,51,1e-05,0.3262581567969774,field_scaled_capture,ancestry - scalar
mnist,dendritic_additive,1,51,0.0001,0.3262581567969774,field_scaled_capture,ancestry - scalar
