run_dir,config_index,task,core,strategy,feedback,depth,branch_factors,non_somatic_compartments_per_soma,inhibitory_synapses_per_branch,topology,routing,seed,init_policy,duration_seconds,test_accuracy,valid_accuracy,best_epoch,best_loss,epochs_recorded,total_parameters,active_synapses,cuda_peak_memory_allocated_bytes,cuda_peak_memory_reserved_bytes,checkpoint_bytes,checkpoint_tensors,status,issues
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,0,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,42,occupancy_quantile,258.0,0.963699996471405,0.9609166383743286,42,0.1321606131096681,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,1,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,43,occupancy_quantile,237.0,0.9602999687194824,0.962166666984558,42,0.1278257255554199,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,2,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,44,occupancy_quantile,240.0,0.9651999473571776,0.9629999995231628,45,0.1218915744622548,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,3,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,45,occupancy_quantile,238.0,0.9626999497413636,0.9639999866485596,43,0.1272024997472763,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,4,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,46,occupancy_quantile,237.0,0.962399959564209,0.9605833292007446,42,0.125048870742321,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,5,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,47,occupancy_quantile,240.0,0.9628999829292296,0.9634999632835388,40,0.1213078937133153,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,6,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,48,occupancy_quantile,237.0,0.965399980545044,0.9634166359901428,42,0.1181394169727961,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,7,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,49,occupancy_quantile,229.0,0.9630999565124512,0.962666630744934,48,0.1254402161041895,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,8,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,50,occupancy_quantile,219.0,0.9637999534606934,0.962416648864746,44,0.1304161557356516,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,9,mnist,dendritic_additive,standard,backprop,1,2,2,20,standard,correct,51,occupancy_quantile,223.0,0.961899995803833,0.962416648864746,45,0.1219666806459426,180,403722,15360,433551872.0,494927872.0,1622346,15,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,10,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,42,occupancy_quantile,293.0,0.971299946308136,0.968500018119812,37,0.1088451429108778,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,11,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,43,occupancy_quantile,293.0,0.9669999480247498,0.9681666493415833,27,0.1057816552519798,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,12,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,44,occupancy_quantile,281.0,0.9684999585151672,0.96875,28,0.1026265450119972,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
prospective_runs/journal_confirmatory_mnist_additive_backprop_depth_feedback_20260802184258,13,mnist,dendritic_additive,standard,backprop,2,2x2,6,20,standard,correct,45,occupancy_quantile,297.0,0.9699999690055848,0.9681666493415833,28,0.1073041539986928,180,1208074,46080,717195776.0,807403520.0,4842834,23,pass,
