task_id,split,seed,rank,noise_sd,angle_pi,arm,candidate_id,tree_id,shape,budget_k,resource_cost,channel_cost,cable_cost,parameter_count,decoder_coefficients,encoder_coefficients,utility_actual_step,utility_optimized_step,gradient_alignment,update_mean_square,minibatch_covariance_trace,single_trial_second_moment,actual_update_second_moment,global_calibration_curvature,initial_calibration_loss,reference_credit_effective_rank,reference_capture,transported_credit_effective_rank,predicted_penalized_loss,policy,utility_to_loss_scale,test_loss,penalized_test_loss,oracle_candidate_id,oracle_budget_k,oracle_tree_id,oracle_penalized_loss,regret,exact_candidate_match,budget_match,tree_match
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4.0,0.5634003977894598,0.5,0.6340039778945984,64.0,64.0,32.0,0.3099303121368608,0.4175226778323191,1.1747084284746503,1.1747084284746507,0.2956652898927932,10.635997705044034,1.470373718367444,1.1238862895029509,0.5434605513296564,1.0,0.991942106220024,1.0,0.005045240227377,moment_selector,1.8826404519857889,5.398017730453766e-32,0.0450720318231567,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758,0.031172684564580902,False,False,False
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.312447984810229,0.4209143610440786,1.1842509972190722,1.1842509972190722,0.2980670827851836,10.722397646344948,1.482318080004256,1.1238862895029509,0.5434605513296564,1.0,1.0,1.0,0.0391326832430538,development_best,1.8826404519857889,4.685944395027903e-32,0.0838993472585758,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758,0.06999999999999999,False,False,True
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.312447984810229,0.4209143610440786,1.1842509972190722,1.1842509972190722,0.2980670827851836,10.722397646344948,1.482318080004256,1.1238862895029509,0.5434605513296564,1.0,1.0,1.0,0.0391326832430538,maximum_budget,1.8826404519857889,4.685944395027903e-32,0.0838993472585758,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758,0.06999999999999999,False,False,True
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2.0,0.3139925081183606,0.25,0.6399250811836067,64.0,64.0,16.0,0.2683087713314424,0.3614522113691627,1.0169530464562695,1.01695304645627,0.2559594449137304,9.207655283695646,1.2729124913700005,1.1238862895029509,0.5434605513296564,1.0,0.858731002840055,1.0,0.063451005447947,rank_only,1.8826404519857889,4.7361427057854177e-32,0.0251194006494688,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758,0.011220053390893001,False,False,False
s7200_r1_n000_a125,confirmatory,7200,1,0.0,0.125,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4.0,0.5634003977894598,0.5,0.6340039778945984,64.0,64.0,32.0,0.3099303121368608,0.4175226778323191,1.1747084284746503,1.1747084284746507,0.2956652898927932,10.635997705044034,1.470373718367444,1.1238862895029509,0.5434605513296564,1.0,0.991942106220024,1.0,0.005045240227377,sampled_random,1.8826404519857889,5.398017730453766e-32,0.0450720318231567,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472585758,0.031172684564580902,False,False,False
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_permutation_b_k4,balanced_permutation_b,balanced,4.0,0.5634003977894598,0.5,0.6340039778945984,64.0,64.0,32.0,0.2543016409497554,0.3384169976242193,0.9697034278207192,0.9697034278207194,0.2664526957618197,9.496189692198952,1.2361561235825391,1.123886289502951,0.5032271496974963,1.0,0.9530351533244652,1.0,0.0695406252622778,moment_selector,1.8826404519857889,5.130376607842614e-32,0.0450720318231567,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472596059,0.031172684563550802,False,False,False
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.2668334321799955,0.355093929582473,1.017489674371517,1.017489674371517,0.279583281720884,9.964154689439804,1.297072956092401,1.123886289502951,0.5032271496974963,1.0,1.0,1.0,0.084775083591806,development_best,1.8826404519857889,5.223766107532392e-32,0.0838993472585758,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472596059,0.0699999999989699,False,False,True
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_contiguous_k8,balanced_contiguous,balanced,8.0,1.0487418407321982,1.0,0.487418407321983,64.0,64.0,64.0,0.2668334321799955,0.355093929582473,1.017489674371517,1.017489674371517,0.279583281720884,9.964154689439804,1.297072956092401,1.123886289502951,0.5032271496974963,1.0,1.0,1.0,0.084775083591806,maximum_budget,1.8826404519857889,5.223766107532392e-32,0.0838993472585758,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472596059,0.0699999999989699,False,False,True
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,balanced_permutation_a_k2,balanced_permutation_a,balanced,2.0,0.3139925081183606,0.25,0.6399250811836067,64.0,64.0,16.0,0.0471291734674745,0.0627180907123008,0.1797130403527239,0.1797130403527241,0.0493811021924005,1.7599083105095414,0.2290941425451246,1.123886289502951,0.5032271496974963,1.0,0.1766239450672844,1.0,0.4396192619084422,rank_only,1.8826404519857889,3.758078618112005e-15,0.0251194006494726,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472596059,0.0112200533898667,False,False,False
s7200_r1_n000_a375,confirmatory,7200,1,0.0,0.375,feedback_only,comb_contiguous_k4,comb_contiguous,comb,4.0,0.6,0.5,1.0,64.0,64.0,32.0,0.1460451303602277,0.1943524797935186,0.5568995268686363,0.5568995268686363,0.1530234667068378,5.453650461487446,0.7099229935754741,1.123886289502951,0.5032271496974963,1.0,0.5473269566225548,1.0,0.2762766794657937,sampled_random,1.8826404519857889,5.080672711845765e-32,0.048,balanced_contiguous_k1,1,balanced_contiguous,0.0138993472596059,0.0341006527403941,False,False,False
