arm,policy,n_seeds,n_tasks,mean_regret,ci95_low,ci95_high,mean_test_loss,mean_penalized_loss
feedback_only,development_best,20,320,0.044948542122074706,0.044531889717554125,0.045362246064425064,0.14970215499915362,0.23360150225772944
feedback_only,maximum_budget,20,320,0.044948542122074706,0.044531889717554125,0.045362246064425064,0.14970215499915362,0.23360150225772944
feedback_only,moment_selector,20,320,0.08055111217149537,0.07262195768401819,0.08781390750728495,0.21502851582528543,0.2692040723071501
feedback_only,rank_only,20,320,0.008309851095718046,0.008160125513452337,0.008468683642583805,0.1477584506250737,0.19696281123137277
feedback_only,sampled_random,20,320,0.12086613169114216,0.1136169404666369,0.12845257544844735,0.2655935350932716,0.3095190918267969
feedback_only,uniform_random_expectation,20,320,0.13138603388608144,0.12991011271211841,0.1329640619746221,0.27706668290949504,0.32003899402173613
joint_forward_feedback,development_best,20,320,0.042689002780677145,0.0424392523253826,0.042926737995272565,0.1456337960282324,0.22953314328680827
joint_forward_feedback,maximum_budget,20,320,0.042689002780677145,0.0424392523253826,0.042926737995272565,0.1456337960282324,0.22953314328680827
joint_forward_feedback,moment_selector,20,320,0.10403855307058565,0.09975490270579014,0.10791283912042512,0.22874292146557548,0.29088269357671676
joint_forward_feedback,rank_only,20,320,0.008208925382346917,0.008076555013289627,0.00835459829646061,0.14584870528217894,0.195053065888478
joint_forward_feedback,sampled_random,20,320,0.12244638713847736,0.11515819419032014,0.13011037782986176,0.2653649709110832,0.30929052764460846
joint_forward_feedback,uniform_random_expectation,20,320,0.13323187436845899,0.13174320360900538,0.13483334514414377,0.2771037037623489,0.3200760148745901
