arm,policy,rank,angle_pi,noise_sd,budget_k,tree_id,oracle_budget_k,n_tasks
feedback_only,development_best,1,0.125,0.0,8.0,balanced_contiguous,1,20
feedback_only,development_best,1,0.125,0.75,8.0,balanced_contiguous,1,20
feedback_only,development_best,1,0.375,0.0,8.0,balanced_contiguous,1,20
feedback_only,development_best,1,0.375,0.75,8.0,balanced_contiguous,1,20
feedback_only,development_best,2,0.125,0.0,8.0,balanced_contiguous,2,20
feedback_only,development_best,2,0.125,0.75,8.0,balanced_contiguous,2,20
feedback_only,development_best,2,0.375,0.0,8.0,balanced_contiguous,2,20
feedback_only,development_best,2,0.375,0.75,8.0,balanced_contiguous,2,20
feedback_only,development_best,4,0.125,0.0,8.0,balanced_contiguous,4,20
feedback_only,development_best,4,0.125,0.75,8.0,balanced_contiguous,4,20
feedback_only,development_best,4,0.375,0.0,8.0,balanced_contiguous,4,20
feedback_only,development_best,4,0.375,0.75,8.0,balanced_contiguous,4,20
feedback_only,development_best,8,0.125,0.0,8.0,balanced_contiguous,8,20
feedback_only,development_best,8,0.125,0.75,8.0,balanced_contiguous,8,20
feedback_only,development_best,8,0.375,0.0,8.0,balanced_contiguous,8,20
feedback_only,development_best,8,0.375,0.75,8.0,balanced_contiguous,8,20
feedback_only,maximum_budget,1,0.125,0.0,8.0,balanced_contiguous,1,20
feedback_only,maximum_budget,1,0.125,0.75,8.0,balanced_contiguous,1,20
feedback_only,maximum_budget,1,0.375,0.0,8.0,balanced_contiguous,1,20
feedback_only,maximum_budget,1,0.375,0.75,8.0,balanced_contiguous,1,20
feedback_only,maximum_budget,2,0.125,0.0,8.0,balanced_contiguous,2,20
feedback_only,maximum_budget,2,0.125,0.75,8.0,balanced_contiguous,2,20
feedback_only,maximum_budget,2,0.375,0.0,8.0,balanced_contiguous,2,20
feedback_only,maximum_budget,2,0.375,0.75,8.0,balanced_contiguous,2,20
feedback_only,maximum_budget,4,0.125,0.0,8.0,balanced_contiguous,4,20
feedback_only,maximum_budget,4,0.125,0.75,8.0,balanced_contiguous,4,20
feedback_only,maximum_budget,4,0.375,0.0,8.0,balanced_contiguous,4,20
feedback_only,maximum_budget,4,0.375,0.75,8.0,balanced_contiguous,4,20
feedback_only,maximum_budget,8,0.125,0.0,8.0,balanced_contiguous,8,20
feedback_only,maximum_budget,8,0.125,0.75,8.0,balanced_contiguous,8,20
feedback_only,maximum_budget,8,0.375,0.0,8.0,balanced_contiguous,8,20
feedback_only,maximum_budget,8,0.375,0.75,8.0,balanced_contiguous,8,20
feedback_only,moment_selector,1,0.125,0.0,2.0,balanced_contiguous,1,2
feedback_only,moment_selector,1,0.125,0.0,2.0,balanced_interleaved,1,3
feedback_only,moment_selector,1,0.125,0.0,2.0,balanced_permutation_a,1,1
feedback_only,moment_selector,1,0.125,0.0,2.0,comb_contiguous,1,2
feedback_only,moment_selector,1,0.125,0.0,4.0,balanced_contiguous,1,2
feedback_only,moment_selector,1,0.125,0.0,4.0,balanced_interleaved,1,4
feedback_only,moment_selector,1,0.125,0.0,4.0,balanced_permutation_b,1,5
feedback_only,moment_selector,1,0.125,0.0,4.0,comb_contiguous,1,1
feedback_only,moment_selector,1,0.125,0.75,2.0,balanced_contiguous,1,2
feedback_only,moment_selector,1,0.125,0.75,2.0,balanced_interleaved,1,3
feedback_only,moment_selector,1,0.125,0.75,2.0,balanced_permutation_a,1,1
feedback_only,moment_selector,1,0.125,0.75,2.0,comb_contiguous,1,2
feedback_only,moment_selector,1,0.125,0.75,4.0,balanced_contiguous,1,2
feedback_only,moment_selector,1,0.125,0.75,4.0,balanced_interleaved,1,4
