entry_id	record_type	figure	panel	status	source_path	sha256	generator_path	replication_unit	notes
fig1.a-d	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	d70f2db5c2f585752a23fa9bbf428715abd7635e1ec9743a31f55adf0af8a1a5	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	not applicable	Source identity retained; previous display association methods/historical schematic. Programmatic schematic of the dendritic unit, network layer, workshop-derived coordinate--address--gain tree strip, general adjoint theorem, and evidence ladder.
fig1.components	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/scripts/figure1_neurips_components.py	f57439109e3d6e411b1a05abeab86d8c7a994eed6ce21215f3d2f978052e1926	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	not applicable	Source identity retained; previous display association methods/historical schematic. Reusable dendritic-unit and network-layer drawing primitives imported by the integrated Figure 1 generator.
fig2.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S45_image_diagnostics.pdf	46a37b5af6d4e86c007c219b04aac995065877de0762204872f5717cb77a5557	drafts/dendritic-local-learning/journal/scripts/build_main_figure_02.py	independent training seed	Source identity retained; previous display association figS45/a-g. Original seven-panel image diagnostics moved byte-identically to S45; canonical displayed asset is unchanged.
fig2.a	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/exact_gradient_reconstruction_runs.csv	8a9e1b40c269e85d86c8348e4d8287e6c2269279eb8bbcbb660b021fea0a4abb	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	diagnostic run (n=100)	Source identity retained; previous display association methods/gradient check. Exact analytic-gradient reconstruction against automatic differentiation.
fig2.b	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/feedback_accuracy_runs.csv	15498b41b3f1c51f202aeebdece28c1eaadedc1c66415bac9156d8a3654a8926	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	paired independent training seed (n=15 per architecture)	Source identity retained; previous display association figS2/e. Three-factor accuracy under scalar-fallback and neuron-indexed feedback.
fig2.c	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/feedback_gradient_runs.csv	7a8a10d47e23ad13535dd4bb9246e4137483db01d50c2046d955b8683618767d	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	paired trained checkpoint / seed (n=15 per architecture)	Source identity retained; previous display association figS45/c. Parameter-count-weighted nonsomatic branch-gradient cosine at checkpoints trained with neuron-specific feedback.
fig2.d	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/exact_transport_factorial_summary.csv	15092918e7cabe98d3eabff4d90b2dd3f3004331fc237e0da0aef732aa2a369b	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	independent training seed (n=5 per condition)	Source identity retained; previous display association figS3/c. Exact-transport rule-by-decoder factorial.
fig2.d.bp	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/backprop_summary.csv	b4419337a67c9aa438418c2b15d8eb1d3bd056dd7d4043cf7fecf9e16cf2774f	drafts/dendritic-local-learning/journal/scripts/build_journal_figures.py	independent training seed (n=5)	Source identity retained; previous display association figS3/c. Matched backpropagation reference.
fig2.d.runs	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/exact_transport_and_backprop_runs.csv	0b57d4c37216838e202fe3687d5f8430720aa5531d80f532bdff6ba86f6ebbc6	drafts/dendritic-local-learning/journal/scripts/export_figure2d_seed_data.py	independent training seed (n=5 per condition)	Source identity retained; previous display association figS3/c. Twenty exact-transport and five same-architecture backpropagation runs underlying panel d.
fig2.path_gain	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/path_gain_cv_runs.csv	133fcd8f209b47f11d6e2c3fa44ac592ccc41a4ac2581fd55f7efd2a1f73c4f3	drafts/dendritic-local-learning/neurips/scripts/measure_theory_diagnostics.py	paired independent training seed (n=5 per architecture)	Source identity retained; previous display association figS1/a. Separate N_I=5 conductance-only diagnostic cohort shown in Supplementary Fig. S1a; run, configuration and checkpoint hashes identify every value.
fig2.path_gain_dispersion	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/figure2/path_gain_dispersion_ladder_runs.csv	fecb52eb239fd9584899ea4c280eac1f6ec07716d09cadfe1eed88120b135d14	drafts/dendritic-local-learning/journal/scripts/analyze_fig2_path_gain_dispersion.py	paired independent training seed (n=15 per architecture)	Source identity retained; previous display association figS45/d-e. Mean pre-reactivation voltage-error magnitude by dendritic depth and path-specific exact-error energy at the MNIST exact-path checkpoints.
prospective.learning.asset	generator_snapshot	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/figures/supplementary/figure_S19_panels_A-I.pdf	01b487b999fab9b5303b960c49c26f3f17ee27ec255246c3a59c5e99d9099848	drafts/dendritic-local-learning/journal/scripts/build_supplementary_figures_s17_s20_native.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Integrated input-valid prospective display: identity, ownership and completed K=2 subtree-address results.
prospective.learning.seeds	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/central_valid_seed_outcomes.csv	14d486f0214dc66a7a411fb59d7e39103c471ffad69f41a126394a8aa85ecee5	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Run-level held-out outcomes for all 480 input-valid primary runs.
prospective.learning.conditions	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/central_valid_condition_summary.csv	6cec074da04134eb245087e30871cfe44c9b6da4b41a53d67971939348cb591e	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Input-valid condition means and paired-seed bootstrap intervals plotted in the figure.
prospective.learning.contrasts	panel_source	methods	retained scientific evidence	ready	drafts/dendritic-local-learning/journal/source_data/prospective_input_validity/central_valid_paired_contrasts.csv	97daf3dd204e444401d6335eae54ac57d905135111bae0c84f66a6a8868e332e	drafts/dendritic-local-learning/journal/scripts/build_prospective_input_validity_audit.py	paired independent training seed (n=10 per condition)	Source identity retained; previous display association figS19/text. Input-valid neuron-identity and exact-transport contrasts.
