root_id,channels,method,capture,wiring_nonzeros,control_sd
864691135060651419,1,dense SVD oracle,0.29572713422718555,,
864691135060651419,1,morphology paths,0.03422319471453964,3.0,
864691135060651419,1,random real paths,0.030826265472420157,,0.04342288347800631
864691135060651419,1,row-shuffled paths,0.013731864007974357,,0.006581276934539669
864691135060651419,1,degree-depth surrogate tree,0.09972446314571769,,0.030482880167383528
864691135060651419,1,depth bins,0.29208613601358274,,
864691135060651419,2,dense SVD oracle,0.36540188208681085,,
864691135060651419,2,morphology paths,0.06474739958127274,4.0,
864691135060651419,2,random real paths,0.05231773102380902,,0.042807682282099246
864691135060651419,2,row-shuffled paths,0.022205116711831643,,0.009581076728564645
864691135060651419,2,degree-depth surrogate tree,0.13294028053391055,,0.026624296854451297
864691135060651419,2,depth bins,0.3045694729466245,,
864691135060651419,4,dense SVD oracle,0.49478415858541785,,
864691135060651419,4,morphology paths,0.09612220928264463,6.0,
864691135060651419,4,random real paths,0.10067246398116897,,0.06184543840047563
864691135060651419,4,row-shuffled paths,0.03847711335712156,,0.015302967406199797
864691135060651419,4,degree-depth surrogate tree,0.1755897143816514,,0.020756092052398215
864691135060651419,4,depth bins,0.33531987798459506,,
864691135060651419,8,dense SVD oracle,0.623895402827571,,
864691135060651419,8,morphology paths,0.2860188718864704,26.0,
864691135060651419,8,random real paths,0.20608015202457175,,0.08147008755403526
864691135060651419,8,row-shuffled paths,0.10564279563967666,,0.02003031293004762
864691135060651419,8,degree-depth surrogate tree,0.245717037235083,,0.018729218270773042
864691135060651419,8,depth bins,0.36739703807124857,,
864691135060651419,16,dense SVD oracle,0.7497369623527863,,
864691135060651419,16,morphology paths,0.47347753322531544,63.0,
864691135060651419,16,random real paths,0.35267087354161775,,0.07321740658666409
864691135060651419,16,row-shuffled paths,0.21679867295208308,,0.027854484142124155
864691135060651419,16,degree-depth surrogate tree,0.361065725788835,,0.019801647536736522
864691135060651419,16,depth bins,0.41955717570604784,,
864691135196576298,1,dense SVD oracle,0.36073053030248037,,
864691135196576298,1,morphology paths,0.22990474458790405,1.0,
864691135196576298,1,random real paths,0.10670085309263883,,0.08456679691749222
864691135196576298,1,row-shuffled paths,0.05139100541611266,,0.060188676123126755
864691135196576298,1,degree-depth surrogate tree,0.21134237135218598,,0.009406678988081122
864691135196576298,1,depth bins,0.3452719646012971,,
864691135196576298,2,dense SVD oracle,0.5199813746216798,,
864691135196576298,2,morphology paths,0.3249089613687687,4.0,
864691135196576298,2,random real paths,0.20960771261193323,,0.09720791054277274
864691135196576298,2,row-shuffled paths,0.15012470835939645,,0.07147010861793145
864691135196576298,2,degree-depth surrogate tree,0.31579932003887223,,0.04160113287476114
864691135196576298,2,depth bins,0.3713084724938093,,
864691135196576298,4,dense SVD oracle,0.6642029801062863,,
864691135196576298,4,morphology paths,0.5240174597118885,6.0,
864691135196576298,4,random real paths,0.3913016353867156,,0.09520995470712795
864691135196576298,4,row-shuffled paths,0.22860801743292217,,0.09855201830849082
864691135196576298,4,degree-depth surrogate tree,0.5175454348549642,,0.024091389328885014
864691135196576298,4,depth bins,0.4357205286505444,,
864691135196576298,8,dense SVD oracle,0.8460187742916123,,
864691135196576298,8,morphology paths,0.7193942707772043,12.0,
864691135196576298,8,random real paths,0.6602438243506141,,0.0838606006513089
864691135196576298,8,row-shuffled paths,0.4141630227659959,,0.11359092698556303
864691135196576298,8,degree-depth surrogate tree,0.709389925699127,,0.03398981483111443
864691135196576298,8,depth bins,0.5596344910087853,,
864691135196576298,16,dense SVD oracle,0.9999623612585532,,
864691135196576298,16,morphology paths,0.9681300165943779,24.0,
864691135196576298,16,random real paths,0.9466595352550169,,0.04380348985859473
864691135196576298,16,row-shuffled paths,0.6622277881863048,,0.1279142549476848
864691135196576298,16,degree-depth surrogate tree,0.9686399799924527,,0.029304680993581217
864691135196576298,16,depth bins,0.8126282886971848,,
864691135277186789,1,dense SVD oracle,0.2742202120734396,,
864691135277186789,1,morphology paths,0.15217660754611084,15.0,
864691135277186789,1,random real paths,0.0337214166875859,,0.04114196970393893
864691135277186789,1,row-shuffled paths,0.0516410416647667,,0.00839943897096967
864691135277186789,1,degree-depth surrogate tree,0.10117906793067644,,0.02904416167984825
864691135277186789,1,depth bins,0.26259665673182464,,
864691135277186789,2,dense SVD oracle,0.3847907525670734,,
864691135277186789,2,morphology paths,0.1801243766745954,17.0,
864691135277186789,2,random real paths,0.061353428491703804,,0.0517906030246517
864691135277186789,2,row-shuffled paths,0.06608688010524175,,0.011747176567304443
864691135277186789,2,degree-depth surrogate tree,0.13836366337187672,,0.025189633228927748
864691135277186789,2,depth bins,0.27291481312946336,,
864691135277186789,4,dense SVD oracle,0.4536928739234039,,
864691135277186789,4,morphology paths,0.24177919531237382,23.0,
864691135277186789,4,random real paths,0.12483480333009155,,0.06958661544968633
864691135277186789,4,row-shuffled paths,0.0997379896204929,,0.01668319701766004
864691135277186789,4,degree-depth surrogate tree,0.1888429515444704,,0.02212593637413391
864691135277186789,4,depth bins,0.31819238179821446,,
864691135277186789,8,dense SVD oracle,0.5409612755634806,,
864691135277186789,8,morphology paths,0.36297739124817385,69.0,
864691135277186789,8,random real paths,0.22917912556191314,,0.07247217197150532
