dataset,network_type,rule_variant,error_broadcast_mode,decoder_update_mode,dynamics_mode,lr,decoder_lr,valid_accuracy_mean,valid_accuracy_std,test_accuracy_mean,test_accuracy_std,valid_categorical_loglikelihood_mean,valid_categorical_loglikelihood_std
mnist,dendritic_shunting,5f,per_soma,local,auto,0.0015,0.0015,0.9082777698834738,0.0024893398733903302,0.9118999640146891,0.004903069111105133,-0.3017815848191579,0.010729991948316584
mnist,dendritic_shunting,5f,per_soma,local,auto,0.0008,0.0015,0.9082777698834738,0.0024893398733903302,0.9118999640146891,0.004903069111105133,-0.3017815848191579,0.010729991948316584
mnist,dendritic_shunting,5f,per_soma,local,auto,0.003,0.0015,0.9082777698834738,0.0024893398733903302,0.9118999640146891,0.004903069111105133,-0.3017815848191579,0.010729991948316584
mnist,dendritic_shunting,5f,per_soma,backprop,auto,0.0015,0.0015,0.9073055386543274,0.0071270093839251964,0.9090999762217203,0.007490644621257048,-0.3102222681045532,0.018249625163473785
mnist,dendritic_shunting,5f,per_soma,backprop,auto,0.003,0.0015,0.9073055386543274,0.0071270093839251964,0.9090999762217203,0.007490644621257048,-0.3102222681045532,0.018249625163473785
mnist,dendritic_shunting,5f,per_soma,backprop,auto,0.0008,0.0015,0.9073055386543274,0.0071270093839251964,0.9090999762217203,0.007490644621257048,-0.3102222681045532,0.018249625163473785
mnist,dendritic_shunting,3f,per_soma,backprop,auto,0.003,0.0015,0.9003611008326212,0.007487191461047217,0.9058333039283752,0.007938711823418602,-0.330708384513855,0.028993740437035464
mnist,dendritic_shunting,3f,per_soma,backprop,auto,0.0015,0.0015,0.9003611008326212,0.007487191461047217,0.9058333039283752,0.007938711823418602,-0.330708384513855,0.028993740437035464
mnist,dendritic_shunting,3f,per_soma,backprop,auto,0.0008,0.0015,0.9003611008326212,0.007487191461047217,0.9058333039283752,0.007938711823418602,-0.330708384513855,0.028993740437035464
mnist,dendritic_shunting,4f,per_soma,local,auto,0.0008,0.0015,0.8975555499394735,0.010379735459211954,0.900499959786733,0.013450275499153615,-0.34304190675417584,0.03161249594346232
mnist,dendritic_shunting,4f,per_soma,local,auto,0.0015,0.0015,0.8975555499394735,0.010379735459211954,0.900499959786733,0.013450275499153615,-0.34304190675417584,0.03161249594346232
mnist,dendritic_shunting,4f,per_soma,local,auto,0.003,0.0015,0.8975555499394735,0.010379735459211954,0.900499959786733,0.013450275499153615,-0.34304190675417584,0.03161249594346232
