contrast,family,detail,n_seeds,mean_accuracy,mean_pp,ci_low_accuracy,ci_high_accuracy,ci_low_pp,ci_high_pp,positive_pairs,negative_pairs,zero_pairs,exact_two_sided_sign_flip_p,positive_claim_gate,seed_values_pp
h3_serial_minus_grouped__aligned__d1,h3_architecture,H=3 aligned: serial tree minus literal grouped point at D1,10,7.998944386841122e-05,0.007998944386841123,-0.0005700170865420196,0.000689989329036095,-0.057001708654201955,0.0689989329036095,6,4,0,0.796875,False,0.01000166;-0.05000234;0.19999743;0.06999969;-0.02000332;-0.04000068;0.05999804;0.05999804;-0.22000074;0.01000166
h3_serial_minus_grouped__aligned__d2,h3_architecture,H=3 aligned: serial tree minus literal grouped point at D2,10,0.06525999308385191,6.525999308385192,0.06202999353042238,0.06856999398237448,6.202999353042237,6.856999398237448,10,0,0,0.001953125,True,7.41000176;6.15999699;6.06999993;5.62999845;6.87000155;7.24000335;6.79999590;6.41999841;6.23999834;6.41999841
h3_serial_minus_grouped__aligned__d3,h3_architecture,H=3 aligned: serial tree minus literal grouped point at D3,10,0.30870999693855045,30.870999693855044,0.30483000874093424,0.313119995581671,30.483000874093424,31.3119995581671,10,0,0,0.001953125,True,30.61000108;30.55999875;29.82000112;30.75000048;30.80999851;31.13000393;30.16999960;31.26999736;31.15999699;32.42999911
h3_serial_depth__aligned,h3_depth,H=3 aligned: serial D3 minus D1,10,0.30855000018,30.855000018000002,0.30451999902974997,0.31302999853,30.451999902974997,31.302999853000003,10,0,0,0.001953125,True,30.62999844;30.57000041;29.69999909;30.73999882;30.80000281;31.02000356;30.16999960;31.23999834;31.23999834;32.44000077
h3_grouped_depth__aligned,h3_depth,H=3 aligned: grouped-point D3 minus D1,10,-8.000731468200683e-05,-0.008000731468200684,-0.0005800068378448486,0.00035999417304992675,-0.05800068378448486,0.035999417304992676,6,4,0,0.74609375,False,0.02999902;-0.04000068;0.07999539;0.05999804;-0.02999902;-0.15000105;0.05999804;0.02999902;-0.13999939;0.02000332
h3_serial_minus_grouped__rewired_tree__d1,h3_architecture,H=3 rewired_tree: serial tree minus literal grouped point at D1,10,0.0001100063193170242,0.01100063193170242,-0.0002799809148439017,0.000520014754386389,-0.02799809148439017,0.0520014754386389,4,6,0,0.650390625,False,0.09999871;-0.01000166;0.04000068;-0.04000067;-0.01000166;0.13000369;-0.04999638;0.04999637;-0.08999705;-0.00999570
h3_serial_minus_grouped__rewired_tree__d2,h3_architecture,H=3 rewired_tree: serial tree minus literal grouped point at D2,10,-0.005090004216436161,-0.5090004216436161,-0.006800013786900649,-0.0034999966814355465,-0.6800013786900649,-0.34999966814355465,0,10,0,0.001953125,False,-0.87000131;-0.47000051;-0.20000339;-0.58999657;-0.49999953;-0.12999773;-0.59000254;-0.27999878;-1.02000236;-0.44000149
h3_serial_minus_grouped__rewired_tree__d3,h3_architecture,H=3 rewired_tree: serial tree minus literal grouped point at D3,10,-0.004400008913800058,-0.44000089138000575,-0.006880015117427374,-0.0016300082239752323,-0.6880015117427374,-0.16300082239752323,1,9,0,0.015625,False,-0.50000549;-0.09000301;0.48999786;-1.05000138;-0.66000223;-0.19999742;-0.47000050;-0.66000223;-0.95999837;-0.29999614
h3_serial_depth__rewired_tree,h3_depth,H=3 rewired_tree: serial D3 minus D1,10,-0.004270005210000016,-0.4270005210000016,-0.006740003800250027,-0.0014600157599999996,-0.6740003800250027,-0.14600157599999997,1,8,1,0.0234375,False,-0.55000186;0.00000000;0.50999522;-0.95999837;-0.63999891;-0.22000074;-0.48000216;-0.70999860;-0.94000101;-0.27999878
h3_grouped_depth__rewired_tree,h3_depth,H=3 rewired_tree: grouped-point D3 minus D1,10,0.00024001002311706542,0.024001002311706543,-0.00010998845100402832,0.0005700051784515381,-0.010998845100402832,0.05700051784515381,7,2,1,0.2109375,False,0.05000234;0.08000135;0.05999804;0.05000234;0.01000166;0.11000037;-0.05999804;0.00000000;-0.06999969;0.01000166
