seed,branches,conflict_probability,condition,train_loss_new,train_accuracy_new,test_loss_new,test_accuracy_new,initial_gradient_cosine_new,initial_gradient_capture_new,initial_signed_utility_new,theoretical_shared_relative_signal_new,theoretical_deranged_relative_signal_new,feedback_rank_new,feedback_nonzeros_per_example_new,forward_parameters_new,active_forward_branches_per_example_new,simultaneously_driven_branches_per_example_new,train_loss_historical,train_accuracy_historical,test_loss_historical,test_accuracy_historical,initial_gradient_cosine_historical,initial_gradient_capture_historical,initial_signed_utility_historical,theoretical_shared_relative_signal_historical,theoretical_deranged_relative_signal_historical,feedback_rank_historical,feedback_nonzeros_per_example_historical,forward_parameters_historical,active_forward_branches_per_example_historical,simultaneously_driven_branches_per_example_historical,test_accuracy_replay_error,test_loss_replay_error
11012,2,0,neuron_shared_k1,0.402390122414,0.820678710938,0.423274576664,0.794000029564,0.997505366802,0.995016932487,0.995016932487,1,1,1,2,100,1,2,0.4023901224,0.8206787109,0.4232745767,0.7940000296,0.9975053668,0.9950169325,0.9950169325,1,1,1,2,100,1,2,3.60962371104e-11,3.60290686174e-11
11012,2,0,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,1,1,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,1,1,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0,within_neuron_deranged,11.4679298401,0.548095703125,11.3240346909,0.534000039101,0.99003392458,0.980167150497,0.99003392458,1,1,2,1,100,1,2,11.46792984,0.5480957031,11.32403469,0.5340000391,0.9900339246,0.9801671505,0.9900339246,1,1,2,1,100,1,2,6.46926956449e-13,8.56934079252e-10
11012,2,0,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,1,1,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,1,1,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,1,1,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,1,1,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.25,neuron_shared_k1,0.412332653999,0.821411132812,0.430213093758,0.799000024796,0.998544156551,0.99709045887,0.74662566185,0.75,0.5,1,2,100,1,2,0.412332654,0.8214111328,0.4302130938,0.7990000248,0.9985441566,0.9970904589,0.7466256618,0.75,0.5,1,2,100,1,2,4.4677594957e-12,4.23706070229e-11
11012,2,0.25,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.75,0.5,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.75,0.5,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.25,within_neuron_deranged,8.41538333893,0.53369140625,8.29537010193,0.525499999523,0.986890375614,0.973952591419,0.493251264095,0.75,0.5,2,1,100,1,2,8.415383339,0.5336914062,8.295370102,0.5254999995,0.9868903756,0.9739525914,0.4932512641,0.75,0.5,2,1,100,1,2,2.31628050074e-11,7.12887526788e-11
11012,2,0.25,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.75,0.5,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.75,0.5,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.25,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.75,0.5,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.75,0.5,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5,neuron_shared_k1,0.435982227325,0.81982421875,0.451059520245,0.794000029564,0.998249232769,0.996501505375,0.511322915554,0.5,0,1,2,100,1,2,0.4359822273,0.8198242188,0.4510595202,0.7940000296,0.9982492328,0.9965015054,0.5113229156,0.5,0,1,2,100,1,2,3.60962371104e-11,4.45983805442e-11
11012,2,0.5,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.5,0,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.5,0,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5,within_neuron_deranged,6.24386787415,0.502075195312,6.1453666687,0.489500015974,0.350082188845,0.122557535768,0.0226458385587,0.5,0,2,1,100,1,2,6.243867874,0.5020751953,6.145366669,0.489500016,0.3500821888,0.1225575358,0.02264583856,0.5,0,2,1,100,1,2,2.59551824477e-11,2.98828517487e-10
11012,2,0.5,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.5,0,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.5,0,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.5,0,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.5,0,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5714285714,neuron_shared_k1,0.448039829731,0.81982421875,0.461771130562,0.791000008583,0.997194707394,0.9943972826,0.440298199654,0.428571428571,-0.142857142857,1,2,100,1,2,0.4480398297,0.8198242188,0.4617711306,0.7910000086,0.9971947074,0.9943972826,0.4402981997,0.4285714286,-0.1428571429,1,2,100,1,2,1.69311231701e-11,3.81714104769e-11
11012,2,0.5714285714,correct_path,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5714285714,within_neuron_deranged,5.7035369873,0.48291015625,5.61684799194,0.464000016451,-0.874891757965,0.765435576439,-0.119403608143,0.428571428571,-0.142857142857,2,1,100,1,2,5.703536987,0.4829101562,5.616847992,0.4640000165,-0.874891758,0.7654355764,-0.1194036081,0.4285714286,-0.1428571429,2,1,100,1,2,4.91180429663e-11,5.66409141811e-11
11012,2,0.5714285714,backpropagation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
11012,2,0.5714285714,gated_point_emulation,0.40052574873,0.822143554688,0.422371953726,0.794000029564,1,1,1,0.428571428571,-0.142857142857,2,1,100,1,2,0.4005257487,0.8221435547,0.4223719537,0.7940000296,1,1,1,0.4285714286,-0.1428571429,2,1,100,1,2,3.60962371104e-11,2.58147947463e-11
