model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
0,0,0.698647863409,0.4423828125,0.977567376075,52001,16,0,0,oracle_context,1,0,0
1,0,0.698647863409,0.4423828125,-0.911133652492,52001,16,0,0,learned_local_cue,1,0.121504601024,1.11022302463e-16
2,0,0.698647863409,0.4423828125,-0.957431729479,52001,16,0,0,frozen_profile,0.25,0.1875,0
3,0,0.698647863409,0.4423828125,-0.956835215098,52001,16,0,0,mismatched_encoder,0,0.219004744256,1.11022302463e-16
4,0,0.698647863409,0.4423828125,0.977567376075,52001,16,0,1,oracle_context,1,0,0
5,0,0.698647863409,0.4423828125,-0.955953606338,52001,16,0,1,learned_local_cue,0.25146484375,0.194486885972,1.11022302463e-16
6,0,0.698647863409,0.4423828125,-0.957431729479,52001,16,0,1,frozen_profile,0.25,0.1875,0
7,0,0.698647863409,0.4423828125,-0.95835912826,52001,16,0,1,mismatched_encoder,0.25732421875,0.19391559607,1.11022302463e-16
8,0,0.698647863409,0.4423828125,0.977567376075,52001,16,0,4,oracle_context,1,0,0
9,0,0.698647863409,0.4423828125,-0.953178431962,52001,16,0,4,learned_local_cue,0.26318359375,0.193344306169,1.11022302463e-16
10,0,0.698647863409,0.4423828125,-0.957431729479,52001,16,0,4,frozen_profile,0.25,0.1875,0
11,0,0.698647863409,0.4423828125,-0.957719696182,52001,16,0,4,mismatched_encoder,0.24365234375,0.195248605841,1.11022302463e-16
12,0,0.698647863409,0.4423828125,0.977567376075,52001,64,0,0,oracle_context,1,0,0
13,0,0.698647863409,0.4423828125,0.81151204397,52001,64,0,0,learned_local_cue,1,0.0298359890721,2.22044604925e-16
14,0,0.698647863409,0.4423828125,-0.957431729479,52001,64,0,0,frozen_profile,0.25,0.1875,0
15,0,0.698647863409,0.4423828125,-0.941315685195,52001,64,0,0,mismatched_encoder,0,0.330390449051,2.22044604925e-16
