model,epoch,heldout_loss,heldout_accuracy,gradient_cosine_own_state,seed,calibration_samples,cue_noise_sd,cue_delay_trials,method,coefficient_group_accuracy,coefficient_target_mse,maximum_route_norm_error
0,0,0.688394098898,0.5419921875,0.980488266392,52007,16,0,0,oracle_context,1,0,0
1,0,0.688394098898,0.5419921875,0.980488266392,52007,16,0,0,learned_local_cue,1,0,0
2,0,0.688394098898,0.5419921875,-0.965947826175,52007,16,0,0,frozen_profile,0.25,0.1875,0
3,0,0.688394098898,0.5419921875,-0.968666507663,52007,16,0,0,mismatched_encoder,0,0.5,0
4,0,0.688394098898,0.5419921875,0.980488266392,52007,16,0,1,oracle_context,1,0,0
5,0,0.688394098898,0.5419921875,-0.923789572224,52007,16,0,1,learned_local_cue,0.25634765625,0.371826171875,0
6,0,0.688394098898,0.5419921875,-0.965947826175,52007,16,0,1,frozen_profile,0.25,0.1875,0
7,0,0.688394098898,0.5419921875,-0.910377722185,52007,16,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
8,0,0.688394098898,0.5419921875,0.980488266392,52007,16,0,4,oracle_context,1,0,0
9,0,0.688394098898,0.5419921875,-0.90731982552,52007,16,0,4,learned_local_cue,0.255859375,0.3720703125,0
10,0,0.688394098898,0.5419921875,-0.965947826175,52007,16,0,4,frozen_profile,0.25,0.1875,0
11,0,0.688394098898,0.5419921875,-0.919010978589,52007,16,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
12,0,0.688394098898,0.5419921875,0.980488266392,52007,64,0,0,oracle_context,1,0,0
13,0,0.688394098898,0.5419921875,0.980488266392,52007,64,0,0,learned_local_cue,1,0,0
14,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,0,0,frozen_profile,0.25,0.1875,0
15,0,0.688394098898,0.5419921875,-0.968666507663,52007,64,0,0,mismatched_encoder,0,0.5,0
16,0,0.688394098898,0.5419921875,0.980488266392,52007,64,0,1,oracle_context,1,0,0
17,0,0.688394098898,0.5419921875,-0.923789572224,52007,64,0,1,learned_local_cue,0.25634765625,0.371826171875,0
18,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,0,1,frozen_profile,0.25,0.1875,0
19,0,0.688394098898,0.5419921875,-0.910377722185,52007,64,0,1,mismatched_encoder,0.2392578125,0.38037109375,0
20,0,0.688394098898,0.5419921875,0.980488266392,52007,64,0,4,oracle_context,1,0,0
21,0,0.688394098898,0.5419921875,-0.90731982552,52007,64,0,4,learned_local_cue,0.255859375,0.3720703125,0
22,0,0.688394098898,0.5419921875,-0.965947826175,52007,64,0,4,frozen_profile,0.25,0.1875,0
23,0,0.688394098898,0.5419921875,-0.919010978589,52007,64,0,4,mismatched_encoder,0.2587890625,0.37060546875,0
24,0,0.688394098898,0.5419921875,0.980488266392,52007,256,0,0,oracle_context,1,0,0
25,0,0.688394098898,0.5419921875,0.980488266392,52007,256,0,0,learned_local_cue,1,0,0
26,0,0.688394098898,0.5419921875,-0.965947826175,52007,256,0,0,frozen_profile,0.25,0.1875,0
