figure,panel,record_type,source_csv,source_sha256,source_csv_row_1based_including_header,task,core,feedback,x_parameter,x_value,metric,plotted_mean_native_units,n_runs,input_validity_status,validity_evidence_level,execution_lineage_status,run_ids_present_in_plotted_source,resolved_config_rechecked,available_intended_config,available_intended_config_sha256,advertised_analysis,reason,publication_status,use_path_propagation,available_intended_base_config,strategy
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,12.0,noise_resilience,dendritic_additive,matched_width_fallback,ie_value,0,per_soma_weighted_cosine_mean,0.124505446707973,5,proven_valid,declared_additive_model_domain,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,Signed inputs are allowed in the declared additive model; execution provenance is not independently resolved.,displayed_additive_only,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,13.0,noise_resilience,dendritic_additive,matched_width_fallback,ie_value,5,per_soma_weighted_cosine_mean,0.1935496709094597,5,proven_valid,declared_additive_model_domain,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,Signed inputs are allowed in the declared additive model; execution provenance is not independently resolved.,displayed_additive_only,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,14.0,noise_resilience,dendritic_additive,matched_width_fallback,ie_value,10,per_soma_weighted_cosine_mean,0.1859778913740928,5,proven_valid,declared_additive_model_domain,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,Signed inputs are allowed in the declared additive model; execution provenance is not independently resolved.,displayed_additive_only,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,15.0,noise_resilience,dendritic_additive,matched_width_fallback,ie_value,20,per_soma_weighted_cosine_mean,0.1730405443276349,5,proven_valid,declared_additive_model_domain,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,Signed inputs are allowed in the declared additive model; execution provenance is not independently resolved.,displayed_additive_only,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,16.0,noise_resilience,dendritic_additive,matched_width_fallback,ie_value,40,per_soma_weighted_cosine_mean,0.1440835220882525,5,proven_valid,declared_additive_model_domain,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,Signed inputs are allowed in the declared additive model; execution provenance is not independently resolved.,displayed_additive_only,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,17.0,noise_resilience,dendritic_shunting,matched_width_fallback,ie_value,0,per_soma_weighted_cosine_mean,0.1215249131273594,5,unresolved,aggregate_only,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,"Current intended config specifies ReLU and generator advertises a nonnegative-input correction, but the aggregate has no run IDs or executed-config evidence; neither validity nor invalidity is established.",archival_only_not_displayed,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,18.0,noise_resilience,dendritic_shunting,matched_width_fallback,ie_value,5,per_soma_weighted_cosine_mean,0.1986702795212085,5,unresolved,aggregate_only,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,"Current intended config specifies ReLU and generator advertises a nonnegative-input correction, but the aggregate has no run IDs or executed-config evidence; neither validity nor invalidity is established.",archival_only_not_displayed,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,19.0,noise_resilience,dendritic_shunting,matched_width_fallback,ie_value,10,per_soma_weighted_cosine_mean,0.2383231426660831,5,unresolved,aggregate_only,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,"Current intended config specifies ReLU and generator advertises a nonnegative-input correction, but the aggregate has no run IDs or executed-config evidence; neither validity nor invalidity is established.",archival_only_not_displayed,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,20.0,noise_resilience,dendritic_shunting,matched_width_fallback,ie_value,20,per_soma_weighted_cosine_mean,0.2140439410192462,5,unresolved,aggregate_only,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,"Current intended config specifies ReLU and generator advertises a nonnegative-input correction, but the aggregate has no run IDs or executed-config evidence; neither validity nor invalidity is established.",archival_only_not_displayed,,,
S1,D,plotted_summary_point,drafts/dendritic-local-learning/journal/source_data/inherited_neurips/theory_diag_by_condition.csv,0850c42784f950d5a6ed1cb3df83f02f9e1804be72b33c13d14e81dd90e0dee7,21.0,noise_resilience,dendritic_shunting,matched_width_fallback,ie_value,40,per_soma_weighted_cosine_mean,0.2168206030359634,5,unresolved,aggregate_only,unresolved,False,False,drafts/dendritic-local-learning/neurips/configs/sweeps/sweep_neurips_gradient_fidelity_vs_ie_activation_corrected.yaml,ce5c8114011f10b2af9f36314c511c2cee65af23bfa45976195fccaed09b58ca,theory_diag_gradient_fidelity_vs_ie_nonnegativeinput_fix_summary,"Current intended config specifies ReLU and generator advertises a nonnegative-input correction, but the aggregate has no run IDs or executed-config evidence; neither validity nor invalidity is established.",archival_only_not_displayed,,,
