score,endpoint,spearman_rho,ci95_low,ci95_high,n_seed_blocks,n_conditions,bootstrap_draws
maximum_guaranteed_decrease,heldout_accuracy,0.915691273986,0.904881099075,0.928813483886,20,540,5000
deterministic_maximum_bound_decrease,heldout_accuracy,0.92423491399,0.910765287958,0.940070738803,20,540,5000
hypothetical_minibatch64_maximum_bound_decrease,heldout_accuracy,0.915728342913,0.904876181798,0.928933618956,20,540,5000
deterministic_bound_at_training_step,heldout_accuracy,0.940904256987,0.925796984587,0.956761408622,20,540,5000
initial_gradient_capture,heldout_accuracy,0.838459859905,0.823640404302,0.855813138856,20,540,5000
budget_k,heldout_accuracy,0.757767838492,0.745188899296,0.772443326644,20,540,5000
maximum_guaranteed_decrease,norm_matched_one_step_progress,0.937363623429,0.933650917753,0.941221230717,20,540,5000
deterministic_maximum_bound_decrease,norm_matched_one_step_progress,0.950948107556,0.948561272802,0.954235780966,20,540,5000
hypothetical_minibatch64_maximum_bound_decrease,norm_matched_one_step_progress,0.937330555992,0.933656814295,0.941203861167,20,540,5000
deterministic_bound_at_training_step,norm_matched_one_step_progress,0.968637572921,0.963933488023,0.973573252691,20,540,5000
initial_gradient_capture,norm_matched_one_step_progress,0.87701787007,0.867144447289,0.8876941094,20,540,5000
budget_k,norm_matched_one_step_progress,0.796813202464,0.788765304349,0.803586286733,20,540,5000
