architecture,feedback_family,numerical_curve_id,maximum_absolute_difference_from_dendritic_reference,mean_utility_k1,mean_utility_k2,mean_utility_k4,mean_utility_k8
degree_depth_matched_rewired_tree,correct_ancestry_subtrees,0,0.424835111044,0,0,1.1545186509,1.65958431879
degree_depth_matched_rewired_tree,depth_interleaved_bins,1,0.168152786328,0,0,1.1564643788,1.65958431879
degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,2,0,0.251743876586,0.461164030176,0.872282065943,1.65958431879
degree_depth_matched_rewired_tree,random_rank_k,3,0.04634554719,0.53930380751,0.744340691975,1.20553580553,1.65958431879
degree_depth_matched_rewired_tree,random_sparse_matched,4,0.0484017181716,0,0.000558020137097,1.16730802157,1.65958431879
dendritic_tree,correct_ancestry_subtrees,5,0,0,0.00737681160834,1.57935376195,1.65958431879
dendritic_tree,depth_interleaved_bins,6,0,0,0,0.988311592472,1.65958431879
dendritic_tree,learned_rank_k_upper_bound,2,0,0.251743876586,0.461164030176,0.872282065943,1.65958431879
dendritic_tree,random_rank_k,7,0,0.5856493547,0.738613791693,1.2353840862,1.65958431879
dendritic_tree,random_sparse_matched,8,0,0,0,1.21570973975,1.65958431879
flat_compartment,correct_ancestry_subtrees,5,0,0,0.00737681160834,1.57935376195,1.65958431879
flat_compartment,depth_interleaved_bins,6,0,0,0,0.988311592472,1.65958431879
flat_compartment,learned_rank_k_upper_bound,2,0,0.251743876586,0.461164030176,0.872282065943,1.65958431879
flat_compartment,random_rank_k,7,0,0.5856493547,0.738613791693,1.2353840862,1.65958431879
flat_compartment,random_sparse_matched,8,0,0,0,1.21570973975,1.65958431879
grouped_point_subunits,correct_ancestry_subtrees,5,0,0,0.00737681160834,1.57935376195,1.65958431879
grouped_point_subunits,depth_interleaved_bins,6,0,0,0,0.988311592472,1.65958431879
grouped_point_subunits,learned_rank_k_upper_bound,2,0,0.251743876586,0.461164030176,0.872282065943,1.65958431879
grouped_point_subunits,random_rank_k,7,0,0.5856493547,0.738613791693,1.2353840862,1.65958431879
grouped_point_subunits,random_sparse_matched,8,0,0,0,1.21570973975,1.65958431879
point_neuron_explicit_gating,correct_ancestry_subtrees,5,0,0,0.00737681160834,1.57935376195,1.65958431879
point_neuron_explicit_gating,depth_interleaved_bins,6,0,0,0,0.988311592472,1.65958431879
point_neuron_explicit_gating,learned_rank_k_upper_bound,2,0,0.251743876586,0.461164030176,0.872282065943,1.65958431879
point_neuron_explicit_gating,random_rank_k,7,0,0.5856493547,0.738613791693,1.2353840862,1.65958431879
point_neuron_explicit_gating,random_sparse_matched,8,0,0,0,1.21570973975,1.65958431879
