method,n_targets,mean_nmse,ci95_low,ci95_high,mean_features
archived_exact compartment error,7,0.787663441333,0.72770279988,0.837784721996,8.97619047619
archived_random anatomical routes,7,0.833339786963,0.782141634455,0.884988708674,8.97619047619
archived_site-shuffled routes,7,0.839070405192,0.785467916866,0.886756252785,8.97619047619
archived_topology-matched routes,7,0.832078916975,0.785581776981,0.883960942056,8.97619047619
keep_0.25,7,0.916892423434,0.869123811532,0.947637290544,2.15476190476
keep_0.5,7,0.870633013717,0.810615088565,0.911660803852,4.21428571429
keep_0.75,7,0.83190643272,0.771521661988,0.873035072417,6.82142857143
manual_only,7,0.912025920172,0.882487570271,0.939324457835,3.17857142857
noise_0.25,7,0.809970241365,0.750414254853,0.850936067274,8.97619047619
noise_0.5,7,0.824830079723,0.768910676431,0.86334126354,8.97619047619
noise_1,7,0.868749051391,0.819716947077,0.90390274135,8.97619047619
ols_all,7,0.806977417128,0.743239734875,0.852323804535,8.97619047619
ridge_all,7,0.802816888512,0.742243244893,0.84761493991,8.97619047619
ridge_raw,7,0.801425422072,0.744643675531,0.844824851393,8.97619047619
training_mean,7,1,1,1,0
training_reliability_ge_0,7,0.806994787418,0.748561655937,0.847923557414,8.6869047619
training_reliability_ge_0.1,7,0.810618083572,0.75869242436,0.850705010787,7.51071428571
training_reliability_ge_0.2,7,0.837140582787,0.795208245754,0.88034434774,5.63214285714
