comparator,n_targets,other_minus_allridge_mean_nmse,ci95_low,ci95_high,positive_targets
archived_exact compartment error,7,-0.0151534471795,-0.0271470084201,-0.00420308714625,1
archived_random anatomical routes,7,0.0305228984501,-0.00865088457933,0.0680857897323,5
archived_site-shuffled routes,7,0.0362535166799,0.00689377032107,0.065009499035,5
archived_topology-matched routes,7,0.0292620284628,-0.0130088015651,0.0735724583866,4
keep_0.25,7,0.114075534922,0.0955391141558,0.130878236872,7
keep_0.5,7,0.0678161252044,0.0555593218758,0.080151394517,7
keep_0.75,7,0.0290895442079,0.0205230494074,0.0369355560936,7
manual_only,7,0.109209031659,0.0475445456643,0.176598559368,7
noise_0.25,7,0.00715335285232,0.000274063123396,0.0120707161964,6
noise_0.5,7,0.0220131912106,0.0117302974442,0.0301238210001,6
noise_1,7,0.0659321628785,0.0452610829757,0.0848535546608,7
ols_all,7,0.00416052861561,-0.00133847189237,0.0105305860479,4
ridge_raw,7,-0.0013914664408,-0.0154544384758,0.0106343594867,4
training_mean,7,0.197183111488,0.152367522848,0.258346667905,7
training_reliability_ge_0,7,0.00417789890607,-6.30865550954e-05,0.00846037789173,5
training_reliability_ge_0.1,7,0.00780119505979,-0.00233807349012,0.0199632179574,4
training_reliability_ge_0.2,7,0.0343236942749,0.00742684261918,0.0669805719427,6
