effective_sample_size,checkpoint,parameterization,optimizer,n_seeds,gram_condition_number,mean_population_loss,ci95_low_population_loss,ci95_high_population_loss,mean_field_estimation_error,ci95_low_field_estimation_error,ci95_high_field_estimation_error
4,1,raw_nested_indicators,gram_preconditioned_control,50,15,0.5077903948,0.463542213,0.5532605326,1.01558079,0.928269614,1.106815121
4,1,raw_nested_indicators,vanilla_local,50,15,0.4932823922,0.4774642931,0.5096165536,0.9865647845,0.9539878303,1.019035741
4,1,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.5077903948,0.4640286048,0.5522281907,1.01558079,0.9269747011,1.104624657
4,1,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.5068318787,0.4893314937,0.5263339988,1.013663757,0.9789010991,1.053071634
4,1,tree_haar,gram_preconditioned_control,50,1,0.5077903948,0.4639528751,0.5531314012,1.01558079,0.9272274981,1.106625158
4,1,tree_haar,vanilla_local,50,1,0.5077903948,0.4638729417,0.5533544887,1.01558079,0.9289188443,1.105876754
4,5,raw_nested_indicators,gram_preconditioned_control,50,15,0.3869792728,0.3401465804,0.4371080526,0.7739585457,0.6776966713,0.8743192396
4,5,raw_nested_indicators,vanilla_local,50,15,0.4056433152,0.3795969292,0.4334088474,0.8112866305,0.7594892801,0.8660492712
4,5,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.3869792728,0.3398442351,0.4379289971,0.7739585457,0.6787536898,0.8747815547
4,5,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.4318811293,0.4007020874,0.4624892107,0.8637622585,0.8021171274,0.9251907981
4,5,tree_haar,gram_preconditioned_control,50,1,0.3869792728,0.3391246589,0.4372243086,0.7739585457,0.679979245,0.8739780182
4,5,tree_haar,vanilla_local,50,1,0.3869792728,0.3392887038,0.4376668976,0.7739585457,0.6799660778,0.8745206914
4,20,raw_nested_indicators,gram_preconditioned_control,50,15,0.3892790539,0.3396407072,0.4418055762,0.7785581077,0.6791390582,0.8835854792
4,20,raw_nested_indicators,vanilla_local,50,15,0.2653641441,0.2393878628,0.2925502056,0.5307282882,0.478765395,0.5848545313
4,20,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.3892790539,0.3392380001,0.4427241469,0.7785581077,0.678378574,0.8840424626
4,20,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.3654072556,0.3310017471,0.4006921535,0.7308145112,0.66057516,0.8017748581
4,20,tree_haar,gram_preconditioned_control,50,1,0.3892790539,0.3392594157,0.4433582576,0.7785581077,0.6792417829,0.8855850748
4,20,tree_haar,vanilla_local,50,1,0.3892790539,0.3394361578,0.4424444063,0.7785581077,0.6782617793,0.8856397986
4,80,raw_nested_indicators,gram_preconditioned_control,50,15,0.4616835454,0.4061981397,0.5195695421,0.9233670908,0.815162233,1.037233848
4,80,raw_nested_indicators,vanilla_local,50,15,0.1842802393,0.1493370775,0.2233872869,0.3685604786,0.2995046809,0.4448796982
4,80,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.4616835454,0.4072488298,0.519572254,0.9233670908,0.8122079027,1.037766826
4,80,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.2711325111,0.2343201503,0.3102288411,0.5422650223,0.4678484121,0.6207701062
4,80,tree_haar,gram_preconditioned_control,50,1,0.4616835454,0.4067104713,0.5190670175,0.9233670908,0.8126748557,1.036940196
4,80,tree_haar,vanilla_local,50,1,0.4616835454,0.4056481488,0.5191989447,0.9233670908,0.8139088942,1.03850578
16,1,raw_nested_indicators,gram_preconditioned_control,50,15,0.3713291824,0.3492350637,0.3939802895,0.7426583648,0.6980954855,0.788432013
16,1,raw_nested_indicators,vanilla_local,50,15,0.4578607211,0.4446063983,0.469261612,0.9157214421,0.8886200095,0.9385376912
16,1,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.3713291824,0.349365757,0.3943145143,0.7426583648,0.6982707172,0.7879008669
16,1,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.46971399,0.4596054457,0.4794176195,0.9394279801,0.918963866,0.95897334
16,1,tree_haar,gram_preconditioned_control,50,1,0.3713291824,0.3490073824,0.3935865314,0.7426583648,0.698659191,0.7877580216
16,1,tree_haar,vanilla_local,50,1,0.3713291824,0.3490910958,0.3938287828,0.7426583648,0.6978740515,0.7878159875
16,5,raw_nested_indicators,gram_preconditioned_control,50,15,0.1533889685,0.1352384416,0.1716224363,0.306777937,0.2712066403,0.3430826094
16,5,raw_nested_indicators,vanilla_local,50,15,0.3659952815,0.349322403,0.3816510231,0.7319905631,0.6990775988,0.7631209058
16,5,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.1533889685,0.1360393434,0.1717200761,0.306777937,0.2709485493,0.3432237557
16,5,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.3981695054,0.3794536342,0.4166134675,0.7963390109,0.7588962718,0.8337476453
16,5,tree_haar,gram_preconditioned_control,50,1,0.1533889685,0.1359063099,0.171537296,0.306777937,0.2716025424,0.3432780191
16,5,tree_haar,vanilla_local,50,1,0.1533889685,0.1354610926,0.1715798131,0.306777937,0.2717666644,0.3429236375
16,20,raw_nested_indicators,gram_preconditioned_control,50,15,0.1066032659,0.09476156059,0.1193789815,0.2132065317,0.1895752121,0.2385480729
16,20,raw_nested_indicators,vanilla_local,50,15,0.2064576667,0.1892663962,0.2235295661,0.4129153335,0.378455577,0.4471332663
16,20,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.1066032659,0.09461704985,0.1191832841,0.2132065317,0.1890832926,0.2385414033
16,20,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.3010540751,0.2773355374,0.3249452224,0.6021081503,0.5551666145,0.65026031
16,20,tree_haar,gram_preconditioned_control,50,1,0.1066032659,0.094693167,0.1190822553,0.2132065317,0.1889038587,0.2383775273
16,20,tree_haar,vanilla_local,50,1,0.1066032659,0.09475787376,0.1191043772,0.2132065317,0.1897019663,0.2382184911
16,80,raw_nested_indicators,gram_preconditioned_control,50,15,0.1195207389,0.1046708235,0.1354335617,0.2390414778,0.2093228397,0.2690615664
16,80,raw_nested_indicators,vanilla_local,50,15,0.06901736727,0.0586544991,0.08056913846,0.1380347345,0.1170437438,0.1614660558
16,80,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.1195207389,0.1045541802,0.1347298177,0.2390414778,0.2094600151,0.2697312552
16,80,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.2041761716,0.1766914409,0.232159932,0.4083523432,0.3547150177,0.4647066069
16,80,tree_haar,gram_preconditioned_control,50,1,0.1195207389,0.1048451128,0.134726502,0.2390414778,0.2096178498,0.2695454487
16,80,tree_haar,vanilla_local,50,1,0.1195207389,0.1045687969,0.1346221301,0.2390414778,0.2101395872,0.269409333
64,1,raw_nested_indicators,gram_preconditioned_control,50,15,0.3275540177,0.3159202158,0.3390331363,0.6551080355,0.631976528,0.6783262264
64,1,raw_nested_indicators,vanilla_local,50,15,0.4556010748,0.4478986578,0.462742125,0.9112021496,0.8958119671,0.925460093
64,1,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.3275540177,0.3159579228,0.3391298308,0.6551080355,0.632157938,0.6785380205
64,1,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.4658235418,0.4583888682,0.4731083639,0.9316470836,0.9166177564,0.9459597849
64,1,tree_haar,gram_preconditioned_control,50,1,0.3275540177,0.3158661754,0.3389442727,0.6551080355,0.6321504397,0.6781883692
64,1,tree_haar,vanilla_local,50,1,0.3275540177,0.3160065941,0.3390647303,0.6551080355,0.6323529483,0.6783270001
64,5,raw_nested_indicators,gram_preconditioned_control,50,15,0.07829602892,0.07093985551,0.08619704756,0.1565920578,0.1418391271,0.171963658
64,5,raw_nested_indicators,vanilla_local,50,15,0.3510877937,0.3346486855,0.3668919791,0.7021755874,0.6692416676,0.7334808648
64,5,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.07829602892,0.07086737677,0.0860953956,0.1565920578,0.1417965161,0.1719926006
64,5,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.3867156261,0.3689433751,0.4038241914,0.7734312521,0.737740513,0.8076395722
64,5,tree_haar,gram_preconditioned_control,50,1,0.07829602892,0.07112486197,0.08593797607,0.1565920578,0.1420555638,0.1720417227
64,5,tree_haar,vanilla_local,50,1,0.07829602892,0.07111178904,0.08615497423,0.1565920578,0.141901641,0.1719561615
64,20,raw_nested_indicators,gram_preconditioned_control,50,15,0.02694817169,0.02325502404,0.03088315321,0.05389634338,0.04658039183,0.06168425513
64,20,raw_nested_indicators,vanilla_local,50,15,0.190951522,0.1761098308,0.2057733762,0.3819030439,0.3521082449,0.4106775403
64,20,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.02694817169,0.02322567928,0.03091155475,0.05389634338,0.04644694257,0.0616596608
64,20,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.283974463,0.2599032876,0.3075330634,0.567948926,0.5206340677,0.6150308694
64,20,tree_haar,gram_preconditioned_control,50,1,0.02694817169,0.02323631695,0.03085523362,0.05389634338,0.04648290213,0.06169373416
64,20,tree_haar,vanilla_local,50,1,0.02694817169,0.02323965504,0.0308953963,0.05389634338,0.04644545695,0.06165499396
64,80,raw_nested_indicators,gram_preconditioned_control,50,15,0.02925230652,0.02620704111,0.03238895037,0.05850461303,0.05239488813,0.06480331998
64,80,raw_nested_indicators,vanilla_local,50,15,0.04009822988,0.03571677095,0.04457126756,0.08019645976,0.07156260892,0.08900722135
64,80,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.02925230652,0.02619032636,0.03236605302,0.05850461303,0.0524321834,0.06481932289
64,80,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.1841521959,0.1597719264,0.2093626878,0.3683043918,0.3189459098,0.4198386368
64,80,tree_haar,gram_preconditioned_control,50,1,0.02925230652,0.02623839558,0.03246088399,0.05850461303,0.05230373381,0.06483880526
64,80,tree_haar,vanilla_local,50,1,0.02925230652,0.0261690226,0.03238260534,0.05850461303,0.05242478833,0.06482224764
256,1,raw_nested_indicators,gram_preconditioned_control,50,15,0.3178634044,0.312803053,0.3229673792,0.6357268087,0.6252652587,0.6460249209
256,1,raw_nested_indicators,vanilla_local,50,15,0.4555178421,0.4482630186,0.4620533024,0.9110356843,0.8965939846,0.9243504675
256,1,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.3178634044,0.31274041,0.3229268524,0.6357268087,0.6253824164,0.6458873177
256,1,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.4625672516,0.4557284592,0.4688897794,0.9251345032,0.9117453934,0.9378674381
256,1,tree_haar,gram_preconditioned_control,50,1,0.3178634044,0.3127195408,0.3229238087,0.6357268087,0.625405078,0.6462288066
256,1,tree_haar,vanilla_local,50,1,0.3178634044,0.3126570887,0.322920597,0.6357268087,0.6255087642,0.6460600526
256,5,raw_nested_indicators,gram_preconditioned_control,50,15,0.05901705084,0.05518177252,0.0629381877,0.1180341017,0.1103948671,0.1258457929
256,5,raw_nested_indicators,vanilla_local,50,15,0.3469801219,0.3322238394,0.3608374105,0.6939602439,0.6646761285,0.7220204814
256,5,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.05901705084,0.05515270329,0.06292635857,0.1180341017,0.110332775,0.1258248943
256,5,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.3813720805,0.3651819806,0.3968522772,0.7627441611,0.7307863732,0.7940365938
256,5,tree_haar,gram_preconditioned_control,50,1,0.05901705084,0.05523652371,0.06292110942,0.1180341017,0.1103480772,0.1258127144
256,5,tree_haar,vanilla_local,50,1,0.05901705084,0.05519970092,0.06284822902,0.1180341017,0.1102619385,0.1258248975
256,20,raw_nested_indicators,gram_preconditioned_control,50,15,0.008318644957,0.007273386931,0.00938798713,0.01663728991,0.01453433689,0.01878676718
256,20,raw_nested_indicators,vanilla_local,50,15,0.1868710084,0.1724688706,0.2011392151,0.3737420168,0.3445131749,0.4018330872
256,20,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.008318644957,0.007289306676,0.009392616782,0.01663728991,0.01456725602,0.01875388402
256,20,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.2796210226,0.2559698079,0.3031984987,0.5592420451,0.5127973746,0.6065945074
256,20,tree_haar,gram_preconditioned_control,50,1,0.008318644957,0.007285984255,0.009371681073,0.01663728991,0.01458491326,0.01878327154
256,20,tree_haar,vanilla_local,50,1,0.008318644957,0.007277517509,0.009391339132,0.01663728991,0.01455511045,0.01880289896
256,80,raw_nested_indicators,gram_preconditioned_control,50,15,0.00792344386,0.006542596502,0.00943585403,0.01584688772,0.0130568678,0.01894511767
256,80,raw_nested_indicators,vanilla_local,50,15,0.03347709765,0.02980068614,0.03711008207,0.06695419529,0.05972990621,0.0743491355
256,80,static_gain_scaled_nested,gram_preconditioned_control,50,388.5198166,0.00792344386,0.006545642867,0.009426502658,0.01584688772,0.01308139016,0.01891112843
256,80,static_gain_scaled_nested,vanilla_local,50,388.5198166,0.178830612,0.153741388,0.2050435173,0.357661224,0.3078224095,0.4098469062
256,80,tree_haar,gram_preconditioned_control,50,1,0.00792344386,0.006545449522,0.009484920033,0.01584688772,0.01302481733,0.01895617543
256,80,tree_haar,vanilla_local,50,1,0.00792344386,0.006546354635,0.009491391572,0.01584688772,0.01307370072,0.0188771928
