seed,effective_sample_size,parameterization,optimizer,route_rank,address_residual,checkpoint,population_loss,field_estimation_error,coefficient_norm,gram_condition_number,gram_lambda_max
9100,4,tree_haar,vanilla_local,8,5.402835347e-32,1,0.2939512172,0.5879024343,0.5594578517,1,1
9100,4,tree_haar,vanilla_local,8,5.402835347e-32,5,0.2025650686,0.4051301371,1.084291683,1,1
9100,4,tree_haar,vanilla_local,8,5.402835347e-32,20,0.1341970822,0.2683941644,1.188728855,1,1
9100,4,tree_haar,vanilla_local,8,5.402835347e-32,80,0.2513306716,0.5026613433,1.2192923,1,1
9100,4,tree_haar,gram_preconditioned_control,8,5.402835347e-32,1,0.2939512172,0.5879024343,0.5594578517,1,1
9100,4,tree_haar,gram_preconditioned_control,8,5.402835347e-32,5,0.2025650686,0.4051301371,1.084291683,1,1
9100,4,tree_haar,gram_preconditioned_control,8,5.402835347e-32,20,0.1341970822,0.2683941644,1.188728855,1,1
9100,4,tree_haar,gram_preconditioned_control,8,5.402835347e-32,80,0.2513306716,0.5026613433,1.2192923,1,1
9100,4,raw_nested_indicators,vanilla_local,8,3.490085986e-31,1,0.4762317199,0.9524634397,0.04322882248,15,30
9100,4,raw_nested_indicators,vanilla_local,8,3.490085986e-31,5,0.4371996171,0.8743992343,0.1184180664,15,30
9100,4,raw_nested_indicators,vanilla_local,8,3.490085986e-31,20,0.337200562,0.674401124,0.2028364607,15,30
9100,4,raw_nested_indicators,vanilla_local,8,3.490085986e-31,80,0.1051783065,0.2103566129,0.4170675692,15,30
9100,4,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,1,0.2939512172,0.5879024343,0.3195640771,15,30
9100,4,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,5,0.2025650686,0.4051301371,0.6072932313,15,30
9100,4,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,20,0.1341970822,0.2683941644,0.7520968389,15,30
9100,4,raw_nested_indicators,gram_preconditioned_control,8,3.490085986e-31,80,0.2513306716,0.5026613433,0.8051015122,15,30
9100,4,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,1,0.458337374,0.916674748,0.008123220759,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,5,0.4106596588,0.8213193176,0.01818050292,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,20,0.36352374,0.7270474799,0.02782955431,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,vanilla_local,8,5.533497657e-31,80,0.2896644878,0.5793289755,0.0536592119,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,1,0.2939512172,0.5879024343,0.1738574227,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,5,0.2025650686,0.4051301371,0.4553326685,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,20,0.1341970822,0.2683941644,0.3730576943,388.5198166,807.7404929
9100,4,static_gain_scaled_nested,gram_preconditioned_control,8,5.533497657e-31,80,0.2513306716,0.5026613433,0.3602135612,388.5198166,807.7404929
