cohort,regime,root_id,focal_segment_id,dose,perturbation,category,n_sites,median_abs_log_gradient_change,mean_abs_log_gradient_change,synapse_weighted_median_abs_log_gradient_change,median_signed_log_gradient_change,gradient_sign_flip_fraction
original_eight,Ra150_Rm300,864691135060651419,5224,1.0,matched additive,descendant,62,6.740635641794675e-05,9.213083282415763e-05,7.218696931369898e-05,6.740635641794675e-05,0.0
original_eight,Ra150_Rm300,864691135060651419,5224,1.0,matched additive,depth-matched unrelated,62,0.0,5.909251582682284e-17,0.0,0.0,0.0
original_eight,Ra150_Rm300,864691135060651419,5224,1.0,focal shunt,descendant,62,0.003319456571161193,0.0032947591821164603,0.00331468119656111,-0.003319456571161193,0.0
original_eight,Ra150_Rm300,864691135060651419,5224,1.0,focal shunt,depth-matched unrelated,62,0.002290377013995232,0.002290377013995543,0.0022903770139934515,-0.002290377013995232,0.0
original_eight,Ra150_Rm300,864691135060651419,5233,1.0,matched additive,descendant,51,0.0008630808630817897,0.0011978824096899817,0.0009010280031564634,0.0008630808630817897,0.0
original_eight,Ra150_Rm300,864691135060651419,5233,1.0,matched additive,depth-matched unrelated,51,3.635009315193542e-05,2.4656994290855205e-05,3.635009315193542e-05,3.635009315193542e-05,0.0
original_eight,Ra150_Rm300,864691135060651419,5233,1.0,focal shunt,descendant,51,0.014322786035808402,0.013991972768382547,0.014285291888517996,-0.014322786035808402,0.0
original_eight,Ra150_Rm300,864691135060651419,5233,1.0,focal shunt,depth-matched unrelated,51,0.0035016273738933904,0.003370631603214477,0.0035016273738933904,-0.0035016273738933904,0.0
original_eight,Ra150_Rm300,864691135060651419,5527,1.0,matched additive,descendant,20,0.0008016991434692303,0.0014496280589395725,0.0014775463982863906,0.0008016991434692303,0.0
original_eight,Ra150_Rm300,864691135060651419,5527,1.0,matched additive,depth-matched unrelated,20,2.785187155983262e-05,2.3565236651273585e-05,2.785187155983262e-05,2.785187155983262e-05,0.0
original_eight,Ra150_Rm300,864691135060651419,5527,1.0,focal shunt,descendant,20,0.015346569956027307,0.014707586896132885,0.014680070279172912,-0.015346569956027307,0.0
original_eight,Ra150_Rm300,864691135060651419,5527,1.0,focal shunt,depth-matched unrelated,20,0.0024318188408910483,0.002382433608519384,0.0024318188408910483,-0.0024318188408910483,0.0
original_eight,Ra150_Rm300,864691135060651419,5579,1.0,matched additive,descendant,7,0.06622625089526069,0.07390126938536098,0.08611616451595727,0.06622625089526069,0.0
original_eight,Ra150_Rm300,864691135060651419,5579,1.0,matched additive,depth-matched unrelated,7,0.00032817945755216613,0.0003359776267704895,0.0001817020593039325,0.00032817945755216613,0.0
original_eight,Ra150_Rm300,864691135060651419,5579,1.0,focal shunt,descendant,7,0.21621405877077643,0.21007198846244476,0.2007171499564863,-0.21621405877077643,0.0
original_eight,Ra150_Rm300,864691135060651419,5579,1.0,focal shunt,depth-matched unrelated,7,0.001701301275900054,0.0015346006161484056,0.0014656095114965542,-0.001701301275900054,0.0
original_eight,Ra150_Rm300,864691135060651419,5894,1.0,matched additive,descendant,9,0.00881653458364556,0.011053838385588119,0.00881653458364556,0.00881653458364556,0.0
original_eight,Ra150_Rm300,864691135060651419,5894,1.0,matched additive,depth-matched unrelated,9,0.00018600496339156049,0.00027201302647430505,5.086817800894548e-05,0.00018600496339156049,0.0
original_eight,Ra150_Rm300,864691135060651419,5894,1.0,focal shunt,descendant,9,0.040084195893092214,0.03794873805090024,0.040084195893092214,-0.040084195893092214,0.0
original_eight,Ra150_Rm300,864691135060651419,5894,1.0,focal shunt,depth-matched unrelated,9,0.0027199675224962865,0.0025542641596128187,0.0006893885217683881,-0.0027199675224962865,0.0
original_eight,Ra150_Rm300,864691135060651419,6068,1.0,matched additive,descendant,7,0.0861623021419179,0.1052886535506533,0.0861623021419179,0.0861623021419179,0.0
original_eight,Ra150_Rm300,864691135060651419,6068,1.0,matched additive,depth-matched unrelated,7,0.0006058343308151748,0.0006542611703848044,0.0004646065837895615,0.0006058343308151748,0.0
original_eight,Ra150_Rm300,864691135060651419,6068,1.0,focal shunt,descendant,7,0.2816005477566625,0.2673432023810158,0.2816005477566625,-0.2816005477566625,0.0
original_eight,Ra150_Rm300,864691135060651419,6068,1.0,focal shunt,depth-matched unrelated,7,0.0028827435548142116,0.0024739686683496746,0.002726188233823194,-0.0028827435548142116,0.0
original_eight,Ra150_Rm300,864691135060651419,6117,1.0,matched additive,descendant,5,0.06789342894432683,0.07243654983806566,0.07817032343939269,0.06789342894432683,0.0
original_eight,Ra150_Rm300,864691135060651419,6117,1.0,matched additive,depth-matched unrelated,5,0.00014140339456871674,0.00019212719372453741,0.00034606220703133897,0.00014140339456871674,0.0
original_eight,Ra150_Rm300,864691135060651419,6117,1.0,focal shunt,descendant,5,0.12766031467369396,0.1237993104691936,0.11901081840823322,-0.12766031467369396,0.0
original_eight,Ra150_Rm300,864691135060651419,6117,1.0,focal shunt,depth-matched unrelated,5,0.0004562249202501665,0.0004140379707706121,0.00028600990840960323,-0.0004562249202501665,0.0
original_eight,Ra150_Rm300,864691135060651419,6262,1.0,matched additive,descendant,3,0.29604543388136095,0.304568588100755,0.32283951263561317,0.29604543388136095,0.0
original_eight,Ra150_Rm300,864691135060651419,6262,1.0,matched additive,depth-matched unrelated,3,0.0001798270346250697,0.0002978422870146472,0.0005338727917938022,0.0001798270346250697,0.0
original_eight,Ra150_Rm300,864691135060651419,6262,1.0,focal shunt,descendant,3,0.33996139248988166,0.33430485393704884,0.32218305928965707,-0.33996139248988166,0.0
original_eight,Ra150_Rm300,864691135060651419,6262,1.0,focal shunt,depth-matched unrelated,3,0.0001751047273289425,0.0002733524272566072,0.0004698478271119367,-0.0001751047273289425,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,matched additive,descendant,3,0.08166350564693242,0.08617655843261553,0.08166350564693242,0.08166350564693242,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,matched additive,depth-matched unrelated,3,0.00016331052529577027,0.00013404247620439963,0.0,0.00016331052529577027,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,focal shunt,descendant,3,0.1319333992575378,0.1281470701965265,0.1319333992575378,-0.1319333992575378,0.0
original_eight,Ra150_Rm300,864691135060651419,6446,1.0,focal shunt,depth-matched unrelated,3,0.00045594731666429673,0.00037001766340405076,0.00013628700739451026,-0.00045594731666429673,0.0
