state,architecture,feedback_family,budget_k,n_seeds,mean_address_capture,ci95_low_address_capture,ci95_high_address_capture,mean_coefficient_residual_energy,ci95_low_coefficient_residual_energy,ci95_high_coefficient_residual_energy,mean_realized_field_score,ci95_low_realized_field_score,ci95_high_realized_field_score
initialization,degree_depth_matched_rewired_tree,backpropagation,8,20,1,1,1,8.550057084e-30,8.226095664e-30,8.899685703e-30,1,1,1
initialization,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,1,20,0.1581537891,0.1572997344,0.1589838997,2205.126811,2189.958755,2221.027661,-0.2451325635,-0.2498117936,-0.2406882773
initialization,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,2,20,0.3045599374,0.3032639991,0.3058974099,1444.253684,1434.699279,1453.908424,0.04040401333,0.0364197758,0.04440561006
initialization,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,4,20,0.5669260233,0.5653825273,0.5684247205,692.5409465,683.3077381,702.1422811,0.4402674253,0.4371081343,0.443550342
initialization,degree_depth_matched_rewired_tree,correct_ancestry_subtrees,8,20,1,1,1,8.550057084e-30,8.221004169e-30,8.891152592e-30,1,1,1
initialization,degree_depth_matched_rewired_tree,depth_interleaved_bins,1,20,0.1581537891,0.1573152056,0.1589818703,2205.126811,2190.152134,2221.347191,-0.2451325635,-0.2497666098,-0.2405625638
initialization,degree_depth_matched_rewired_tree,depth_interleaved_bins,2,20,0.3051764203,0.3040142714,0.3062515013,1434.04501,1422.602231,1446.202881,0.04291292721,0.03915305613,0.04650970192
initialization,degree_depth_matched_rewired_tree,depth_interleaved_bins,4,20,0.5688927135,0.5669219265,0.5707207486,681.4306925,672.6708266,691.0647746,0.4442630056,0.4405512925,0.447738221
initialization,degree_depth_matched_rewired_tree,depth_interleaved_bins,8,20,1,1,1,8.550057084e-30,8.222701886e-30,8.889385032e-30,1,1,1
initialization,degree_depth_matched_rewired_tree,exact_compartment_transport,8,20,1,1,1,8.550057084e-30,8.217975787e-30,8.894491336e-30,1,1,1
initialization,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,1,20,0.1329633476,0.1307816777,0.135127245,7.647620227e-31,6.704017461e-31,8.728947847e-31,0.1329633476,0.1307771626,0.135115196
initialization,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,2,20,0.2612405622,0.2585016937,0.2643686343,1.683325737e-30,1.544745335e-30,1.830323356e-30,0.2612405622,0.2584965616,0.2643483022
initialization,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,4,20,0.5120672,0.509720106,0.514733015,3.726995609e-30,3.54538246e-30,3.915670301e-30,0.5120672,0.5096888871,0.5147467979
initialization,degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,8,20,1,1,1,8.550057084e-30,8.221088736e-30,8.891827652e-30,1,1,1
initialization,degree_depth_matched_rewired_tree,neuron_indexed_shared,1,20,0.1581537891,0.1573157518,0.1589916746,2205.126811,2189.958036,2221.134831,-0.2451325635,-0.2497478368,-0.2406230668
initialization,degree_depth_matched_rewired_tree,random_rank_k,1,20,0.1505290758,0.148074551,0.1529247295,2888.218587,2790.343904,2984.163197,-0.3773810066,-0.395752972,-0.3598880667
initialization,degree_depth_matched_rewired_tree,random_rank_k,2,20,0.2886604235,0.2858062643,0.2914342058,1879.629784,1811.830135,1951.186505,-0.05501008293,-0.06974950578,-0.04133249462
