architecture,feedback_family,budget_k,n_seeds,mean_heldout_accuracy,ci95_low_heldout_accuracy,ci95_high_heldout_accuracy,mean_heldout_loss,ci95_low_heldout_loss,ci95_high_heldout_loss,mean_retained_context_forgetting,ci95_low_retained_context_forgetting,ci95_high_retained_context_forgetting,mean_initial_gradient_capture,ci95_low_initial_gradient_capture,ci95_high_initial_gradient_capture,mean_initial_gradient_cosine,ci95_low_initial_gradient_cosine,ci95_high_initial_gradient_cosine,mean_norm_matched_one_step_progress,ci95_low_norm_matched_one_step_progress,ci95_high_norm_matched_one_step_progress
degree_depth_matched_rewired_tree,backpropagation,8,20,0.8100097656,0.8051513672,0.8149658203,0.4138553991,0.4071836855,0.4205471177,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,correct_ancestry_subtrees,1,20,0.1866455078,0.1827874756,0.1907714844,19.87260017,19.57875479,20.20147739,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306527152,0.1319073472,0.3623277802,0.3614428968,0.3632016222,-1.097266085,-1.101673128,-1.092665299
degree_depth_matched_rewired_tree,correct_ancestry_subtrees,2,20,0.2171386719,0.2089599609,0.225,4.476635517,3.981867905,5.020382456,0.02846679687,0.0208984375,0.03647460938,0.2605497783,0.2594841127,0.261648479,0.5104350182,0.5093893582,0.5115030818,-0.9041688129,-0.9393804351,-0.8678045978
degree_depth_matched_rewired_tree,correct_ancestry_subtrees,4,20,0.7508789062,0.7402337646,0.7608398438,0.5271260723,0.5158786774,0.5399397721,0.3302734375,0.2786621094,0.3895507812,0.513405023,0.5117526376,0.5151530791,0.7165176975,0.7153384848,0.7177289577,0.8174998214,0.7940083241,0.8383367184
degree_depth_matched_rewired_tree,correct_ancestry_subtrees,8,20,0.8100097656,0.8051025391,0.8149902344,0.4138553991,0.4071500216,0.4205461397,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,depth_interleaved_bins,1,20,0.1866455078,0.1827392578,0.1907714844,19.87260017,19.58114018,20.19675149,0.0015625,-0.000439453125,0.003369140625,0.1312853816,0.1306455679,0.1319117925,0.3623277802,0.3614523802,0.3631971357,-1.097266085,-1.101611539,-1.092744086
degree_depth_matched_rewired_tree,depth_interleaved_bins,2,20,0.2259277344,0.2199462891,0.2320068359,3.847908424,3.599292499,4.15713559,0.03544921875,0.02919921875,0.04204101562,0.2612290124,0.2602265311,0.2622050787,0.511100853,0.5101004932,0.5120582598,-0.8558430532,-0.8837487625,-0.8299751534
degree_depth_matched_rewired_tree,depth_interleaved_bins,4,20,0.758203125,0.7475830078,0.7679199219,0.5164129821,0.5067847086,0.5271566859,0.2760253906,0.2607421875,0.2988769531,0.515527028,0.5135789756,0.5173588691,0.7179957089,0.7166358812,0.7192717822,0.8215858199,0.8044978804,0.8366652315
degree_depth_matched_rewired_tree,depth_interleaved_bins,8,20,0.8100097656,0.8051269531,0.8148925781,0.4138553991,0.4072080023,0.4207295184,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,exact_compartment_transport,8,20,0.8100097656,0.8051757812,0.8150146484,0.4138553991,0.4070759579,0.4205948583,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,1,20,0.5629882812,0.5459222412,0.5805426025,0.6547088865,0.6519755031,0.6573950737,0,0,0,0.1329633476,0.1307854297,0.1351426671,0.364576888,0.3615353176,0.3675782265,0.3279823046,0.321463957,0.3343668976
degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,2,20,0.6167236328,0.6009033203,0.6333502197,0.6188148542,0.6151788924,0.6222151385,0,0,0,0.2612405622,0.2585116042,0.2643415846,0.5110759061,0.5084232808,0.5140577009,0.4864395346,0.4796333138,0.4941748441
degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,4,20,0.7030517578,0.6893066406,0.7168212891,0.5490466551,0.5435299575,0.5542765912,0,0,0,0.5120672,0.5097179511,0.5147256844,0.7155776071,0.7139502324,0.7174462167,0.7013929122,0.6932842842,0.7101885435
degree_depth_matched_rewired_tree,learned_rank_k_upper_bound,8,20,0.8100097656,0.8052490234,0.8149169922,0.4138553991,0.4072094843,0.4205820486,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,neuron_indexed_shared,1,20,0.1866455078,0.1827636719,0.1907470703,19.87260017,19.57979563,20.1991605,0.0015625,-0.000390625,0.0033203125,0.1312853816,0.1306412159,0.1319151104,0.3623277802,0.3614473795,0.363199231,-1.097266085,-1.101695498,-1.092664796
degree_depth_matched_rewired_tree,random_rank_k,1,20,0.5401123047,0.4564208984,0.6283959961,2.78062058,1.521454017,4.242033663,0.01557617187,0.001953125,0.03413208008,0.08713595499,0.08147334128,0.09276485339,0.2943529051,0.2842698678,0.303964504,0.412889234,0.2047749705,0.5916428875
degree_depth_matched_rewired_tree,random_rank_k,2,20,0.6176269531,0.546652832,0.6877929687,1.253381877,0.8436810128,1.741319009,0.08310546875,0.05082885742,0.1176269531,0.2134780358,0.2065340457,0.2200823474,0.4617276215,0.4541547208,0.4689558872,0.5949537142,0.4603358125,0.7108614588
degree_depth_matched_rewired_tree,random_rank_k,4,20,0.7770507813,0.7612792969,0.7913330078,0.5119750814,0.4908651397,0.5334107998,0.1466796875,0.1032714844,0.1944335937,0.4866643129,0.4792227741,0.4932154368,0.6975162648,0.6920049315,0.7022623601,0.8442729527,0.8080031893,0.87813318
degree_depth_matched_rewired_tree,random_rank_k,8,20,0.8100097656,0.8050048828,0.81484375,0.4138553991,0.4070939693,0.4205316761,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,random_sparse_matched,1,20,0.1866455078,0.1827636719,0.1908203125,19.87260017,19.57962483,20.20065794,0.0015625,-0.000390625,0.003369140625,0.1312853816,0.1306483196,0.1319013119,0.3623277802,0.3614408294,0.3631836761,-1.097266085,-1.101713993,-1.09272788
degree_depth_matched_rewired_tree,random_sparse_matched,2,20,0.2299804688,0.2116210937,0.2591070557,4.240805721,3.640903262,4.830074989,0.02451171875,0.01806640625,0.03110351563,0.2607699458,0.2595386057,0.2618811327,0.5106497207,0.5094693191,0.5117334055,-0.8742273718,-0.9359105245,-0.7912989839
degree_depth_matched_rewired_tree,random_sparse_matched,4,20,0.7559082031,0.7447753906,0.7669439697,0.5198831329,0.5032803774,0.5366607157,0.2869628906,0.2252441406,0.3488781738,0.514220645,0.5121080554,0.5163369778,0.7170839452,0.7156162733,0.7185390271,0.8172591516,0.7839531997,0.8489839478
degree_depth_matched_rewired_tree,random_sparse_matched,8,20,0.8100097656,0.8052490234,0.8149658203,0.4138553991,0.4071606766,0.4205571689,0,0,0,1,1,1,1,1,1,1,1,1
degree_depth_matched_rewired_tree,within_neuron_route_derangement,1,20,0.1866455078,0.1827142334,0.1906738281,19.87260017,19.57660816,20.19508595,0.0015625,-0.000390625,0.0033203125,0.1312853816,0.1306516147,0.1319034373,0.3623277802,0.3614356883,0.3631979839,-1.097266085,-1.101681056,-1.092729195
degree_depth_matched_rewired_tree,within_neuron_route_derangement,2,20,0.1869140625,0.1827392578,0.1911132812,24.04697128,23.34657133,24.72178499,0.00224609375,0.000634765625,0.00380859375,0,0,0,0,0,0,-1.106546548,-1.110647476,-1.102535814
degree_depth_matched_rewired_tree,within_neuron_route_derangement,4,20,0.1917236328,0.1876953125,0.1959472656,16.52073508,16.07990412,16.9633237,0.002294921875,0.000537109375,0.004052734375,0,0,0,0,0,0,-1.071469639,-1.07871082,-1.064397231
degree_depth_matched_rewired_tree,within_neuron_route_derangement,8,20,0.2106201172,0.2043701172,0.2171386719,11.36674818,10.83471722,11.90088771,0.001416015625,9.765625e-05,0.002734375,0,0,0,0,0,0,-1.003951541,-1.018067569,-0.989060068
dendritic_tree,backpropagation,8,20,0.8100097656,0.8051025391,0.8149658203,0.4138553991,0.4071887872,0.4206025353,0,0,0,1,1,1,1,1,1,1,1,1
