seed,condition_id,architecture,feedback_family,budget_k,forward_parameters,active_input_contacts,forward_nonlinearities,feedback_channels,feedback_nonzeros,route_sha256,architecture_permutation,implementation_equivalent_control,train_balanced,test_balanced,train_context_label_correlation,test_context_label_correlation,fallback_count,scalar_replacement_rate
4200,dendritic_tree__correct_ancestry_subtrees__k1,dendritic_tree,correct_ancestry_subtrees,1,64,64,1,1,64,602858b9d6108b2a09c4f8be6072b22210a9e962481a30cea1c91b66229d1b62,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__within_neuron_route_derangement__k1,dendritic_tree,within_neuron_route_derangement,1,64,64,1,1,64,602858b9d6108b2a09c4f8be6072b22210a9e962481a30cea1c91b66229d1b62,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__depth_interleaved_bins__k1,dendritic_tree,depth_interleaved_bins,1,64,64,1,1,64,602858b9d6108b2a09c4f8be6072b22210a9e962481a30cea1c91b66229d1b62,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_sparse_matched__k1,dendritic_tree,random_sparse_matched,1,64,64,1,1,64,602858b9d6108b2a09c4f8be6072b22210a9e962481a30cea1c91b66229d1b62,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_rank_k__k1,dendritic_tree,random_rank_k,1,64,64,1,1,64,e45a0b434350913b808db31375a93fe443378e1899aa751b084f34012444b1a5,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__learned_rank_k_upper_bound__k1,dendritic_tree,learned_rank_k_upper_bound,1,64,64,1,1,1,1fb63508ae2d740f35e5a7eef412ca851dcf321dfca92972d4db9384d18ca3a4,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__correct_ancestry_subtrees__k2,dendritic_tree,correct_ancestry_subtrees,2,64,64,1,2,32,13e168444a94100248a04f773bc52efbb4b3cdbf6976d2e05a3cc36fe9a48ac6,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__within_neuron_route_derangement__k2,dendritic_tree,within_neuron_route_derangement,2,64,64,1,2,32,27f5ea68536115718bd55a9cefd5357c05feb669fca6ef987cf95ae68618b7cb,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__depth_interleaved_bins__k2,dendritic_tree,depth_interleaved_bins,2,64,64,1,2,32,257dded08c03505f5c28a3c1531210559e63e6282fb6e3638c24a3c5746f8376,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_sparse_matched__k2,dendritic_tree,random_sparse_matched,2,64,64,1,2,32,8dbfacdaea91680f77629fbd807c527eff1110f2725a39f33db8e5f21e93f708,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_rank_k__k2,dendritic_tree,random_rank_k,2,64,64,1,2,64,bbb853225b913a315cf42c2ae5731e02bb8a8589dca51efa45f0b761e90f7af7,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__learned_rank_k_upper_bound__k2,dendritic_tree,learned_rank_k_upper_bound,2,64,64,1,2,2,242d6c94b4acc403153dd2a55df44c456da9afdd17ae07e1f982f2850fcd60e4,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__correct_ancestry_subtrees__k4,dendritic_tree,correct_ancestry_subtrees,4,64,64,1,4,16,328cdc1347e63deb8aa8eb55f3fababfe27eccb6f1d4827b215ee9ebd8029a03,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__within_neuron_route_derangement__k4,dendritic_tree,within_neuron_route_derangement,4,64,64,1,4,16,9f52c038f19fa4ccc109371de6e9f8e90873d4310f6a2ba07886cfa5ccf584e9,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__depth_interleaved_bins__k4,dendritic_tree,depth_interleaved_bins,4,64,64,1,4,16,7202bb33750c28b219b91fea95203b62aacee2ca9fc6e978f039962ac87f4fa1,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_sparse_matched__k4,dendritic_tree,random_sparse_matched,4,64,64,1,4,16,c16be1dd295ccadb2657e0ba825ff0b2dc4e4cb171bbfe7135e3d088264037d7,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_rank_k__k4,dendritic_tree,random_rank_k,4,64,64,1,4,64,63d0acbadc2e5ed4a1af6860cf2023cc0e4a9c53b6c4c17e4563c46b7e93a64e,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__learned_rank_k_upper_bound__k4,dendritic_tree,learned_rank_k_upper_bound,4,64,64,1,4,4,690d6c5bffd9c0cc5bb0df06e907b84f3d72d10748cf9a6e9e176eebd36709b8,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__correct_ancestry_subtrees__k8,dendritic_tree,correct_ancestry_subtrees,8,64,64,1,8,8,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__within_neuron_route_derangement__k8,dendritic_tree,within_neuron_route_derangement,8,64,64,1,8,8,8ca3f4b742ee61f472716846777cd7fb8159234a5d0d6dbc8bc7ac6c74afaed0,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__depth_interleaved_bins__k8,dendritic_tree,depth_interleaved_bins,8,64,64,1,8,8,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_sparse_matched__k8,dendritic_tree,random_sparse_matched,8,64,64,1,8,8,912b8f2f0b10b7b22a7248a1909345aa185013716ca8cdd5490076f5788de980,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
4200,dendritic_tree__random_rank_k__k8,dendritic_tree,random_rank_k,8,64,64,1,8,8,51ce896726ee48a2a664c9925bcef0ac9511dc367760699e45d11015f83a9a0f,"[0, 1, 2, 3, 4, 5, 6, 7]",False,True,True,0,0,0,0
